nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
2,1500,0.939,0.023106960494762258,0.036,0.011
2,1520,0.947,0.021513761606640255,0.031,0.008
2,1540,0.933,0.02862316696820175,0.04,0.012
2,1560,0.926,0.02746280816039704,0.0445,0.012
2,1580,0.938,0.020145947843505038,0.0355,0.008
2,1600,0.938,0.026077684297833723,0.0385,0.014
2,1620,0.924,0.028604414608878987,0.048,0.018
2,1640,0.935,0.0215352635878776,0.037,0.009
2,1660,0.945,0.025027413231574938,0.0335,0.011
2,1680,0.934,0.02176855611703377,0.0385,0.009
2,1700,0.951,0.025989910049147018,0.033,0.013
2,1720,0.94,0.025313323055284276,0.035,0.008
2,1740,0.945,0.02048468009579428,0.032,0.008
2,1760,0.952,0.02311785618774795,0.029,0.008
2,1780,0.943,0.025012759001841578,0.034,0.01
2,1800,0.964,0.021186691192053766,0.023,0.009
2,1820,0.944,0.014159309738608633,0.032,0.007
2,1840,0.956,0.02295789824681879,0.0275,0.01
2,1860,0.948,0.019721040326614245,0.033,0.012
2,1880,0.959,0.02758694290333548,0.025,0.008
2,1900,0.956,0.017842166439383682,0.0285,0.012
2,1920,0.959,0.017522635946670834,0.0255,0.009
2,1940,0.95,0.027004336343546986,0.033,0.013
2,1960,0.953,0.018048214873210615,0.026,0.004
2,1980,0.957,0.023800739613750267,0.0275,0.011
5,500,0.76,0.09254444353092202,0.09349999999999954,0.021700000000000035
5,520,0.791,0.08870841029512214,0.08764999999999946,0.02000000000000001
5,540,0.811,0.07459949340157838,0.08379999999999953,0.01980000000000002
5,560,0.794,0.09354960424188032,0.07969999999999948,0.018699999999999998
5,580,0.809,0.08813618558944773,0.07959999999999955,0.0194
5,600,0.818,0.08628999134107648,0.07579999999999958,0.017299999999999975
5,620,0.819,0.088982776720775,0.07319999999999961,0.01649999999999997
5,640,0.804,0.08244326655821582,0.07669999999999959,0.01879999999999999
5,660,0.837,0.07273597726563069,0.07149999999999959,0.017799999999999986
5,680,0.865,0.07947997895596796,0.06824999999999971,0.01709999999999997
5,700,0.844,0.06806829752501424,0.06944999999999975,0.017299999999999975
5,720,0.853,0.07089715292966535,0.06349999999999979,0.015099999999999966
5,740,0.844,0.0781609917066939,0.06544999999999972,0.016199999999999964
5,760,0.864,0.06444859375763437,0.0637499999999997,0.015299999999999966
5,780,0.876,0.06654790236647949,0.06124999999999961,0.016199999999999968
5,800,0.873,0.06194800998814253,0.06274999999999976,0.01714999999999998
5,820,0.858,0.06659275778932766,0.06069999999999976,0.015899999999999963
5,840,0.858,0.06824169491484137,0.05964999999999982,0.014599999999999969
5,860,0.897,0.05740068459221933,0.05654999999999978,0.01329999999999997
5,880,0.876,0.06912256329842065,0.056749999999999745,0.017499999999999988
5,900,0.877,0.06395237419578503,0.053349999999999696,0.013799999999999967
5,920,0.907,0.0687150095629013,0.05334999999999979,0.013999999999999967
5,940,0.88,0.06938733476214715,0.05529999999999982,0.01634999999999997
5,960,0.892,0.05579125612644528,0.05394999999999988,0.014399999999999968
5,980,0.907,0.06671940973318849,0.0503999999999999,0.01329999999999997
5,1000,0.915,0.05555237146039989,0.05024999999999985,0.014299999999999967
5,1020,0.903,0.054654210627029715,0.047849999999999865,0.014699999999999968
5,1040,0.906,0.06361477524887854,0.047899999999999825,0.015399999999999966
5,1060,0.908,0.05810300438772001,0.04614999999999996,0.015699999999999964
5,1080,0.909,0.059833015193094634,0.049999999999999885,0.014299999999999972
5,1100,0.914,0.06720202191255548,0.04249999999999996,0.012399999999999974
5,1120,0.905,0.061829331361198704,0.04769999999999988,0.012099999999999977
5,1140,0.898,0.06784821269164072,0.0446499999999999,0.012999999999999973
5,1160,0.901,0.06148406306234984,0.04534999999999987,0.012199999999999975
5,1180,0.897,0.05937234444784094,0.04684999999999987,0.01399999999999997
5,1200,0.91,0.06043438017840857,0.04044999999999997,0.012199999999999975
5,1220,0.923,0.048355057233393554,0.04224999999999999,0.013199999999999972
5,1240,0.923,0.0539051496123966,0.04199999999999999,0.012599999999999972
