,muh,mux,success_rate
278,0.5,2.3,0.448
279,0.5,2.4,0.426
280,0.5,2.5,0.4
281,0.5,2.6,0.342
282,0.5,2.7,0.276
283,0.5,2.8,0.296
284,0.5,2.9,0.232
285,0.5,3.0,0.242
286,0.5,3.1,0.236
287,0.5,3.2,0.182
288,0.5,3.3,0.23
289,0.5,3.4,0.152
290,0.5,3.5,0.156
291,0.5,3.6,0.156
292,0.5,3.7,0.15
293,0.5,3.8,0.17
294,0.5,3.9,0.152
295,0.5,4.0,0.166
296,0.5,4.1,0.138
297,0.5,4.2,0.14
298,0.5,4.3,0.106
299,0.5,4.4,0.126
300,0.5,4.5,0.114
301,0.5,4.6,0.098
302,0.5,4.7,0.106
303,0.5,4.8,0.092
304,0.5,4.9,0.126
305,0.5,5.0,0.092
306,0.6,0.0,0.774
307,0.6,0.1,0.748
308,0.6,0.2,0.752
309,0.6,0.3,0.764
310,0.6,0.4,0.768
311,0.6,0.5,0.77
312,0.6,0.6,0.78
313,0.6,0.7,0.782
314,0.6,0.8,0.812
315,0.6,0.9,0.716
316,0.6,1.0,0.738
317,0.6,1.1,0.73
318,0.6,1.2,0.708
319,0.6,1.3,0.7
320,0.6,1.4,0.672
321,0.6,1.5,0.706
322,0.6,1.6,0.708
323,0.6,1.7,0.696
324,0.6,1.8,0.712
325,0.6,1.9,0.694
326,0.6,2.0,0.64
327,0.6,2.1,0.586
328,0.6,2.2,0.564
329,0.6,2.3,0.484
330,0.6,2.4,0.458
331,0.6,2.5,0.452
332,0.6,2.6,0.376
333,0.6,2.7,0.374
334,0.6,2.8,0.306
335,0.6,2.9,0.332
336,0.6,3.0,0.246
337,0.6,3.1,0.224
338,0.6,3.2,0.24
339,0.6,3.3,0.192
340,0.6,3.4,0.19
341,0.6,3.5,0.198
342,0.6,3.6,0.166
343,0.6,3.7,0.198
344,0.6,3.8,0.134
345,0.6,3.9,0.156
346,0.6,4.0,0.114
347,0.6,4.1,0.148
348,0.6,4.2,0.14
349,0.6,4.3,0.11
350,0.6,4.4,0.144
351,0.6,4.5,0.122
352,0.6,4.6,0.122
353,0.6,4.7,0.096
354,0.6,4.8,0.08
355,0.6,4.9,0.116
356,0.6,5.0,0.11
357,0.7,0.0,0.766
358,0.7,0.1,0.776
359,0.7,0.2,0.752
360,0.7,0.3,0.772
361,0.7,0.4,0.742
362,0.7,0.5,0.744
363,0.7,0.6,0.786
364,0.7,0.7,0.756
365,0.7,0.8,0.774
366,0.7,0.9,0.772
367,0.7,1.0,0.76
368,0.7,1.1,0.746
369,0.7,1.2,0.746
370,0.7,1.3,0.714
371,0.7,1.4,0.742
372,0.7,1.5,0.72
373,0.7,1.6,0.7
374,0.7,1.7,0.722
375,0.7,1.8,0.736
376,0.7,1.9,0.716
377,0.7,2.0,0.682
378,0.7,2.1,0.648
379,0.7,2.2,0.586
380,0.7,2.3,0.564
381,0.7,2.4,0.494
382,0.7,2.5,0.454
383,0.7,2.6,0.452
384,0.7,2.7,0.34
385,0.7,2.8,0.364
386,0.7,2.9,0.34
387,0.7,3.0,0.294
388,0.7,3.1,0.232
389,0.7,3.2,0.264
390,0.7,3.3,0.224
391,0.7,3.4,0.216
392,0.7,3.5,0.174
393,0.7,3.6,0.17
394,0.7,3.7,0.18
395,0.7,3.8,0.148
396,0.7,3.9,0.138
397,0.7,4.0,0.168
398,0.7,4.1,0.112
399,0.7,4.2,0.112
400,0.7,4.3,0.116
401,0.7,4.4,0.124
402,0.7,4.5,0.132
403,0.7,4.6,0.112
404,0.7,4.7,0.108
