,muh1,muh2,mux1,mux2,success_rate
17487,4.7,9.4,-4.0,-8.0,0.099
17488,4.7,9.4,-3.9,-7.8,0.087
17489,4.7,9.4,-3.8,-7.6,0.103
17490,4.7,9.4,-3.7,-7.4,0.093
17491,4.7,9.4,-3.6,-7.2,0.099
17492,4.7,9.4,-3.5,-7.0,0.12
17493,4.7,9.4,-3.4,-6.8,0.103
17494,4.7,9.4,-3.3,-6.6,0.095
17495,4.7,9.4,-3.2,-6.4,0.095
17496,4.7,9.4,-3.1,-6.2,0.098
17497,4.7,9.4,-3.0,-6.0,0.105
17498,4.7,9.4,-2.9,-5.8,0.092
17499,4.7,9.4,-2.8,-5.6,0.078
17500,4.7,9.4,-2.7,-5.4,0.087
17501,4.7,9.4,-2.6,-5.2,0.107
17502,4.7,9.4,-2.5,-5.0,0.099
17503,4.7,9.4,-2.4,-4.8,0.106
17504,4.7,9.4,-2.3,-4.6,0.114
17505,4.7,9.4,-2.2,-4.4,0.096
17506,4.7,9.4,-2.1,-4.2,0.118
17507,4.7,9.4,-2.0,-4.0,0.1
17508,4.7,9.4,-1.9,-3.8,0.092
17509,4.7,9.4,-1.8,-3.6,0.101
17510,4.7,9.4,-1.7,-3.4,0.109
17511,4.7,9.4,-1.6,-3.2,0.118
17512,4.7,9.4,-1.5,-3.0,0.11
17513,4.7,9.4,-1.4,-2.8,0.106
17514,4.7,9.4,-1.3,-2.6,0.1
17515,4.7,9.4,-1.2,-2.4,0.101
17516,4.7,9.4,-1.1,-2.2,0.087
17517,4.7,9.4,-1.0,-2.0,0.112
17518,4.7,9.4,-0.9,-1.8,0.087
17519,4.7,9.4,-0.8,-1.6,0.099
17520,4.7,9.4,-0.7,-1.4,0.1
17521,4.7,9.4,-0.6,-1.2,0.11
17522,4.7,9.4,-0.5,-1.0,0.111
17523,4.7,9.4,-0.4,-0.8,0.13
17524,4.7,9.4,-0.3,-0.6,0.129
17525,4.7,9.4,-0.2,-0.4,0.172
17526,4.7,9.4,-0.1,-0.2,0.177
17527,4.7,9.4,0.0,0.0,0.194
17528,4.7,9.4,0.1,0.2,0.247
17529,4.7,9.4,0.2,0.4,0.263
17530,4.7,9.4,0.3,0.6,0.325
17531,4.7,9.4,0.4,0.8,0.386
17532,4.7,9.4,0.5,1.0,0.417
17533,4.7,9.4,0.6,1.2,0.537
17534,4.7,9.4,0.7,1.4,0.553
17535,4.7,9.4,0.8,1.6,0.607
17536,4.7,9.4,0.9,1.8,0.672
17537,4.7,9.4,1.0,2.0,0.722
17538,4.7,9.4,1.1,2.2,0.749
17539,4.7,9.4,1.2,2.4,0.812
17540,4.7,9.4,1.3,2.6,0.824
17541,4.7,9.4,1.4,2.8,0.841
17542,4.7,9.4,1.5,3.0,0.846
17543,4.7,9.4,1.6,3.2,0.851
17544,4.7,9.4,1.7,3.4,0.867
17545,4.7,9.4,1.8,3.6,0.884
17546,4.7,9.4,1.9,3.8,0.9
17547,4.7,9.4,2.0,4.0,0.884
17548,4.7,9.4,2.1,4.2,0.893
17549,4.7,9.4,2.2,4.4,0.878
17550,4.7,9.4,2.3,4.6,0.902
17551,4.7,9.4,2.4,4.8,0.89
17552,4.7,9.4,2.5,5.0,0.9
17553,4.7,9.4,2.6,5.2,0.904
17554,4.7,9.4,2.7,5.4,0.908
17555,4.7,9.4,2.8,5.6,0.901
17556,4.7,9.4,2.9,5.8,0.891
17557,4.7,9.4,3.0,6.0,0.905
17558,4.7,9.4,3.1,6.2,0.895
17559,4.7,9.4,3.2,6.4,0.894
17560,4.7,9.4,3.3,6.6,0.867
17561,4.7,9.4,3.4,6.8,0.868
17562,4.7,9.4,3.5,7.0,0.87
17563,4.7,9.4,3.6,7.2,0.824
17564,4.7,9.4,3.7,7.4,0.813
17565,4.7,9.4,3.8,7.6,0.787
17566,4.7,9.4,3.9,7.8,0.743
17567,4.7,9.4,4.0,8.0,0.701
17568,4.7,9.4,4.1,8.2,0.669
17569,4.7,9.4,4.2,8.4,0.609
17570,4.7,9.4,4.3,8.6,0.535
17571,4.7,9.4,4.4,8.8,0.531
17572,4.7,9.4,4.5,9.0,0.424
17573,4.7,9.4,4.6,9.2,0.374
17574,4.7,9.4,4.7,9.4,0.32
17575,4.7,9.4,4.8,9.6,0.289
17576,4.7,9.4,4.9,9.8,0.284
17577,4.7,9.4,5.0,10.0,0.266
17578,4.7,9.4,5.1,10.2,0.226
17579,4.7,9.4,5.2,10.4,0.214
17580,4.7,9.4,5.3,10.6,0.204
17581,4.7,9.4,5.4,10.8,0.198
17582,4.7,9.4,5.5,11.0,0.212
17583,4.7,9.4,5.6,11.2,0.212
17584,4.7,9.4,5.7,11.4,0.204
17585,4.7,9.4,5.8,11.6,0.188
17586,4.7,9.4,5.9,11.8,0.211
17587,4.7,9.4,6.0,12.0,0.231
17588,4.7,9.4,6.1,12.2,0.195
17589,4.7,9.4,6.2,12.4,0.187
17590,4.7,9.4,6.3,12.6,0.211
17591,4.7,9.4,6.4,12.8,0.193
17592,4.7,9.4,6.5,13.0,0.195
17593,4.7,9.4,6.6,13.2,0.214
17594,4.7,9.4,6.7,13.4,0.198
17595,4.7,9.4,6.8,13.6,0.208
17596,4.7,9.4,6.9,13.8,0.189
17597,4.7,9.4,7.0,14.0,0.184
17598,4.7,9.4,7.1,14.2,0.182
17599,4.7,9.4,7.2,14.4,0.202
17600,4.7,9.4,7.3,14.6,0.182
17601,4.7,9.4,7.4,14.8,0.215
17602,4.7,9.4,7.5,15.0,0.188
17603,4.7,9.4,7.6,15.2,0.183
17604,4.7,9.4,7.7,15.4,0.191
17605,4.7,9.4,7.8,15.6,0.184
17606,4.7,9.4,7.9,15.8,0.164
17607,4.7,9.4,8.0,16.0,0.176
17608,4.7,9.4,8.1,16.2,0.161
