sigx1,sigx2,sigh1,sigh2,success_rate
3.48,3.48,0.12,0.24,0.369
3.52,3.52,0.88,1.76,0.81
0.0,0.0,0.56,1.12,0.093
0.28,0.28,0.0,0.0,0.247
1.92,1.92,0.44,0.88,0.863
2.72,2.72,0.28,0.56,0.594
0.84,0.84,0.4,0.8,0.881
0.56,0.56,0.2,0.4,0.904
2.48,2.48,0.84,1.68,0.863
0.32,0.32,0.76,1.52,0.679
2.44,2.44,0.08,0.16,0.444
1.36,1.36,0.04,0.08,0.623
1.4,1.4,0.8,1.6,0.849
1.12,1.12,0.6,1.2,0.875
3.0,3.0,0.48,0.96,0.71
3.52,3.52,0.12,0.24,0.384
3.8,3.8,0.32,0.64,0.508
1.64,1.64,0.24,0.48,0.819
0.6,0.6,0.96,1.92,0.767
3.56,3.56,0.88,1.76,0.801
2.2,2.2,0.64,1.28,0.864
0.04,0.04,0.56,1.12,0.244
3.28,3.28,0.68,1.36,0.772
0.32,0.32,0.0,0.0,0.241
2.52,2.52,0.84,1.68,0.872
2.76,2.76,0.28,0.56,0.583
1.96,1.96,0.44,0.88,0.86
0.88,0.88,0.4,0.8,0.874
1.16,1.16,0.6,1.2,0.875
0.6,0.6,0.2,0.4,0.894
0.36,0.36,0.76,1.52,0.718
1.44,1.44,0.8,1.6,0.863
1.4,1.4,0.04,0.08,0.632
2.48,2.48,0.08,0.16,0.445
3.84,3.84,0.32,0.64,0.491
0.64,0.64,0.96,1.92,0.776
3.56,3.56,0.12,0.24,0.385
1.68,1.68,0.24,0.48,0.788
3.04,3.04,0.48,0.96,0.688
2.24,2.24,0.64,1.28,0.878
0.08,0.08,0.56,1.12,0.378
3.32,3.32,0.68,1.36,0.776
3.6,3.6,0.88,1.76,0.797
0.36,0.36,0.0,0.0,0.257
2.56,2.56,0.84,1.68,0.874
2.0,2.0,0.44,0.88,0.814
2.8,2.8,0.28,0.56,0.571
0.64,0.64,0.2,0.4,0.914
1.2,1.2,0.6,1.2,0.875
0.92,0.92,0.4,0.8,0.877
3.88,3.88,0.32,0.64,0.467
2.52,2.52,0.08,0.16,0.462
1.72,1.72,0.24,0.48,0.767
0.4,0.4,0.76,1.52,0.735
1.44,1.44,0.04,0.08,0.597
1.48,1.48,0.8,1.6,0.863
3.08,3.08,0.48,0.96,0.679
0.12,0.12,0.56,1.12,0.482
0.68,0.68,0.96,1.92,0.778
2.28,2.28,0.64,1.28,0.841
3.6,3.6,0.12,0.24,0.397
3.36,3.36,0.68,1.36,0.747
3.64,3.64,0.88,1.76,0.798
0.4,0.4,0.0,0.0,0.261
2.6,2.6,0.84,1.68,0.854
2.04,2.04,0.44,0.88,0.84
2.84,2.84,0.28,0.56,0.59
0.68,0.68,0.2,0.4,0.92
0.96,0.96,0.4,0.8,0.88
1.76,1.76,0.24,0.48,0.772
3.92,3.92,0.32,0.64,0.47
1.24,1.24,0.6,1.2,0.868
2.56,2.56,0.08,0.16,0.442
0.44,0.44,0.76,1.52,0.75
1.48,1.48,0.04,0.08,0.559
3.12,3.12,0.48,0.96,0.679
1.52,1.52,0.8,1.6,0.884
0.16,0.16,0.56,1.12,0.595
0.72,0.72,0.96,1.92,0.792
2.32,2.32,0.64,1.28,0.861
3.68,3.68,0.88,1.76,0.789
3.4,3.4,0.68,1.36,0.739
3.64,3.64,0.12,0.24,0.389
0.44,0.44,0.0,0.0,0.32
2.64,2.64,0.84,1.68,0.836
1.0,1.0,0.4,0.8,0.91
2.08,2.08,0.44,0.88,0.815
2.88,2.88,0.28,0.56,0.585
0.72,0.72,0.2,0.4,0.919
1.8,1.8,0.24,0.48,0.756
1.28,1.28,0.6,1.2,0.871
3.96,3.96,0.32,0.64,0.446
2.6,2.6,0.08,0.16,0.424
0.2,0.2,0.56,1.12,0.63
1.56,1.56,0.8,1.6,0.887
3.16,3.16,0.48,0.96,0.683
0.48,0.48,0.76,1.52,0.789
3.44,3.44,0.68,1.36,0.729
1.52,1.52,0.04,0.08,0.55
0.76,0.76,0.96,1.92,0.808
2.36,2.36,0.64,1.28,0.851
3.68,3.68,0.12,0.24,0.395
3.72,3.72,0.88,1.76,0.803
0.48,0.48,0.0,0.0,0.363
2.12,2.12,0.44,0.88,0.819
1.04,1.04,0.4,0.8,0.882
2.68,2.68,0.84,1.68,0.849
2.92,2.92,0.28,0.56,0.558
0.76,0.76,0.2,0.4,0.899
1.84,1.84,0.24,0.48,0.754
1.32,1.32,0.6,1.2,0.867
4.0,4.0,0.32,0.64,0.46
2.64,2.64,0.08,0.16,0.421
3.48,3.48,0.68,1.36,0.715
3.2,3.2,0.48,0.96,0.675
0.52,0.52,0.76,1.52,0.795
0.24,0.24,0.56,1.12,0.687
1.6,1.6,0.8,1.6,0.869
0.8,0.8,0.96,1.92,0.808
2.4,2.4,0.64,1.28,0.832
1.56,1.56,0.04,0.08,0.548
3.76,3.76,0.88,1.76,0.781
3.72,3.72,0.12,0.24,0.404
0.52,0.52,0.0,0.0,0.389
2.16,2.16,0.44,0.88,0.808
1.08,1.08,0.4,0.8,0.892
2.72,2.72,0.84,1.68,0.839
2.96,2.96,0.28,0.56,0.53
0.8,0.8,0.2,0.4,0.909
1.36,1.36,0.6,1.2,0.872
1.88,1.88,0.24,0.48,0.735
0.0,0.0,0.36,0.72,0.089
3.24,3.24,0.48,0.96,0.646
2.44,2.44,0.64,1.28,0.856
2.68,2.68,0.08,0.16,0.433
3.52,3.52,0.68,1.36,0.752
1.64,1.64,0.8,1.6,0.866
0.56,0.56,0.76,1.52,0.817
0.28,0.28,0.56,1.12,0.731
0.84,0.84,0.96,1.92,0.824
1.6,1.6,0.04,0.08,0.534
3.76,3.76,0.12,0.24,0.393
3.8,3.8,0.88,1.76,0.774
0.56,0.56,0.0,0.0,0.447
1.12,1.12,0.4,0.8,0.9
2.2,2.2,0.44,0.88,0.805
3.0,3.0,0.28,0.56,0.562
2.76,2.76,0.84,1.68,0.84
0.84,0.84,0.2,0.4,0.928
1.4,1.4,0.6,1.2,0.882
0.04,0.04,0.36,0.72,0.289
3.28,3.28,0.48,0.96,0.666
3.56,3.56,0.68,1.36,0.746
