$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
3.4,3.4,0.5,2.5,0.63
11.6,11.6,-0.8,1.2,0.101
2.2,2.2,-0.5,1.5,0.699
-2.9,-2.9,-4.0,-2.0,0.841
-1.5,-1.5,-3.0,-1.0,0.833
-0.1,-0.1,-2.0,0.0,0.825
0.7,0.7,-1.5,0.5,0.774
2.7,2.7,0.0,2.0,0.68
8.3,8.3,-3.3,-1.2999999999999998,0.098
12.4,12.4,-0.3,1.7,0.095
10.3,10.3,-1.8,0.19999999999999996,0.095
13.2,13.2,0.2,2.2,0.098
9.6,9.6,-2.3,-0.2999999999999998,0.095
-2.1,-2.1,-3.5,-1.5,0.825
1.3,1.3,-1.0,1.0,0.772
-0.7,-0.7,-2.5,-0.5,0.802
11.0,11.0,-1.3,0.7,0.095
13.8,13.8,0.7,2.7,0.095
9.0,9.0,-2.8,-0.7999999999999998,0.098
3.5,3.5,0.5,2.5,0.612
7.5,7.5,-3.8,-1.7999999999999998,0.095
2.3,2.3,-0.5,1.5,0.67
-1.4,-1.4,-3.0,-1.0,0.829
11.7,11.7,-0.8,1.2,0.095
10.4,10.4,-1.8,0.19999999999999996,0.098
9.7,9.7,-2.3,-0.2999999999999998,0.098
0.8,0.8,-1.5,0.5,0.792
-2.8,-2.8,-4.0,-2.0,0.851
12.5,12.5,-0.3,1.7,0.098
-2.0,-2.0,-3.5,-1.5,0.848
8.4,8.4,-3.3,-1.2999999999999998,0.114
-0.6,-0.6,-2.5,-0.5,0.838
0.0,0.0,-2.0,0.0,0.803
2.8,2.8,0.0,2.0,0.665
13.3,13.3,0.2,2.2,0.114
1.4,1.4,-1.0,1.0,0.741
3.6,3.6,0.5,2.5,0.556
13.9,13.9,0.7,2.7,0.098
11.1,11.1,-1.3,0.7,0.098
9.1,9.1,-2.8,-0.7999999999999998,0.114
-1.3,-1.3,-3.0,-1.0,0.843
10.5,10.5,-1.8,0.19999999999999996,0.114
2.4,2.4,-0.5,1.5,0.644
