,$\sigma_{h_1}$,$\sigma_{h_2}$,$\sigma_{x_1}$,$\sigma_{x_2}$,success_rate
8778,3.44,6.88,3.68,3.68,0.825
8779,3.44,6.88,3.72,3.72,0.81
8780,3.44,6.88,3.76,3.76,0.821
8781,3.44,6.88,3.8,3.8,0.824
8782,3.44,6.88,3.84,3.84,0.842
8783,3.44,6.88,3.88,3.88,0.824
8784,3.44,6.88,3.92,3.92,0.81
8785,3.44,6.88,3.96,3.96,0.803
8786,3.44,6.88,4,4,0.827
8787,3.48,6.96,0,0,0.107
8788,3.48,6.96,0.04,0.04,0.097
8789,3.48,6.96,0.08,0.08,0.153
8790,3.48,6.96,0.12,0.12,0.162
8791,3.48,6.96,0.16,0.16,0.193
8792,3.48,6.96,0.2,0.2,0.19
8793,3.48,6.96,0.24,0.24,0.237
8794,3.48,6.96,0.28,0.28,0.267
8795,3.48,6.96,0.32,0.32,0.267
8796,3.48,6.96,0.36,0.36,0.317
8797,3.48,6.96,0.4,0.4,0.322
8798,3.48,6.96,0.44,0.44,0.362
8799,3.48,6.96,0.48,0.48,0.379
8800,3.48,6.96,0.52,0.52,0.397
8801,3.48,6.96,0.56,0.56,0.415
8802,3.48,6.96,0.6,0.6,0.448
8803,3.48,6.96,0.64,0.64,0.444
8804,3.48,6.96,0.68,0.68,0.473
8805,3.48,6.96,0.72,0.72,0.488
8806,3.48,6.96,0.76,0.76,0.502
8807,3.48,6.96,0.8,0.8,0.525
8808,3.48,6.96,0.84,0.84,0.551
8809,3.48,6.96,0.88,0.88,0.566
8810,3.48,6.96,0.92,0.92,0.559
8811,3.48,6.96,0.96,0.96,0.581
8812,3.48,6.96,1,1,0.559
8813,3.48,6.96,1.04,1.04,0.615
8814,3.48,6.96,1.08,1.08,0.627
8815,3.48,6.96,1.12,1.12,0.613
8816,3.48,6.96,1.16,1.16,0.621
8817,3.48,6.96,1.2,1.2,0.642
8818,3.48,6.96,1.24,1.24,0.64
8819,3.48,6.96,1.28,1.28,0.635
8820,3.48,6.96,1.32,1.32,0.656
8821,3.48,6.96,1.36,1.36,0.669
8822,3.48,6.96,1.4,1.4,0.679
8823,3.48,6.96,1.44,1.44,0.668
8824,3.48,6.96,1.48,1.48,0.685
8825,3.48,6.96,1.52,1.52,0.691
8826,3.48,6.96,1.56,1.56,0.707
8827,3.48,6.96,1.6,1.6,0.716
8828,3.48,6.96,1.64,1.64,0.71
8829,3.48,6.96,1.68,1.68,0.731
8830,3.48,6.96,1.72,1.72,0.723
8831,3.48,6.96,1.76,1.76,0.713
8832,3.48,6.96,1.8,1.8,0.711
8833,3.48,6.96,1.84,1.84,0.744
8834,3.48,6.96,1.88,1.88,0.752
8835,3.48,6.96,1.92,1.92,0.733
8836,3.48,6.96,1.96,1.96,0.729
8837,3.48,6.96,2,2,0.746
8838,3.48,6.96,2.04,2.04,0.737
8839,3.48,6.96,2.08,2.08,0.765
8840,3.48,6.96,2.12,2.12,0.759
8841,3.48,6.96,2.16,2.16,0.758
8842,3.48,6.96,2.2,2.2,0.779
8843,3.48,6.96,2.24,2.24,0.76
8844,3.48,6.96,2.28,2.28,0.785
8845,3.48,6.96,2.32,2.32,0.759
8846,3.48,6.96,2.36,2.36,0.777
8847,3.48,6.96,2.4,2.4,0.775
8848,3.48,6.96,2.44,2.44,0.782
8849,3.48,6.96,2.48,2.48,0.789
8850,3.48,6.96,2.52,2.52,0.797
8851,3.48,6.96,2.56,2.56,0.796
8852,3.48,6.96,2.6,2.6,0.79
8853,3.48,6.96,2.64,2.64,0.786
8854,3.48,6.96,2.68,2.68,0.794
8855,3.48,6.96,2.72,2.72,0.79
8856,3.48,6.96,2.76,2.76,0.783
