$\sigma_{x_1}$,$\sigma_{x_2}$,$\sigma_{h_1}$,$\sigma_{h_2}$,success_rate
1.16,1.16,0.4,2.4,0.746
2.52,2.52,0.64,2.64,0.83
0.56,0.56,0.0,2.0,0.59
1.44,1.44,0.6,2.6,0.801
3.6,3.6,0.68,2.68,0.833
3.0,3.0,0.28,2.2800000000000002,0.842
0.12,0.12,0.36,2.36,0.532
0.96,0.96,0.2,2.2,0.702
1.76,1.76,0.8,2.8,0.805
1.2,1.2,0.4,2.4,0.765
0.72,0.72,0.76,2.76,0.758
3.84,3.84,0.12,2.12,0.812
2.8,2.8,0.08,2.08,0.846
2.84,2.84,0.84,2.84,0.839
1.68,1.68,0.04,2.04,0.817
3.88,3.88,0.88,2.88,0.842
0.36,0.36,0.56,2.56,0.71
0.96,0.96,0.96,2.96,0.766
3.32,3.32,0.48,2.48,0.847
2.0,2.0,0.24,2.24,0.828
2.24,2.24,0.44,2.44,0.827
3.64,3.64,0.68,2.68,0.818
1.48,1.48,0.6,2.6,0.793
0.16,0.16,0.36,2.36,0.633
0.6,0.6,0.0,2.0,0.59
2.56,2.56,0.64,2.64,0.835
1.8,1.8,0.8,2.8,0.809
1.24,1.24,0.4,2.4,0.752
3.92,3.92,0.88,2.88,0.818
3.04,3.04,0.28,2.2800000000000002,0.859
0.76,0.76,0.76,2.76,0.774
1.72,1.72,0.04,2.04,0.82
2.84,2.84,0.08,2.08,0.839
2.88,2.88,0.84,2.84,0.821
3.36,3.36,0.48,2.48,0.836
3.88,3.88,0.12,2.12,0.8
0.2,0.2,0.36,2.36,0.654
1.0,1.0,0.2,2.2,0.734
0.4,0.4,0.56,2.56,0.708
1.0,1.0,0.96,2.96,0.804
3.68,3.68,0.68,2.68,0.847
1.52,1.52,0.6,2.6,0.801
2.04,2.04,0.24,2.24,0.829
2.28,2.28,0.44,2.44,0.821
1.28,1.28,0.4,2.4,0.772
0.64,0.64,0.0,2.0,0.635
3.96,3.96,0.88,2.88,0.844
0.24,0.24,0.36,2.36,0.693
1.84,1.84,0.8,2.8,0.848
2.6,2.6,0.64,2.64,0.857
3.08,3.08,0.28,2.2800000000000002,0.846
3.4,3.4,0.48,2.48,0.84
0.8,0.8,0.76,2.76,0.743
1.04,1.04,0.96,2.96,0.807
3.92,3.92,0.12,2.12,0.819
2.92,2.92,0.84,2.84,0.834
2.88,2.88,0.08,2.08,0.86
3.72,3.72,0.68,2.68,0.838
1.76,1.76,0.04,2.04,0.827
2.08,2.08,0.24,2.24,0.825
2.32,2.32,0.44,2.44,0.826
1.04,1.04,0.2,2.2,0.727
0.44,0.44,0.56,2.56,0.735
1.56,1.56,0.6,2.6,0.791
1.32,1.32,0.4,2.4,0.789
4.0,4.0,0.88,2.88,0.828
0.28,0.28,0.36,2.36,0.725
1.88,1.88,0.8,2.8,0.823
3.96,3.96,0.12,2.12,0.805
