$\sigma_{x_1}$,$\sigma_{x_2}$,$\sigma_{h_1}$,$\sigma_{h_2}$,success_rate
1.76,1.76,0.08,2.08,0.839
3.76,3.76,0.72,2.7199999999999998,0.837
3.0,3.0,0.12,2.12,0.818
2.04,2.04,0.84,2.84,0.815
0.52,0.52,0.6,2.6,0.764
1.0,1.0,0.8,2.8,0.786
1.56,1.56,0.44,2.44,0.787
1.36,1.36,1.0,3.0,0.842
1.2,1.2,0.24,2.24,0.741
2.68,2.68,0.68,2.68,0.822
0.76,0.76,0.04,2.04,0.633
0.0,0.0,0.2,2.2,0.108
3.28,3.28,0.32,2.32,0.832
2.48,2.48,0.48,2.48,0.838
0.52,0.52,0.4,2.4,0.744
1.72,1.72,0.64,2.64,0.807
3.16,3.16,0.88,2.88,0.852
0.08,0.08,0.96,2.96,0.228
3.68,3.68,0.52,2.52,0.824
2.28,2.28,0.28,2.2800000000000002,0.822
3.8,3.8,0.72,2.7199999999999998,0.852
1.8,1.8,0.08,2.08,0.82
1.4,1.4,1.0,3.0,0.784
1.04,1.04,0.8,2.8,0.794
2.08,2.08,0.84,2.84,0.829
3.32,3.32,0.32,2.32,0.832
1.6,1.6,0.44,2.44,0.801
3.04,3.04,0.12,2.12,0.84
0.8,0.8,0.04,2.04,0.673
0.04,0.04,0.2,2.2,0.403
0.56,0.56,0.6,2.6,0.746
2.72,2.72,0.68,2.68,0.832
2.48,2.48,1.04,3.04,0.83
1.24,1.24,0.24,2.24,0.753
2.52,2.52,0.48,2.48,0.84
1.76,1.76,0.64,2.64,0.816
3.72,3.72,0.52,2.52,0.833
0.12,0.12,0.96,2.96,0.306
3.2,3.2,0.88,2.88,0.81
2.32,2.32,0.28,2.2800000000000002,0.842
3.84,3.84,0.72,2.7199999999999998,0.836
3.08,3.08,0.12,2.12,0.833
1.44,1.44,1.0,3.0,0.82
2.12,2.12,0.84,2.84,0.822
1.84,1.84,0.08,2.08,0.847
1.08,1.08,0.8,2.8,0.801
0.6,0.6,0.6,2.6,0.768
3.36,3.36,0.32,2.32,0.832
0.84,0.84,0.04,2.04,0.704
1.8,1.8,0.64,2.64,0.812
3.56,3.56,1.08,3.08,0.854
1.28,1.28,0.24,2.24,0.771
3.76,3.76,0.52,2.52,0.83
2.52,2.52,1.04,3.04,0.843
0.08,0.08,0.2,2.2,0.559
2.76,2.76,0.68,2.68,0.844
2.56,2.56,0.48,2.48,0.835
3.24,3.24,0.88,2.88,0.851
0.16,0.16,0.96,2.96,0.359
0.64,0.64,0.6,2.6,0.742
0.6,0.6,1.16,3.16,0.701
3.88,3.88,0.72,2.7199999999999998,0.823
3.12,3.12,0.12,2.12,0.857
2.36,2.36,0.28,2.2800000000000002,0.838
1.88,1.88,0.08,2.08,0.821
2.16,2.16,0.84,2.84,0.849
1.48,1.48,1.0,3.0,0.827
3.6,3.6,1.08,3.08,0.853
1.84,1.84,0.64,2.64,0.797
0.88,0.88,0.04,2.04,0.693
3.4,3.4,0.32,2.32,0.828
1.68,1.68,1.2,3.2,0.816
0.12,0.12,0.2,2.2,0.665
2.8,2.8,0.68,2.68,0.81
1.32,1.32,0.24,2.24,0.764
2.56,2.56,1.04,3.04,0.848
2.6,2.6,0.48,2.48,0.853
0.68,0.68,0.6,2.6,0.77
2.76,2.76,1.24,3.24,0.845
0.64,0.64,1.16,3.16,0.701
3.92,3.92,0.72,2.7199999999999998,0.838
1.92,1.92,0.08,2.08,0.848
0.2,0.2,0.96,2.96,0.448
0.92,0.92,0.04,2.04,0.699
3.84,3.84,1.28,3.2800000000000002,0.846
3.16,3.16,0.12,2.12,0.826
1.52,1.52,1.0,3.0,0.826
3.64,3.64,1.08,3.08,0.844
1.88,1.88,0.64,2.64,0.807
3.44,3.44,0.32,2.32,0.841
2.4,2.4,0.28,2.2800000000000002,0.856
2.84,2.84,0.68,2.68,0.836
1.72,1.72,1.2,3.2,0.838
3.96,3.96,0.72,2.7199999999999998,0.844
2.8,2.8,1.24,3.24,0.848
0.16,0.16,0.2,2.2,0.709
0.72,0.72,0.6,2.6,0.757
0.96,0.96,0.04,2.04,0.742
1.96,1.96,0.08,2.08,0.807
0.88,0.88,1.36,3.3600000000000003,0.75
2.6,2.6,1.04,3.04,0.833
2.64,2.64,0.48,2.48,0.813
0.68,0.68,1.16,3.16,0.724
3.88,3.88,1.28,3.2800000000000002,0.83
3.2,3.2,0.12,2.12,0.846
3.48,3.48,0.32,2.32,0.836
0.24,0.24,0.96,2.96,0.5
1.56,1.56,1.0,3.0,0.821
1.96,1.96,1.4,3.4,0.837
2.0,2.0,0.08,2.08,0.826
3.68,3.68,1.08,3.08,0.836
3.04,3.04,1.44,3.44,0.831
0.76,0.76,0.6,2.6,0.788
2.84,2.84,1.24,3.24,0.861
4.0,4.0,0.72,2.7199999999999998,0.816
1.0,1.0,0.04,2.04,0.704
1.76,1.76,1.2,3.2,0.825
2.88,2.88,0.68,2.68,0.849
0.2,0.2,0.2,2.2,0.704
3.92,3.92,1.28,3.2800000000000002,0.845
0.92,0.92,1.36,3.3600000000000003,0.771
0.08,0.08,1.52,3.52,0.207
2.68,2.68,0.48,2.48,0.845
0.72,0.72,1.16,3.16,0.745
2.64,2.64,1.04,3.04,0.831
1.16,1.16,1.56,3.56,0.771
0.28,0.28,0.96,2.96,0.539
3.08,3.08,1.44,3.44,0.831
0.8,0.8,0.6,2.6,0.771
3.72,3.72,1.08,3.08,0.832
2.0,2.0,1.4,3.4,0.838
0.0,0.0,0.76,2.76,0.092
2.04,2.04,0.08,2.08,0.831
1.04,1.04,0.04,2.04,0.725
1.6,1.6,1.0,3.0,0.813
1.8,1.8,1.2,3.2,0.819
0.12,0.12,1.52,3.52,0.247
2.88,2.88,1.24,3.24,0.85
2.24,2.24,1.6,3.6,0.818
0.76,0.76,1.16,3.16,0.742
3.96,3.96,1.28,3.2800000000000002,0.842
2.92,2.92,0.68,2.68,0.827
0.24,0.24,0.2,2.2,0.712
1.2,1.2,1.56,3.56,0.795
0.96,0.96,1.36,3.3600000000000003,0.75
2.68,2.68,1.04,3.04,0.839
3.32,3.32,1.64,3.6399999999999997,0.841
0.36,0.36,1.72,3.7199999999999998,0.489
3.76,3.76,1.08,3.08,0.851
2.04,2.04,1.4,3.4,0.832
2.08,2.08,0.08,2.08,0.828
1.44,1.44,1.76,3.76,0.816
3.12,3.12,1.44,3.44,0.842
2.52,2.52,1.8,3.8,0.849
1.84,1.84,1.2,3.2,0.815
1.64,1.64,1.0,3.0,0.845
0.16,0.16,1.52,3.52,0.319
2.28,2.28,1.6,3.6,0.833
0.8,0.8,1.16,3.16,0.748
2.96,2.96,0.68,2.68,0.85
2.92,2.92,1.24,3.24,0.863
3.6,3.6,1.84,3.84,0.817
4.0,4.0,1.28,3.2800000000000002,0.817
1.24,1.24,1.56,3.56,0.817
3.8,3.8,1.08,3.08,0.842
2.12,2.12,0.08,2.08,0.831
2.72,2.72,1.04,3.04,0.85
1.0,1.0,1.36,3.3600000000000003,0.802
0.4,0.4,1.72,3.7199999999999998,0.5
3.36,3.36,1.64,3.6399999999999997,0.844
1.48,1.48,1.76,3.76,0.794
2.08,2.08,1.4,3.4,0.825
3.16,3.16,1.44,3.44,0.823
1.68,1.68,1.0,3.0,0.824
1.88,1.88,1.2,3.2,0.829
0.0,0.0,1.32,3.3200000000000003,0.102
2.32,2.32,1.6,3.6,0.834
2.56,2.56,1.8,3.8,0.848
0.84,0.84,1.16,3.16,0.782
0.2,0.2,1.52,3.52,0.339
3.64,3.64,1.84,3.84,0.866
1.04,1.04,1.36,3.3600000000000003,0.783
1.72,1.72,1.96,3.96,0.797
3.84,3.84,1.08,3.08,0.821
0.44,0.44,1.72,3.7199999999999998,0.538
2.96,2.96,1.24,3.24,0.836
0.64,0.64,1.92,3.92,0.636
1.28,1.28,1.56,3.56,0.802
1.52,1.52,1.76,3.76,0.801
2.76,2.76,1.04,3.04,0.836
3.4,3.4,1.64,3.6399999999999997,0.847
1.92,1.92,1.2,3.2,0.807
2.12,2.12,1.4,3.4,0.838
3.2,3.2,1.44,3.44,0.846
3.68,3.68,1.84,3.84,0.859
0.24,0.24,1.52,3.52,0.393
1.72,1.72,1.0,3.0,0.83
1.08,1.08,1.36,3.3600000000000003,0.766
2.36,2.36,1.6,3.6,0.823
1.76,1.76,1.96,3.96,0.82
0.04,0.04,1.32,3.3200000000000003,0.159
1.56,1.56,1.76,3.76,0.802
0.88,0.88,1.16,3.16,0.763
2.6,2.6,1.8,3.8,0.831
3.88,3.88,1.08,3.08,0.839
3.0,3.0,1.24,3.24,0.846
0.48,0.48,1.72,3.7199999999999998,0.578
0.68,0.68,1.92,3.92,0.65
1.32,1.32,1.56,3.56,0.786
3.44,3.44,1.64,3.6399999999999997,0.837
2.8,2.8,1.04,3.04,0.837
1.96,1.96,1.2,3.2,0.839
3.24,3.24,1.44,3.44,0.84
2.16,2.16,1.4,3.4,0.817
1.12,1.12,1.36,3.3600000000000003,0.789
0.28,0.28,1.52,3.52,0.443
3.72,3.72,1.84,3.84,0.859
0.92,0.92,1.16,3.16,0.758
2.4,2.4,1.6,3.6,0.832
1.8,1.8,1.96,3.96,0.819
1.6,1.6,1.76,3.76,0.793
1.76,1.76,1.0,3.0,0.829
3.04,3.04,1.24,3.24,0.863
2.64,2.64,1.8,3.8,0.834
0.72,0.72,1.92,3.92,0.667
0.52,0.52,1.72,3.7199999999999998,0.592
0.08,0.08,1.32,3.3200000000000003,0.228
3.92,3.92,1.08,3.08,0.839
1.36,1.36,1.56,3.56,0.81
3.48,3.48,1.64,3.6399999999999997,0.842
2.0,2.0,1.2,3.2,0.834
3.28,3.28,1.44,3.44,0.841
2.84,2.84,1.04,3.04,0.857
2.44,2.44,1.6,3.6,0.834
3.08,3.08,1.24,3.24,0.848
1.16,1.16,1.36,3.3600000000000003,0.773
2.2,2.2,1.4,3.4,0.852
3.76,3.76,1.84,3.84,0.826
0.96,0.96,1.16,3.16,0.774
0.76,0.76,1.92,3.92,0.672
0.12,0.12,1.32,3.3200000000000003,0.247
0.32,0.32,1.52,3.52,0.479
1.8,1.8,1.0,3.0,0.831
0.56,0.56,1.72,3.7199999999999998,0.639
1.64,1.64,1.76,3.76,0.816
1.84,1.84,1.96,3.96,0.814
2.68,2.68,1.8,3.8,0.846
3.96,3.96,1.08,3.08,0.862
2.04,2.04,1.2,3.2,0.834
3.52,3.52,1.64,3.6399999999999997,0.842
1.4,1.4,1.56,3.56,0.808
3.32,3.32,1.44,3.44,0.863
0.8,0.8,1.92,3.92,0.724
1.2,1.2,1.36,3.3600000000000003,0.762
3.12,3.12,1.24,3.24,0.854
2.48,2.48,1.6,3.6,0.842
3.8,3.8,1.84,3.84,0.855
2.88,2.88,1.04,3.04,0.858
0.6,0.6,1.72,3.7199999999999998,0.635
1.0,1.0,1.16,3.16,0.795
0.36,0.36,1.52,3.52,0.504
2.24,2.24,1.4,3.4,0.827
0.16,0.16,1.32,3.3200000000000003,0.33
1.84,1.84,1.0,3.0,0.847
2.08,2.08,1.2,3.2,0.835
1.88,1.88,1.96,3.96,0.811
2.72,2.72,1.8,3.8,0.805
1.68,1.68,1.76,3.76,0.807
4.0,4.0,1.08,3.08,0.855
3.56,3.56,1.64,3.6399999999999997,0.842
3.36,3.36,1.44,3.44,0.855
1.44,1.44,1.56,3.56,0.802
0.84,0.84,1.92,3.92,0.689
3.84,3.84,1.84,3.84,0.847
1.24,1.24,1.36,3.3600000000000003,0.797
1.04,1.04,1.16,3.16,0.804
0.4,0.4,1.52,3.52,0.561
2.12,2.12,1.2,3.2,0.848
3.16,3.16,1.24,3.24,0.843
2.52,2.52,1.6,3.6,0.84
2.92,2.92,1.04,3.04,0.827
0.2,0.2,1.32,3.3200000000000003,0.395
0.64,0.64,1.72,3.7199999999999998,0.654
1.92,1.92,1.96,3.96,0.82
2.28,2.28,1.4,3.4,0.814
2.76,2.76,1.8,3.8,0.85
1.88,1.88,1.0,3.0,0.829
1.48,1.48,1.56,3.56,0.821
3.4,3.4,1.44,3.44,0.848
1.72,1.72,1.76,3.76,0.803
3.6,3.6,1.64,3.6399999999999997,0.838
0.0,0.0,1.12,3.12,0.106
0.88,0.88,1.92,3.92,0.706
3.88,3.88,1.84,3.84,0.846
1.28,1.28,1.36,3.3600000000000003,0.772
3.2,3.2,1.24,3.24,0.845
0.44,0.44,1.52,3.52,0.571
1.96,1.96,1.96,3.96,0.806
2.16,2.16,1.2,3.2,0.83
2.8,2.8,1.8,3.8,0.834
1.92,1.92,1.0,3.0,0.822
2.96,2.96,1.04,3.04,0.818
2.56,2.56,1.6,3.6,0.844
1.08,1.08,1.16,3.16,0.787
0.68,0.68,1.72,3.7199999999999998,0.666
0.24,0.24,1.32,3.3200000000000003,0.438
1.52,1.52,1.56,3.56,0.827
2.32,2.32,1.4,3.4,0.822
3.64,3.64,1.64,3.6399999999999997,0.843
1.76,1.76,1.76,3.76,0.793
3.44,3.44,1.44,3.44,0.866
0.04,0.04,1.12,3.12,0.175
1.32,1.32,1.36,3.3600000000000003,0.803
0.92,0.92,1.92,3.92,0.707
3.92,3.92,1.84,3.84,0.851
0.48,0.48,1.52,3.52,0.594
3.24,3.24,1.24,3.24,0.84
2.84,2.84,1.8,3.8,0.825
2.6,2.6,1.6,3.6,0.85
2.0,2.0,1.96,3.96,0.841
1.96,1.96,1.0,3.0,0.846
1.12,1.12,1.16,3.16,0.791
0.28,0.28,1.32,3.3200000000000003,0.476
2.2,2.2,1.2,3.2,0.844
3.0,3.0,1.04,3.04,0.833
1.56,1.56,1.56,3.56,0.815
1.8,1.8,1.76,3.76,0.816
2.36,2.36,1.4,3.4,0.845
0.72,0.72,1.72,3.7199999999999998,0.662
3.68,3.68,1.64,3.6399999999999997,0.851
3.48,3.48,1.44,3.44,0.849
1.36,1.36,1.36,3.3600000000000003,0.799
0.08,0.08,1.12,3.12,0.223
0.96,0.96,1.92,3.92,0.711
3.28,3.28,1.24,3.24,0.837
0.52,0.52,1.52,3.52,0.607
3.96,3.96,1.84,3.84,0.837
2.88,2.88,1.8,3.8,0.832
2.04,2.04,1.96,3.96,0.807
0.32,0.32,1.32,3.3200000000000003,0.503
2.64,2.64,1.6,3.6,0.853
1.84,1.84,1.76,3.76,0.826
2.24,2.24,1.2,3.2,0.832
3.04,3.04,1.04,3.04,0.856
2.0,2.0,1.0,3.0,0.84
1.6,1.6,1.56,3.56,0.801
1.16,1.16,1.16,3.16,0.793
2.4,2.4,1.4,3.4,0.815
0.76,0.76,1.72,3.7199999999999998,0.701
3.72,3.72,1.64,3.6399999999999997,0.846
3.52,3.52,1.44,3.44,0.859
0.12,0.12,1.12,3.12,0.272
1.4,1.4,1.36,3.3600000000000003,0.8
3.32,3.32,1.24,3.24,0.838
1.0,1.0,1.92,3.92,0.718
2.92,2.92,1.8,3.8,0.866
2.08,2.08,1.96,3.96,0.833
0.56,0.56,1.52,3.52,0.613
2.68,2.68,1.6,3.6,0.827
0.36,0.36,1.32,3.3200000000000003,0.572
4.0,4.0,1.84,3.84,0.85
2.28,2.28,1.2,3.2,0.839
1.64,1.64,1.56,3.56,0.813
1.88,1.88,1.76,3.76,0.822
2.04,2.04,1.0,3.0,0.839
3.08,3.08,1.04,3.04,0.853
1.2,1.2,1.16,3.16,0.819
2.44,2.44,1.4,3.4,0.821
0.8,0.8,1.72,3.7199999999999998,0.713
3.76,3.76,1.64,3.6399999999999997,0.843
3.56,3.56,1.44,3.44,0.84
1.04,1.04,1.92,3.92,0.726
0.16,0.16,1.12,3.12,0.357
2.12,2.12,1.96,3.96,0.848
2.96,2.96,1.8,3.8,0.836
0.6,0.6,1.52,3.52,0.676
1.44,1.44,1.36,3.3600000000000003,0.812
0.4,0.4,1.32,3.3200000000000003,0.618
3.36,3.36,1.24,3.24,0.84
0.0,0.0,1.88,3.88,0.104
1.92,1.92,1.76,3.76,0.829
3.12,3.12,1.04,3.04,0.845
2.32,2.32,1.2,3.2,0.85
2.72,2.72,1.6,3.6,0.833
2.08,2.08,1.0,3.0,0.843
1.68,1.68,1.56,3.56,0.832
1.24,1.24,1.16,3.16,0.82
0.84,0.84,1.72,3.7199999999999998,0.698
3.8,3.8,1.64,3.6399999999999997,0.845
3.6,3.6,1.44,3.44,0.835
2.48,2.48,1.4,3.4,0.82
3.4,3.4,1.24,3.24,0.837
2.16,2.16,1.96,3.96,0.824
1.08,1.08,1.92,3.92,0.734
0.64,0.64,1.52,3.52,0.661
0.44,0.44,1.32,3.3200000000000003,0.606
0.2,0.2,1.12,3.12,0.411
1.48,1.48,1.36,3.3600000000000003,0.812
3.0,3.0,1.8,3.8,0.843
0.04,0.04,1.88,3.88,0.131
2.36,2.36,1.2,3.2,0.845
1.96,1.96,1.76,3.76,0.831
3.16,3.16,1.04,3.04,0.844
2.76,2.76,1.6,3.6,0.843
1.28,1.28,1.16,3.16,0.82
2.12,2.12,1.0,3.0,0.826
1.72,1.72,1.56,3.56,0.826
0.88,0.88,1.72,3.7199999999999998,0.71
3.84,3.84,1.64,3.6399999999999997,0.849
3.64,3.64,1.44,3.44,0.828
1.52,1.52,1.36,3.3600000000000003,0.823
2.52,2.52,1.4,3.4,0.848
3.04,3.04,1.8,3.8,0.84
0.08,0.08,1.88,3.88,0.186
3.44,3.44,1.24,3.24,0.825
0.48,0.48,1.32,3.3200000000000003,0.622
2.2,2.2,1.96,3.96,0.807
0.24,0.24,1.12,3.12,0.47
0.68,0.68,1.52,3.52,0.695
2.0,2.0,1.76,3.76,0.835
1.12,1.12,1.92,3.92,0.752
2.4,2.4,1.2,3.2,0.833
3.2,3.2,1.04,3.04,0.852
2.16,2.16,1.0,3.0,0.837
1.32,1.32,1.16,3.16,0.792
2.8,2.8,1.6,3.6,0.825
0.92,0.92,1.72,3.7199999999999998,0.727
1.76,1.76,1.56,3.56,0.823
0.72,0.72,1.52,3.52,0.714
2.24,2.24,1.96,3.96,0.828
3.88,3.88,1.64,3.6399999999999997,0.83
1.56,1.56,1.36,3.3600000000000003,0.819
0.52,0.52,1.32,3.3200000000000003,0.653
3.68,3.68,1.44,3.44,0.839
0.12,0.12,1.88,3.88,0.233
2.56,2.56,1.4,3.4,0.799
1.16,1.16,1.92,3.92,0.765
3.08,3.08,1.8,3.8,0.845
2.04,2.04,1.76,3.76,0.829
3.48,3.48,1.24,3.24,0.872
0.28,0.28,1.12,3.12,0.522
3.24,3.24,1.04,3.04,0.842
2.84,2.84,1.6,3.6,0.856
1.36,1.36,1.16,3.16,0.777
2.44,2.44,1.2,3.2,0.836
2.2,2.2,1.0,3.0,0.825
0.76,0.76,1.52,3.52,0.731
1.6,1.6,1.36,3.3600000000000003,0.839
0.16,0.16,1.88,3.88,0.276
1.2,1.2,1.92,3.92,0.77
0.56,0.56,1.32,3.3200000000000003,0.674
0.96,0.96,1.72,3.7199999999999998,0.72
2.28,2.28,1.96,3.96,0.841
3.72,3.72,1.44,3.44,0.866
1.8,1.8,1.56,3.56,0.825
0.32,0.32,1.12,3.12,0.532
3.92,3.92,1.64,3.6399999999999997,0.844
3.52,3.52,1.24,3.24,0.853
2.6,2.6,1.4,3.4,0.842
2.08,2.08,1.76,3.76,0.838
2.48,2.48,1.2,3.2,0.832
3.12,3.12,1.8,3.8,0.84
2.24,2.24,1.0,3.0,0.831
2.88,2.88,1.6,3.6,0.831
3.28,3.28,1.04,3.04,0.84
1.4,1.4,1.16,3.16,0.796
1.64,1.64,1.36,3.3600000000000003,0.825
1.0,1.0,1.72,3.7199999999999998,0.73
3.96,3.96,1.64,3.6399999999999997,0.846
0.6,0.6,1.32,3.3200000000000003,0.662
0.8,0.8,1.52,3.52,0.7
0.2,0.2,1.88,3.88,0.291
3.76,3.76,1.44,3.44,0.847
1.24,1.24,1.92,3.92,0.766
1.84,1.84,1.56,3.56,0.835
0.36,0.36,1.12,3.12,0.598
2.32,2.32,1.96,3.96,0.831
3.56,3.56,1.24,3.24,0.832
2.52,2.52,1.2,3.2,0.837
2.92,2.92,1.6,3.6,0.852
2.12,2.12,1.76,3.76,0.839
2.64,2.64,1.4,3.4,0.849
3.32,3.32,1.04,3.04,0.837
2.28,2.28,1.0,3.0,0.84
3.16,3.16,1.8,3.8,0.855
1.04,1.04,1.72,3.7199999999999998,0.741
1.44,1.44,1.16,3.16,0.819
4.0,4.0,1.64,3.6399999999999997,0.84
1.68,1.68,1.36,3.3600000000000003,0.827
1.28,1.28,1.92,3.92,0.778
0.84,0.84,1.52,3.52,0.721
1.88,1.88,1.56,3.56,0.825
2.36,2.36,1.96,3.96,0.851
0.24,0.24,1.88,3.88,0.356
0.64,0.64,1.32,3.3200000000000003,0.715
3.8,3.8,1.44,3.44,0.839
3.6,3.6,1.24,3.24,0.839
2.96,2.96,1.6,3.6,0.847
0.4,0.4,1.12,3.12,0.597
2.16,2.16,1.76,3.76,0.837
2.56,2.56,1.2,3.2,0.837
2.32,2.32,1.0,3.0,0.848
1.08,1.08,1.72,3.7199999999999998,0.754
3.36,3.36,1.04,3.04,0.834
2.68,2.68,1.4,3.4,0.845
1.48,1.48,1.16,3.16,0.833
3.2,3.2,1.8,3.8,0.841
0.0,0.0,1.68,3.6799999999999997,0.119
1.72,1.72,1.36,3.3600000000000003,0.83
2.4,2.4,1.96,3.96,0.858
1.32,1.32,1.92,3.92,0.751
1.92,1.92,1.56,3.56,0.815
0.88,0.88,1.52,3.52,0.736
3.84,3.84,1.44,3.44,0.867
3.64,3.64,1.24,3.24,0.85
2.2,2.2,1.76,3.76,0.835
2.6,2.6,1.2,3.2,0.829
3.0,3.0,1.6,3.6,0.849
0.28,0.28,1.88,3.88,0.388
0.68,0.68,1.32,3.3200000000000003,0.732
2.36,2.36,1.0,3.0,0.831
0.44,0.44,1.12,3.12,0.638
3.4,3.4,1.04,3.04,0.825
2.72,2.72,1.4,3.4,0.841
1.12,1.12,1.72,3.7199999999999998,0.768
3.24,3.24,1.8,3.8,0.841
0.04,0.04,1.68,3.6799999999999997,0.133
1.52,1.52,1.16,3.16,0.809
1.76,1.76,1.36,3.3600000000000003,0.822
2.44,2.44,1.96,3.96,0.838
0.32,0.32,1.88,3.88,0.423
2.24,2.24,1.76,3.76,0.84
3.04,3.04,1.6,3.6,0.849
1.96,1.96,1.56,3.56,0.831
3.68,3.68,1.24,3.24,0.831
1.36,1.36,1.92,3.92,0.772
2.4,2.4,1.0,3.0,0.861
2.64,2.64,1.2,3.2,0.841
3.88,3.88,1.44,3.44,0.837
0.92,0.92,1.52,3.52,0.729
3.44,3.44,1.04,3.04,0.86
0.72,0.72,1.32,3.3200000000000003,0.732
0.48,0.48,1.12,3.12,0.661
2.76,2.76,1.4,3.4,0.846
0.36,0.36,1.88,3.88,0.465
1.56,1.56,1.16,3.16,0.838
2.28,2.28,1.76,3.76,0.856
1.16,1.16,1.72,3.7199999999999998,0.777
0.08,0.08,1.68,3.6799999999999997,0.189
3.08,3.08,1.6,3.6,0.83
2.44,2.44,1.0,3.0,0.858
3.28,3.28,1.8,3.8,0.844
2.68,2.68,1.2,3.2,0.851
3.72,3.72,1.24,3.24,0.832
1.8,1.8,1.36,3.3600000000000003,0.814
2.48,2.48,1.96,3.96,0.844
1.4,1.4,1.92,3.92,0.788
2.0,2.0,1.56,3.56,0.836
3.48,3.48,1.04,3.04,0.833
3.92,3.92,1.44,3.44,0.856
0.96,0.96,1.52,3.52,0.757
1.6,1.6,1.16,3.16,0.823
0.4,0.4,1.88,3.88,0.488
2.8,2.8,1.4,3.4,0.86
0.76,0.76,1.32,3.3200000000000003,0.754
0.12,0.12,1.68,3.6799999999999997,0.237
3.12,3.12,1.6,3.6,0.845
0.52,0.52,1.12,3.12,0.705
2.32,2.32,1.76,3.76,0.847
1.2,1.2,1.72,3.7199999999999998,0.777
1.44,1.44,1.92,3.92,0.759
1.84,1.84,1.36,3.3600000000000003,0.839
2.48,2.48,1.0,3.0,0.817
3.76,3.76,1.24,3.24,0.846
3.52,3.52,1.04,3.04,0.855
3.32,3.32,1.8,3.8,0.852
2.72,2.72,1.2,3.2,0.83
2.52,2.52,1.96,3.96,0.852
0.44,0.44,1.88,3.88,0.514
2.04,2.04,1.56,3.56,0.842
1.64,1.64,1.16,3.16,0.822
2.84,2.84,1.4,3.4,0.84
3.96,3.96,1.44,3.44,0.837
1.0,1.0,1.52,3.52,0.746
0.8,0.8,1.32,3.3200000000000003,0.742
0.16,0.16,1.68,3.6799999999999997,0.288
3.16,3.16,1.6,3.6,0.843
1.24,1.24,1.72,3.7199999999999998,0.794
2.36,2.36,1.76,3.76,0.846
0.56,0.56,1.12,3.12,0.698
2.52,2.52,1.0,3.0,0.853
3.8,3.8,1.24,3.24,0.831
3.56,3.56,1.04,3.04,0.855
2.76,2.76,1.2,3.2,0.846
0.48,0.48,1.88,3.88,0.543
2.56,2.56,1.96,3.96,0.849
1.48,1.48,1.92,3.92,0.799
1.88,1.88,1.36,3.3600000000000003,0.835
3.36,3.36,1.8,3.8,0.848
1.68,1.68,1.16,3.16,0.826
2.08,2.08,1.56,3.56,0.809
2.88,2.88,1.4,3.4,0.831
0.2,0.2,1.68,3.6799999999999997,0.332
3.2,3.2,1.6,3.6,0.859
1.28,1.28,1.72,3.7199999999999998,0.793
2.56,2.56,1.0,3.0,0.862
3.6,3.6,1.04,3.04,0.854
4.0,4.0,1.44,3.44,0.827
2.6,2.6,1.96,3.96,0.828
0.6,0.6,1.12,3.12,0.708
1.04,1.04,1.52,3.52,0.773
3.84,3.84,1.24,3.24,0.84
0.84,0.84,1.32,3.3200000000000003,0.743
2.8,2.8,1.2,3.2,0.871
2.4,2.4,1.76,3.76,0.851
0.52,0.52,1.88,3.88,0.562
1.92,1.92,1.36,3.3600000000000003,0.817
1.52,1.52,1.92,3.92,0.791
1.72,1.72,1.16,3.16,0.814
3.64,3.64,1.04,3.04,0.843
3.4,3.4,1.8,3.8,0.846
1.32,1.32,1.72,3.7199999999999998,0.768
2.92,2.92,1.4,3.4,0.864
0.24,0.24,1.68,3.6799999999999997,0.379
3.24,3.24,1.6,3.6,0.844
2.84,2.84,1.2,3.2,0.848
2.6,2.6,1.0,3.0,0.836
2.64,2.64,1.96,3.96,0.834
2.12,2.12,1.56,3.56,0.85
3.88,3.88,1.24,3.24,0.845
0.64,0.64,1.12,3.12,0.725
0.0,0.0,1.48,3.48,0.109
0.88,0.88,1.32,3.3200000000000003,0.773
1.08,1.08,1.52,3.52,0.767
2.44,2.44,1.76,3.76,0.864
0.56,0.56,1.88,3.88,0.605
1.96,1.96,1.36,3.3600000000000003,0.822
1.76,1.76,1.16,3.16,0.819
1.56,1.56,1.92,3.92,0.798
3.68,3.68,1.04,3.04,0.847
3.28,3.28,1.6,3.6,0.849
1.36,1.36,1.72,3.7199999999999998,0.796
2.88,2.88,1.2,3.2,0.838
2.96,2.96,1.4,3.4,0.864
0.68,0.68,1.12,3.12,0.714
3.44,3.44,1.8,3.8,0.844
2.16,2.16,1.56,3.56,0.815
2.64,2.64,1.0,3.0,0.84
0.28,0.28,1.68,3.6799999999999997,0.436
3.92,3.92,1.24,3.24,0.817
1.12,1.12,1.52,3.52,0.768
2.68,2.68,1.96,3.96,0.826
0.04,0.04,1.48,3.48,0.131
0.92,0.92,1.32,3.3200000000000003,0.755
2.48,2.48,1.76,3.76,0.845
0.6,0.6,1.88,3.88,0.602
3.72,3.72,1.04,3.04,0.862
1.6,1.6,1.92,3.92,0.818
2.0,2.0,1.36,3.3600000000000003,0.831
3.0,3.0,1.4,3.4,0.858
2.92,2.92,1.2,3.2,0.833
1.8,1.8,1.16,3.16,0.835
3.32,3.32,1.6,3.6,0.858
0.72,0.72,1.12,3.12,0.74
1.4,1.4,1.72,3.7199999999999998,0.785
2.2,2.2,1.56,3.56,0.844
