,mu_h,opt,success_rate
122,-2.3200000000000003,10,0.301
123,-2.24,10,0.3255
124,-2.16,10,0.331
125,-2.08,10,0.3455
126,-2.0,10,0.3965
127,-1.92,10,0.4205
128,-1.8399999999999999,10,0.4485
129,-1.7599999999999998,10,0.488
130,-1.6800000000000002,10,0.5065
131,-1.6,10,0.56
132,-1.52,10,0.603
133,-1.44,10,0.64
134,-1.3599999999999999,10,0.672
135,-1.2799999999999998,10,0.697
136,-1.1999999999999997,10,0.7285
137,-1.12,10,0.7425
138,-1.04,10,0.7405
139,-0.96,10,0.73
140,-0.8799999999999999,10,0.722
141,-0.7999999999999998,10,0.702
142,-0.7199999999999998,10,0.691
143,-0.6400000000000001,10,0.711
144,-0.56,10,0.71
145,-0.48,10,0.713
146,-0.3999999999999999,10,0.7395
147,-0.31999999999999984,10,0.765
148,-0.23999999999999977,10,0.777
149,-0.16000000000000014,10,0.785
150,-0.08000000000000007,10,0.797
151,0.0,10,0.786
152,0.08000000000000007,10,0.765
153,0.16000000000000014,10,0.786
154,0.2400000000000002,10,0.7585
155,0.3200000000000003,10,0.762
156,0.40000000000000036,10,0.7775
157,0.4800000000000004,10,0.77
158,0.5600000000000005,10,0.748
159,0.6399999999999997,10,0.766
160,0.7199999999999998,10,0.76
161,0.7999999999999998,10,0.7745
162,0.8799999999999999,10,0.782
163,0.96,10,0.7735
164,1.04,10,0.786
165,1.12,10,0.7755
166,1.2000000000000002,10,0.7665
167,1.2800000000000002,10,0.7765
168,1.3600000000000003,10,0.7755
169,1.4400000000000004,10,0.7795
170,1.5200000000000005,10,0.766
171,1.6000000000000005,10,0.772
172,1.6799999999999997,10,0.7895
173,1.7599999999999998,10,0.7725
174,1.8399999999999999,10,0.7885
175,1.92,10,0.787
176,2.0,10,0.7845
177,2.08,10,0.7765
178,2.16,10,0.7555
179,2.24,10,0.7535
180,2.3200000000000003,10,0.7615
181,2.4000000000000004,10,0.7685
182,2.4800000000000004,10,0.767
183,2.5600000000000005,10,0.753
184,2.6400000000000006,10,0.7625
185,2.7199999999999998,10,0.7765
186,2.8,10,0.761
187,2.88,10,0.7665
188,2.96,10,0.7545
189,3.04,10,0.743
190,3.12,10,0.7375
191,3.2,10,0.7365
192,3.2800000000000002,10,0.714
193,3.3600000000000003,10,0.6805
194,3.4400000000000004,10,0.6765
195,3.5200000000000005,10,0.6795
196,3.6000000000000005,10,0.67
197,3.6799999999999997,10,0.655
198,3.76,10,0.6555
199,3.84,10,0.626
200,3.92,10,0.5975
201,4.0,10,0.544
