,muh,sigmah,success_rate
60,-4.0,0.6,0.096
61,-4.0,0.61,0.103
62,-4.0,0.62,0.099
63,-4.0,0.63,0.10066666666666667
64,-4.0,0.64,0.09466666666666666
65,-4.0,0.65,0.09266666666666666
66,-4.0,0.66,0.095
67,-4.0,0.67,0.10033333333333333
68,-4.0,0.68,0.10033333333333333
69,-4.0,0.69,0.10366666666666667
70,-4.0,0.7,0.11433333333333333
71,-4.0,0.71,0.106
72,-4.0,0.72,0.09533333333333334
73,-4.0,0.73,0.10533333333333333
74,-4.0,0.74,0.10066666666666667
75,-4.0,0.75,0.11033333333333334
76,-4.0,0.76,0.10233333333333333
77,-4.0,0.77,0.09633333333333334
78,-4.0,0.78,0.103
79,-4.0,0.79,0.10333333333333333
80,-4.0,0.8,0.10733333333333334
81,-4.0,0.81,0.101
82,-4.0,0.82,0.11133333333333334
83,-4.0,0.83,0.109
84,-4.0,0.84,0.097
85,-4.0,0.85,0.10866666666666666
86,-4.0,0.86,0.11333333333333333
87,-4.0,0.87,0.1
88,-4.0,0.88,0.116
89,-4.0,0.89,0.10533333333333333
90,-4.0,0.9,0.101
91,-4.0,0.91,0.10766666666666666
92,-4.0,0.92,0.10666666666666667
93,-4.0,0.93,0.10533333333333333
94,-4.0,0.94,0.116
95,-4.0,0.95,0.105
96,-4.0,0.96,0.114
97,-4.0,0.97,0.11466666666666667
98,-4.0,0.98,0.108
99,-4.0,0.99,0.11133333333333334
100,-4.0,1.0,0.10966666666666666
101,-3.92,0.0,0.10233333333333333
102,-3.92,0.01,0.102
103,-3.92,0.02,0.103
104,-3.92,0.03,0.10466666666666667
105,-3.92,0.04,0.11066666666666666
106,-3.92,0.05,0.09466666666666666
107,-3.92,0.06,0.11
108,-3.92,0.07,0.095
109,-3.92,0.08,0.102
110,-3.92,0.09,0.09066666666666667
111,-3.92,0.1,0.103
112,-3.92,0.11,0.10066666666666667
113,-3.92,0.12,0.09666666666666666
114,-3.92,0.13,0.105
115,-3.92,0.14,0.098
116,-3.92,0.15,0.10233333333333333
117,-3.92,0.16,0.10233333333333333
118,-3.92,0.17,0.1
119,-3.92,0.18,0.09933333333333333
120,-3.92,0.19,0.10033333333333333
121,-3.92,0.2,0.1
122,-3.92,0.21,0.096
123,-3.92,0.22,0.09866666666666667
124,-3.92,0.23,0.09933333333333333
125,-3.92,0.24,0.10666666666666667
126,-3.92,0.25,0.09533333333333334
127,-3.92,0.26,0.10166666666666667
128,-3.92,0.27,0.1
129,-3.92,0.28,0.09766666666666667
130,-3.92,0.29,0.108
131,-3.92,0.3,0.10533333333333333
132,-3.92,0.31,0.09466666666666666
133,-3.92,0.32,0.09666666666666666
134,-3.92,0.33,0.1
135,-3.92,0.34,0.10366666666666667
136,-3.92,0.35,0.091
137,-3.92,0.36,0.09966666666666667
138,-3.92,0.37,0.09833333333333333
139,-3.92,0.38,0.09466666666666666
140,-3.92,0.39,0.10133333333333333
141,-3.92,0.4,0.105
142,-3.92,0.41,0.10233333333333333
143,-3.92,0.42,0.09533333333333334
144,-3.92,0.43,0.09566666666666666
145,-3.92,0.44,0.101
146,-3.92,0.45,0.10933333333333334
147,-3.92,0.46,0.09133333333333334
148,-3.92,0.47,0.10633333333333334
149,-3.92,0.48,0.10566666666666667
150,-3.92,0.49,0.09133333333333334
151,-3.92,0.5,0.10933333333333334
152,-3.92,0.51,0.09533333333333334
153,-3.92,0.52,0.08966666666666667
154,-3.92,0.53,0.093
155,-3.92,0.54,0.111
156,-3.92,0.55,0.09766666666666667
157,-3.92,0.56,0.11
158,-3.92,0.57,0.097
159,-3.92,0.58,0.101
160,-3.92,0.59,0.10766666666666666
161,-3.92,0.6,0.09866666666666667
162,-3.92,0.61,0.11
163,-3.92,0.62,0.099
164,-3.92,0.63,0.098
165,-3.92,0.64,0.10233333333333333
166,-3.92,0.65,0.107
167,-3.92,0.66,0.11166666666666666
168,-3.92,0.67,0.10166666666666667
169,-3.92,0.68,0.107
170,-3.92,0.69,0.109
171,-3.92,0.7,0.08666666666666667
172,-3.92,0.71,0.10666666666666667
173,-3.92,0.72,0.10933333333333334
174,-3.92,0.73,0.10733333333333334
175,-3.92,0.74,0.10033333333333333
176,-3.92,0.75,0.10033333333333333
177,-3.92,0.76,0.11
178,-3.92,0.77,0.10433333333333333
179,-3.92,0.78,0.095
180,-3.92,0.79,0.105
181,-3.92,0.8,0.10733333333333334
182,-3.92,0.81,0.107
183,-3.92,0.82,0.10566666666666667
184,-3.92,0.83,0.11566666666666667
185,-3.92,0.84,0.10733333333333334
186,-3.92,0.85,0.114
187,-3.92,0.86,0.113
188,-3.92,0.87,0.09933333333333333
189,-3.92,0.88,0.09266666666666666
190,-3.92,0.89,0.114
191,-3.92,0.9,0.11933333333333333
192,-3.92,0.91,0.10633333333333334
193,-3.92,0.92,0.125
194,-3.92,0.93,0.123
195,-3.92,0.94,0.11433333333333333
196,-3.92,0.95,0.109
197,-3.92,0.96,0.112
198,-3.92,0.97,0.111
199,-3.92,0.98,0.11866666666666667
200,-3.92,0.99,0.11433333333333333
201,-3.92,1.0,0.116
202,-3.84,0.0,0.08833333333333333
203,-3.84,0.01,0.10433333333333333
204,-3.84,0.02,0.101
205,-3.84,0.03,0.099
206,-3.84,0.04,0.10166666666666667
