,maj,q_not_reached,quo,sigm,success_rate
119,0.304,1.0,20,30,0.0
120,0.275,1.0,21,30,0.0
121,0.303,1.0,22,30,0.0
122,0.308,1.0,23,30,0.0
123,0.275,1.0,24,30,0.0
124,0.303,1.0,25,30,0.0
125,0.308,1.0,26,30,0.0
126,0.275,1.0,27,30,0.0
127,0.303,1.0,28,30,0.0
128,0.308,1.0,29,30,0.0
129,0.275,1.0,30,30,0.0
130,0.303,1.0,31,30,0.0
131,0.308,1.0,32,30,0.0
132,0.275,1.0,33,30,0.0
133,0.303,1.0,34,30,0.0
134,0.308,1.0,35,30,0.0
135,0.275,1.0,36,30,0.0
136,0.303,1.0,37,30,0.0
137,0.308,1.0,38,30,0.0
138,0.275,1.0,39,30,0.0
139,0.303,1.0,40,30,0.0
140,0.308,1.0,41,30,0.0
141,0.275,1.0,42,30,0.0
142,0.303,1.0,43,30,0.0
143,0.308,1.0,44,30,0.0
144,0.275,1.0,45,30,0.0
145,0.303,1.0,46,30,0.0
146,0.308,1.0,47,30,0.0
147,0.275,1.0,48,30,0.0
148,0.303,1.0,49,30,0.0
149,0.308,1.0,50,30,0.0
150,0.275,1.0,51,30,0.0
151,0.303,1.0,52,30,0.0
152,0.308,1.0,53,30,0.0
153,0.275,1.0,54,30,0.0
154,0.303,1.0,55,30,0.0
155,0.308,1.0,56,30,0.0
156,0.275,1.0,57,30,0.0
157,0.303,1.0,58,30,0.0
158,0.308,1.0,59,30,0.0
159,0.309,1.0,60,30,0.0
160,0.297,1.0,61,30,0.0
161,0.295,1.0,62,30,0.0
162,0.315,1.0,63,30,0.0
163,0.298,1.0,64,30,0.0
164,0.273,1.0,65,30,0.0
165,0.316,1.0,66,30,0.0
166,0.297,1.0,67,30,0.0
167,0.278,1.0,68,30,0.0
168,0.316,1.0,69,30,0.0
169,0.297,1.0,70,30,0.0
170,0.278,1.0,71,30,0.0
171,0.316,1.0,72,30,0.0
172,0.297,1.0,73,30,0.0
173,0.278,1.0,74,30,0.0
174,0.316,1.0,75,30,0.0
175,0.297,1.0,76,30,0.0
176,0.278,1.0,77,30,0.0
177,0.316,1.0,78,30,0.0
178,0.297,1.0,79,30,0.0
179,0.278,1.0,80,30,0.0
180,0.29,1.0,81,30,0.0
181,0.298,1.0,82,30,0.0
182,0.273,1.0,83,30,0.0
183,0.29,1.0,84,30,0.0
184,0.298,1.0,85,30,0.0
185,0.273,1.0,86,30,0.0
186,0.29,1.0,87,30,0.0
187,0.298,1.0,88,30,0.0
188,0.273,1.0,89,30,0.0
189,0.29,1.0,90,30,0.0
190,0.298,1.0,91,30,0.0
191,0.273,1.0,92,30,0.0
192,0.29,1.0,93,30,0.0
193,0.298,1.0,94,30,0.0
194,0.273,1.0,95,30,0.0
195,0.29,1.0,96,30,0.0
196,0.298,1.0,97,30,0.0
197,0.273,1.0,98,30,0.0
198,0.29,1.0,99,30,0.0
199,0.298,1.0,100,30,0.0
