,opt,sigh,success_rate
119,2,1.19,0.654
120,2,1.2,0.658
121,2,1.21,0.683
122,2,1.22,0.706
123,2,1.23,0.707
124,2,1.24,0.669
125,2,1.25,0.683
126,2,1.26,0.708
127,2,1.27,0.696
128,2,1.28,0.698
129,2,1.29,0.68
130,2,1.3,0.723
131,2,1.31,0.689
132,2,1.32,0.695
133,2,1.33,0.69
134,2,1.34,0.711
135,2,1.35,0.719
136,2,1.36,0.725
137,2,1.37,0.72
138,2,1.3800000000000001,0.725
139,2,1.3900000000000001,0.714
140,2,1.4000000000000001,0.714
141,2,1.41,0.744
142,2,1.42,0.739
143,2,1.43,0.737
144,2,1.44,0.717
145,2,1.45,0.712
146,2,1.46,0.737
147,2,1.47,0.718
148,2,1.48,0.718
149,2,1.49,0.748
150,2,1.5,0.758
151,2,1.51,0.744
152,2,1.52,0.732
153,2,1.53,0.751
154,2,1.54,0.736
155,2,1.55,0.736
156,2,1.56,0.741
157,2,1.57,0.748
158,2,1.58,0.747
159,2,1.59,0.746
160,2,1.6,0.748
161,2,1.61,0.741
162,2,1.62,0.748
163,2,1.6300000000000001,0.751
164,2,1.6400000000000001,0.751
165,2,1.6500000000000001,0.756
166,2,1.6600000000000001,0.748
167,2,1.67,0.741
168,2,1.68,0.765
169,2,1.69,0.735
170,2,1.7,0.743
171,2,1.71,0.775
172,2,1.72,0.78
173,2,1.73,0.768
174,2,1.74,0.757
175,2,1.75,0.778
176,2,1.76,0.765
177,2,1.77,0.768
178,2,1.78,0.762
179,2,1.79,0.761
180,2,1.8,0.764
181,2,1.81,0.755
182,2,1.82,0.784
183,2,1.83,0.777
184,2,1.84,0.796
185,2,1.85,0.789
186,2,1.86,0.783
187,2,1.87,0.784
188,2,1.8800000000000001,0.775
189,2,1.8900000000000001,0.775
190,2,1.9000000000000001,0.81
191,2,1.9100000000000001,0.771
192,2,1.92,0.789
193,2,1.93,0.805
194,2,1.94,0.764
195,2,1.95,0.798
196,2,1.96,0.799
197,2,1.97,0.8
198,2,1.98,0.794
199,2,1.99,0.791
200,2,2.0,0.817
201,10,0.0,0.097
202,10,0.01,0.11
203,10,0.02,0.117
204,10,0.03,0.086
205,10,0.04,0.095
206,10,0.05,0.116
207,10,0.06,0.096
208,10,0.07,0.092
209,10,0.08,0.115
210,10,0.09,0.121
211,10,0.1,0.113
212,10,0.11,0.091
213,10,0.12,0.104
214,10,0.13,0.102
215,10,0.14,0.098
216,10,0.15,0.103
217,10,0.16,0.094
218,10,0.17,0.106
219,10,0.18,0.111
220,10,0.19,0.109
221,10,0.2,0.105
222,10,0.21,0.098
223,10,0.22,0.12
224,10,0.23,0.119
225,10,0.24,0.11
226,10,0.25,0.112
227,10,0.26,0.105
228,10,0.27,0.094
229,10,0.28,0.096
230,10,0.29,0.115
231,10,0.3,0.113
232,10,0.31,0.116
233,10,0.32,0.114
234,10,0.33,0.114
235,10,0.34,0.119
236,10,0.35000000000000003,0.113
237,10,0.36,0.099
238,10,0.37,0.104
239,10,0.38,0.093
240,10,0.39,0.119
241,10,0.4,0.108
