,maj,q_not_reached,quo,sigm,success_rate
182,0.532,1.0,83,30,0.0
183,0.545,1.0,84,30,0.0
184,0.576,1.0,85,30,0.0
185,0.532,1.0,86,30,0.0
186,0.544,1.0,87,30,0.0
187,0.578,1.0,88,30,0.0
188,0.531,1.0,89,30,0.0
189,0.544,1.0,90,30,0.0
190,0.578,1.0,91,30,0.0
191,0.531,1.0,92,30,0.0
192,0.544,1.0,93,30,0.0
193,0.578,1.0,94,30,0.0
194,0.531,1.0,95,30,0.0
195,0.544,1.0,96,30,0.0
196,0.578,1.0,97,30,0.0
197,0.531,1.0,98,30,0.0
198,0.544,1.0,99,30,0.0
199,0.578,1.0,100,30,0.0
