nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
5,920,0.966,0.06904569595488443,0.01569999999999996,0.015499999999999969
5,940,0.979,0.052387891616664635,0.012799999999999973,0.012949999999999972
5,960,0.975,0.06614753194542514,0.01319999999999997,0.012999999999999975
5,980,0.97,0.058939565928353504,0.015099999999999964,0.014849999999999969
5,1000,0.954,0.06815557692487005,0.015299999999999966,0.014899999999999974
5,1020,0.972,0.06160478207342361,0.014099999999999968,0.013749999999999976
5,1040,0.978,0.052094574251281556,0.012599999999999974,0.012649999999999979
5,1060,0.965,0.06002918907036508,0.013499999999999974,0.013549999999999975
5,1080,0.977,0.0522072935130216,0.01319999999999997,0.013099999999999975
5,1100,0.981,0.04910648922516112,0.013099999999999975,0.013249999999999977
5,1120,0.964,0.05808746911089036,0.014199999999999966,0.01454999999999997
5,1140,0.974,0.053737251114039916,0.012099999999999979,0.012299999999999981
5,1160,0.976,0.04866078269497871,0.013899999999999971,0.013799999999999972
5,1180,0.97,0.06606787796936123,0.012899999999999972,0.012999999999999975
5,1200,0.979,0.047109359127516924,0.012099999999999975,0.012199999999999976
5,1220,0.976,0.04649284523204115,0.014399999999999965,0.014449999999999972
5,1240,0.976,0.054624216241750456,0.011599999999999977,0.011649999999999982
5,1260,0.98,0.048412002805404884,0.01289999999999997,0.012799999999999975
5,1280,0.979,0.04437855604567519,0.011199999999999977,0.010949999999999984
5,1300,0.981,0.05681651774852661,0.012299999999999978,0.012399999999999977
5,1320,0.972,0.05454349196083263,0.011599999999999975,0.011349999999999976
5,1340,0.978,0.0492327660712186,0.01129999999999998,0.011399999999999978
5,1360,0.969,0.053899881213978554,0.01049999999999998,0.010449999999999984
5,1380,0.976,0.05475553463944694,0.012199999999999975,0.01224999999999998
5,1400,0.97,0.053827766342137214,0.012799999999999973,0.012599999999999974
5,1420,0.97,0.06176138783005066,0.013099999999999971,0.012899999999999974
5,1440,0.977,0.0535215513873059,0.010299999999999981,0.010199999999999983
5,1460,0.978,0.05510349235686751,0.011199999999999979,0.01124999999999998
5,1480,0.97,0.05337421550378037,0.012499999999999973,0.012499999999999976
5,1500,0.974,0.04698157448554663,0.011399999999999976,0.011599999999999977
5,1520,0.979,0.04409432150275237,0.012999999999999972,0.012899999999999976
5,1540,0.98,0.04331376102768529,0.011999999999999972,0.011949999999999976
5,1560,0.973,0.04568957797258475,0.010499999999999982,0.010449999999999985
5,1580,0.981,0.046483786082413506,0.010799999999999981,0.010849999999999983
5,1600,0.982,0.043190437495300715,0.010399999999999982,0.010499999999999982
5,1620,0.968,0.05502853155957202,0.012999999999999975,0.012849999999999976
5,1640,0.984,0.04217290468491247,0.009599999999999984,0.009649999999999983
5,1660,0.974,0.05092723791227134,0.012599999999999976,0.012699999999999977
5,1680,0.967,0.05576977152584976,0.01089999999999998,0.010949999999999977
5,1700,0.98,0.042898536921307746,0.009199999999999984,0.009249999999999986
5,1720,0.976,0.051003430821786516,0.011399999999999978,0.011199999999999979
5,1740,0.978,0.04215129115037492,0.009399999999999983,0.009399999999999983
5,1760,0.976,0.051172251348991206,0.010399999999999982,0.010399999999999984
5,1780,0.976,0.03864027682026675,0.01139999999999998,0.011349999999999982
5,1800,0.983,0.03854364810447297,0.011599999999999977,0.011499999999999979
5,1820,0.986,0.03979104993385229,0.011499999999999979,0.011549999999999977
5,1840,0.977,0.04210329864754189,0.01209999999999998,0.011999999999999981
5,1860,0.976,0.04618273910917945,0.010299999999999983,0.010199999999999983
5,1880,0.978,0.04952936003831614,0.011399999999999978,0.01129999999999998
5,1900,0.978,0.03860089604548168,0.010099999999999984,0.010299999999999985
5,1920,0.972,0.04209890470900324,0.011499999999999977,0.011499999999999979
5,1940,0.982,0.038894372997536224,0.009399999999999985,0.009499999999999986
5,1960,0.97,0.05060984749500334,0.011499999999999977,0.011099999999999978
5,1980,0.982,0.042231662947337885,0.008299999999999986,0.008299999999999986
10,500,0.938,0.12271219288822559,0.02002222222222216,0.020044444444444427
10,520,0.94,0.13163242104041337,0.018911111111111056,0.01881111111111108
10,540,0.947,0.1170484117777214,0.017644444444444393,0.017666666666666633
10,560,0.943,0.11656212193265349,0.01782222222222217,0.017933333333333298
10,580,0.933,0.12846239858148717,0.01826666666666661,0.018144444444444404
10,600,0.938,0.118459313049716,0.017888888888888836,0.017866666666666624
10,620,0.933,0.12132086093577352,0.01844444444444439,0.018622222222222182
10,640,0.945,0.10919020321848782,0.017444444444444394,0.017388888888888846
10,660,0.922,0.11795782286242605,0.01699999999999995,0.016977777777777727
10,680,0.938,0.10565133403698997,0.016977777777777727,0.01697777777777773
10,700,0.959,0.08825913558059544,0.015511111111111064,0.015588888888888843
10,720,0.947,0.09993094234888732,0.016466666666666623,0.016444444444444404
10,740,0.95,0.11041866833564132,0.01615555555555551,0.016133333333333288
10,760,0.946,0.10505309158751566,0.01619999999999995,0.015999999999999952
10,780,0.959,0.09573223193553891,0.015755555555555505,0.015633333333333284
10,800,0.948,0.09510201996788735,0.016022222222222177,0.016088888888888844
10,820,0.953,0.10545529923961218,0.015088888888888844,0.015133333333333289
10,840,0.95,0.10121168344186794,0.015577777777777732,0.01565555555555551
10,860,0.962,0.08372498409342258,0.014244444444444402,0.014199999999999957
10,880,0.955,0.09278190026972968,0.0156444444444444,0.01575555555555551
10,900,0.95,0.08741360126360803,0.013222222222222182,0.013277777777777737
10,920,0.96,0.0805844581683002,0.01442222222222218,0.014422222222222178
10,940,0.957,0.09239679913631732,0.01431111111111107,0.014099999999999958
10,960,0.954,0.09801607191693808,0.0150444444444444,0.0150444444444444
10,980,0.956,0.09550391768841643,0.013911111111111069,0.014088888888888845
10,1000,0.955,0.0795957462976239,0.013244444444444404,0.013255555555555515
10,1020,0.955,0.0797665192675459,0.012866666666666627,0.012766666666666626
10,1040,0.94,0.10432676492943241,0.014577777777777735,0.014444444444444402
10,1060,0.953,0.087666718881713,0.01326666666666663,0.013333333333333296
10,1080,0.955,0.08328963736815126,0.012933333333333295,0.013122222222222183
10,1100,0.97,0.08226141972865655,0.013066666666666628,0.013122222222222183
10,1120,0.968,0.07834327455683691,0.013599999999999961,0.013666666666666627
10,1140,0.96,0.07695729397878878,0.012844444444444407,0.012866666666666629
10,1160,0.953,0.08061146639749592,0.012933333333333295,0.013033333333333294
10,1180,0.959,0.07446375417636748,0.012355555555555519,0.01236666666666663
10,1200,0.953,0.0949527709432601,0.013555555555555517,0.013466666666666629
10,1220,0.958,0.07504473346603066,0.013466666666666629,0.013499999999999962
10,1240,0.967,0.07397308448897583,0.012533333333333296,0.012499999999999963
10,1260,0.963,0.08729015867881773,0.01286666666666663,0.012877777777777741
10,1280,0.957,0.07068872262199842,0.013533333333333293,0.013455555555555514
10,1300,0.973,0.0742351109395692,0.01224444444444441,0.012155555555555522
10,1320,0.955,0.07937615821545628,0.011911111111111075,0.011833333333333298
10,1340,0.952,0.09354102098205318,0.01184444444444441,0.01174444444444441
10,1360,0.96,0.07502670872325941,0.012244444444444409,0.012222222222222186
10,1380,0.965,0.08357732807137114,0.011977777777777743,0.012011111111111077
10,1400,0.966,0.07032294580088946,0.011555555555555524,0.01152222222222219
10,1420,0.956,0.07272203223143739,0.012066666666666628,0.012044444444444406
10,1440,0.95,0.08797654019462894,0.012422222222222187,0.012333333333333297
10,1460,0.954,0.08526808817756036,0.011511111111111078,0.011477777777777745
10,1480,0.959,0.07806486416808868,0.012311111111111075,0.012288888888888853
10,1500,0.972,0.06993418562798989,0.01122222222222219,0.01122222222222219
10,1520,0.969,0.070017918459541,0.011244444444444411,0.011299999999999966
10,1540,0.955,0.06834089589015906,0.01144444444444441,0.011466666666666632
10,1560,0.964,0.08356683423769075,0.011488888888888856,0.011566666666666633
10,1580,0.963,0.06828535912824792,0.011666666666666634,0.011699999999999967
10,1600,0.968,0.076081188384253,0.010711111111111081,0.010644444444444413
10,1620,0.965,0.07220048247939322,0.01206666666666663,0.012011111111111075
10,1640,0.968,0.06408829094366793,0.010733333333333303,0.010688888888888857
10,1660,0.972,0.06734559569185244,0.010333333333333304,0.010388888888888859
10,1680,0.966,0.07943275915826015,0.010688888888888857,0.010733333333333303
10,1700,0.963,0.07815014926816462,0.011022222222222192,0.010899999999999969
10,1720,0.98,0.06129740748767542,0.010622222222222191,0.010533333333333303
10,1740,0.965,0.06569379613835237,0.010311111111111082,0.01028888888888886
10,1760,0.966,0.07372931573809195,0.010222222222222193,0.010277777777777749
10,1780,0.961,0.07294586125713502,0.010799999999999971,0.010799999999999971
10,1800,0.958,0.06936188778658202,0.011355555555555522,0.011377777777777744
10,1820,0.966,0.06354548739901958,0.010311111111111082,0.010233333333333304
10,1840,0.969,0.07300214555967757,0.01102222222222219,0.011044444444444414
10,1860,0.972,0.059980324721406596,0.009488888888888861,0.009511111111111083
10,1880,0.966,0.07251110135614838,0.010533333333333303,0.010544444444444414
10,1900,0.966,0.06261359863640362,0.010155555555555527,0.010199999999999971
10,1920,0.964,0.06544992830086827,0.010444444444444416,0.010422222222222194
10,1940,0.966,0.07736720425368991,0.009622222222222193,0.009611111111111082
10,1960,0.975,0.06883324952758202,0.009755555555555528,0.00967777777777775
10,1980,0.971,0.06327110622701994,0.009755555555555526,0.00979999999999997
20,500,0.901,0.18187232888582686,0.01947368421052628,0.019515789473684184
20,520,0.938,0.15986493791666206,0.02008947368421047,0.020005263157894693
20,540,0.913,0.17183664247298785,0.01889473684210519,0.018776315789473627
20,560,0.917,0.15801185492466535,0.018652631578947292,0.018713157894736803
20,580,0.905,0.1747866601791814,0.01831578947368412,0.01836052631578942
20,600,0.907,0.16557141404654352,0.01814736842105255,0.018173684210526262
20,620,0.925,0.1499978337966784,0.018373684210526223,0.018423684210526255
20,640,0.912,0.16377266056231823,0.017278947368420935,0.017302631578947274
20,660,0.922,0.1565713812911069,0.01705263157894724,0.01704999999999992
20,680,0.918,0.1609546418211457,0.01708421052631568,0.017039473684210465
20,700,0.919,0.15267054435750313,0.01695263157894724,0.016984210526315713
20,720,0.906,0.14362566073658944,0.01626842105263143,0.016215789473684104
20,740,0.922,0.14382299549512675,0.01625789473684196,0.01625526315789463
20,760,0.929,0.15309353036571027,0.01604736842105245,0.016078947368420936
20,780,0.924,0.1440200986629526,0.016015789473684067,0.015952631578947274
20,800,0.915,0.14458124691989008,0.015499999999999823,0.015507894736841972
20,820,0.909,0.1505293201020934,0.015452631578947221,0.015410526315789376
20,840,0.926,0.1398940367822774,0.015552631578947219,0.015526315789473565
20,860,0.914,0.15781615501026558,0.015499999999999837,0.015557894736841991
20,880,0.931,0.13022719111713807,0.014799999999999829,0.014786842105263046
20,900,0.931,0.13901242614885673,0.01472105263157878,0.01472368421052621
20,920,0.939,0.1305065045166943,0.015031578947368273,0.014981578947368315
20,940,0.935,0.1210885706779748,0.014268421052631406,0.014236842105263022
20,960,0.917,0.13964684818551956,0.014431578947368254,0.014502631578947251
20,980,0.936,0.13290486483694597,0.014568421052631427,0.014563157894736728
20,1000,0.935,0.1310159633292916,0.014057894736841936,0.014078947368420929
20,1020,0.933,0.1281541569886798,0.013894736842105085,0.013899999999999859
20,1040,0.938,0.1262077894911167,0.013710526315789319,0.01368421052631568
20,1060,0.934,0.12343331318565068,0.013468421052631435,0.013468421052631468
20,1080,0.931,0.13367287444529666,0.013863157894736666,0.01383421052631567
20,1100,0.947,0.1216483617700374,0.013089473684210356,0.013105263157894604
20,1120,0.93,0.12642849296551478,0.012973684210526153,0.013028947368420927
20,1140,0.927,0.1194516851527559,0.013294736842105113,0.013263157894736737
20,1160,0.948,0.10358447593183008,0.013047368421052486,0.013002631578947266
20,1180,0.942,0.10744366767320775,0.012878947368420884,0.012928947368420925
20,1200,0.944,0.11564541615579713,0.012221052631578804,0.01223421052631569
20,1220,0.927,0.11354559300734292,0.012484210526315638,0.012468421052631469
20,1240,0.945,0.11535886350820378,0.012599999999999828,0.012599999999999863
20,1260,0.944,0.1220772860465959,0.012457894736841953,0.01244210526315778
20,1280,0.926,0.12705136498294228,0.012552631578947216,0.012613157894736727
20,1300,0.95,0.10584307704339856,0.012331578947368256,0.012313157894736719
20,1320,0.943,0.12219506982025663,0.011968421052631423,0.011944736842105143
20,1340,0.955,0.10837496430502094,0.012078947368420915,0.012105263157894628
20,1360,0.945,0.10260842511660014,0.012310526315789322,0.012339473684210409
20,1380,0.953,0.09595294118675303,0.011889473684210389,0.01191052631578936
20,1400,0.943,0.1148456875980097,0.011905263157894586,0.01189210526315778
20,1420,0.947,0.11200398393934242,0.011747368421052484,0.01176842105263146
20,1440,0.944,0.09792827284353572,0.011415789473684075,0.01144210526315778
20,1460,0.96,0.11324308003458025,0.011884210526315652,0.01189210526315779
20,1480,0.951,0.10531145086494668,0.011489473684210385,0.011539473684210403
20,1500,0.955,0.10089104698023121,0.011473684210526174,0.011460526315789366
20,1520,0.947,0.11039799680900579,0.011178947368420913,0.011171052631578842
20,1540,0.941,0.11061603349343395,0.01160526315789459,0.01161578947368409
20,1560,0.933,0.10122634271534774,0.011510526315789325,0.011497368421052503
20,1580,0.946,0.10139053434770787,0.01108421052631565,0.011102631578947251
20,1600,0.952,0.09730696829133809,0.010905263157894597,0.010894736842105159
20,1620,0.953,0.09701735238640231,0.011189473684210378,0.011221052631578823
20,1640,0.95,0.10357447339321574,0.011252631578947228,0.011231578947368306
20,1660,0.948,0.09246108779397023,0.010621052631578814,0.010597368421052517
20,1680,0.945,0.10898524092791807,0.010294736842105147,0.010305263157894647
20,1700,0.947,0.10702835356273814,0.010810526315789333,0.010813157894736726
20,1720,0.938,0.10076788145610512,0.01094736842105249,0.010942105263157777
20,1740,0.95,0.10633128226915607,0.011068421052631441,0.011005263157894626
20,1760,0.947,0.10119648694224433,0.010763157894736712,0.010765789473684102
20,1780,0.951,0.08944208766486807,0.010263157894736719,0.010268421052631474
20,1800,0.954,0.09741315675822788,0.01066842105263143,0.010681578947368287
20,1820,0.953,0.10731444996685972,0.010710526315789335,0.010671052631578836
20,1840,0.957,0.09200320853781191,0.010457894736841975,0.010426315789473568
20,1860,0.944,0.10919502588660249,0.01013157894736829,0.010099999999999889
20,1880,0.955,0.09286736632235958,0.009699999999999882,0.00973684210526306
20,1900,0.943,0.08888743882796844,0.010184210526315665,0.010189473684210424
20,1920,0.966,0.08329862911344889,0.010110526315789356,0.01008684210526305
