mux,muh,success_rate
3.28,-2.16,0.101
-2.8,-2.48,0.83
-2.24,-3.12,0.808
-2.88,-4.0,0.752
-0.8,-2.88,0.392
1.84,-3.92,0.092
-3.28,-3.36,0.835
-1.52,-3.76,0.347
3.2,-3.68,0.089
1.12,-3.28,0.098
1.84,-2.4,0.101
2.48,-3.04,0.073
3.36,-2.16,0.103
0.64,-2.64,0.145
-2.72,-2.48,0.827
-0.08,-3.52,0.118
-1.36,-2.24,0.777
3.92,-2.8,0.089
-2.16,-3.12,0.76
-2.8,-4.0,0.77
-1.44,-3.76,0.292
-0.72,-2.88,0.351
3.44,-2.16,0.095
-2.64,-2.48,0.842
-3.2,-3.36,0.862
1.92,-3.92,0.098
3.28,-3.68,0.099
1.2,-3.28,0.112
1.92,-2.4,0.108
2.56,-3.04,0.092
0.72,-2.64,0.124
0.0,-3.52,0.103
-1.28,-2.24,0.817
4.0,-2.8,0.099
-1.36,-3.76,0.292
-2.08,-3.12,0.785
3.52,-2.16,0.111
-2.56,-2.48,0.841
-2.72,-4.0,0.719
-0.64,-2.88,0.332
-3.12,-3.36,0.844
2.0,-3.92,0.094
2.64,-3.04,0.098
-1.28,-3.76,0.239
3.36,-3.68,0.094
2.0,-2.4,0.09
1.28,-3.28,0.099
-4.0,-2.72,0.849
0.8,-2.64,0.14
0.08,-3.52,0.135
-1.2,-2.24,0.783
3.6,-2.16,0.104
-2.48,-2.48,0.843
-2.0,-3.12,0.769
-2.64,-4.0,0.73
2.72,-3.04,0.094
-3.92,-2.72,0.858
-0.56,-2.88,0.299
-1.2,-3.76,0.239
-3.04,-3.36,0.845
2.08,-3.92,0.105
-2.4,-2.48,0.846
3.44,-3.68,0.106
2.08,-2.4,0.099
1.36,-3.28,0.115
0.88,-2.64,0.152
-1.12,-2.24,0.763
0.16,-3.52,0.11
3.68,-2.16,0.112
-3.84,-2.72,0.865
2.8,-3.04,0.105
-1.92,-3.12,0.73
-2.56,-4.0,0.695
-2.32,-2.48,0.84
-0.48,-2.88,0.278
-1.12,-3.76,0.223
-2.96,-3.36,0.866
-3.76,-2.72,0.836
2.16,-3.92,0.104
2.88,-3.04,0.104
3.52,-3.68,0.103
2.16,-2.4,0.099
1.44,-3.28,0.103
0.96,-2.64,0.138
-1.04,-2.24,0.749
0.24,-3.52,0.138
3.76,-2.16,0.098
-2.24,-2.48,0.831
-1.84,-3.12,0.746
-2.48,-4.0,0.656
-3.68,-2.72,0.843
2.96,-3.04,0.112
-0.4,-2.88,0.257
-2.88,-3.36,0.832
-1.04,-3.76,0.207
-2.16,-2.48,0.854
2.24,-3.92,0.112
3.6,-3.68,0.112
2.24,-2.4,0.121
1.52,-3.28,0.105
1.04,-2.64,0.114
-0.96,-2.24,0.762
-3.6,-2.72,0.857
3.84,-2.16,0.099
0.32,-3.52,0.125
3.04,-3.04,0.098
-1.76,-3.12,0.712
-2.4,-4.0,0.642
-2.08,-2.48,0.832
-2.8,-3.36,0.839
-0.32,-2.88,0.235
-0.96,-3.76,0.204
