,$\mu_h$,$\mu_x$,success_rate
170,-3.92,1.52,0.104
171,-3.92,1.6,0.104
172,-3.92,1.68,0.105
173,-3.92,1.76,0.092
174,-3.92,1.84,0.092
175,-3.92,1.92,0.098
176,-3.92,2,0.094
177,-3.92,2.08,0.105
178,-3.92,2.16,0.104
179,-3.92,2.24,0.112
180,-3.92,2.32,0.098
181,-3.92,2.4,0.099
182,-3.92,2.48,0.114
183,-3.92,2.56,0.114
184,-3.92,2.64,0.1
185,-3.92,2.72,0.086
186,-3.92,2.8,0.097
187,-3.92,2.88,0.105
188,-3.92,2.96,0.09
189,-3.92,3.04,0.103
190,-3.92,3.12,0.094
191,-3.92,3.2,0.084
192,-3.92,3.28,0.108
193,-3.92,3.36,0.111
194,-3.92,3.44,0.106
195,-3.92,3.52,0.119
196,-3.92,3.6,0.102
197,-3.92,3.68,0.087
198,-3.92,3.76,0.098
199,-3.92,3.84,0.094
200,-3.92,3.92,0.097
201,-3.92,4,0.089
202,-3.84,-4,0.823
203,-3.84,-3.92,0.868
204,-3.84,-3.84,0.854
205,-3.84,-3.76,0.847
206,-3.84,-3.68,0.855
207,-3.84,-3.6,0.846
208,-3.84,-3.52,0.855
209,-3.84,-3.44,0.834
210,-3.84,-3.36,0.836
211,-3.84,-3.28,0.813
212,-3.84,-3.2,0.809
213,-3.84,-3.12,0.82
214,-3.84,-3.04,0.8
215,-3.84,-2.96,0.804
216,-3.84,-2.88,0.783
217,-3.84,-2.8,0.792
218,-3.84,-2.72,0.761
219,-3.84,-2.64,0.76
220,-3.84,-2.56,0.741
221,-3.84,-2.48,0.702
222,-3.84,-2.4,0.673
223,-3.84,-2.32,0.671
224,-3.84,-2.24,0.666
225,-3.84,-2.16,0.644
226,-3.84,-2.08,0.567
227,-3.84,-2,0.546
228,-3.84,-1.92,0.506
229,-3.84,-1.84,0.433
230,-3.84,-1.76,0.395
231,-3.84,-1.68,0.362
232,-3.84,-1.6,0.332
233,-3.84,-1.52,0.316
234,-3.84,-1.44,0.266
235,-3.84,-1.36,0.249
236,-3.84,-1.28,0.241
237,-3.84,-1.2,0.231
238,-3.84,-1.12,0.195
239,-3.84,-1.04,0.19
240,-3.84,-0.96,0.177
241,-3.84,-0.88,0.164
242,-3.84,-0.8,0.166
243,-3.84,-0.72,0.189
244,-3.84,-0.64,0.131
245,-3.84,-0.56,0.139
246,-3.84,-0.48,0.129
247,-3.84,-0.4,0.145
248,-3.84,-0.32,0.12
249,-3.84,-0.24,0.118
250,-3.84,-0.16,0.127
251,-3.84,-0.08,0.109
252,-3.84,0,0.111
253,-3.84,0.08,0.11
254,-3.84,0.16,0.108
255,-3.84,0.24,0.101
256,-3.84,0.32,0.114
257,-3.84,0.4,0.131
258,-3.84,0.48,0.1
259,-3.84,0.56,0.123
260,-3.84,0.64,0.089
261,-3.84,0.72,0.115
262,-3.84,0.8,0.107
263,-3.84,0.88,0.111
264,-3.84,0.96,0.122
265,-3.84,1.04,0.09
266,-3.84,1.12,0.115
267,-3.84,1.2,0.105
268,-3.84,1.28,0.108
269,-3.84,1.36,0.108
270,-3.84,1.44,0.104
271,-3.84,1.52,0.101
272,-3.84,1.6,0.095
273,-3.84,1.68,0.114
274,-3.84,1.76,0.083
275,-3.84,1.84,0.118
276,-3.84,1.92,0.096
277,-3.84,2,0.102
278,-3.84,2.08,0.091
279,-3.84,2.16,0.112
280,-3.84,2.24,0.098
281,-3.84,2.32,0.101
282,-3.84,2.4,0.101
283,-3.84,2.48,0.116
284,-3.84,2.56,0.109
285,-3.84,2.64,0.106
286,-3.84,2.72,0.084
287,-3.84,2.8,0.105
288,-3.84,2.88,0.098
289,-3.84,2.96,0.077
290,-3.84,3.04,0.092
291,-3.84,3.12,0.102
