,opt,sigma,success_rate
640,10,1.3900000000000001,0.82
641,10,1.4000000000000001,0.867
642,10,1.41,0.833
643,10,1.42,0.823
644,10,1.43,0.82
645,10,1.44,0.831
646,10,1.45,0.833
647,10,1.46,0.838
648,10,1.47,0.822
649,10,1.48,0.822
650,10,1.49,0.839
651,10,1.5,0.834
652,10,1.51,0.827
653,10,1.52,0.814
654,10,1.53,0.816
655,10,1.54,0.849
656,10,1.55,0.833
657,10,1.56,0.812
658,10,1.57,0.828
659,10,1.58,0.809
660,10,1.59,0.821
661,10,1.6,0.819
662,10,1.61,0.812
663,10,1.62,0.822
664,10,1.6300000000000001,0.819
665,10,1.6400000000000001,0.819
666,10,1.6500000000000001,0.812
667,10,1.6600000000000001,0.8
668,10,1.67,0.807
669,10,1.68,0.813
670,10,1.69,0.798
671,10,1.7,0.825
672,10,1.71,0.814
673,10,1.72,0.795
674,10,1.73,0.807
675,10,1.74,0.828
676,10,1.75,0.809
677,10,1.76,0.793
678,10,1.77,0.804
679,10,1.78,0.807
680,10,1.79,0.795
681,10,1.8,0.801
682,10,1.81,0.815
683,10,1.82,0.79
684,10,1.83,0.766
685,10,1.84,0.779
686,10,1.85,0.786
687,10,1.86,0.794
688,10,1.87,0.793
689,10,1.8800000000000001,0.805
690,10,1.8900000000000001,0.796
691,10,1.9000000000000001,0.781
692,10,1.9100000000000001,0.807
693,10,1.92,0.782
694,10,1.93,0.809
695,10,1.94,0.775
696,10,1.95,0.784
697,10,1.96,0.769
698,10,1.97,0.786
699,10,1.98,0.783
700,10,1.99,0.793
701,10,2.0,0.794
702,10,2.0100000000000002,0.781
703,10,2.02,0.811
704,10,2.0300000000000002,0.8
705,10,2.04,0.782
706,10,2.05,0.77
707,10,2.06,0.789
708,10,2.07,0.764
709,10,2.08,0.774
710,10,2.09,0.79
711,10,2.1,0.792
712,10,2.11,0.769
713,10,2.12,0.766
714,10,2.13,0.778
715,10,2.14,0.761
716,10,2.15,0.758
717,10,2.16,0.776
718,10,2.17,0.79
719,10,2.18,0.765
720,10,2.19,0.783
721,10,2.2,0.784
722,10,2.21,0.765
723,10,2.22,0.749
724,10,2.23,0.74
725,10,2.24,0.755
726,10,2.25,0.778
727,10,2.2600000000000002,0.762
728,10,2.27,0.762
729,10,2.2800000000000002,0.769
730,10,2.29,0.756
731,10,2.3000000000000003,0.754
732,10,2.31,0.76
733,10,2.32,0.756
734,10,2.33,0.77
735,10,2.34,0.773
736,10,2.35,0.746
737,10,2.36,0.75
738,10,2.37,0.738
739,10,2.38,0.745
740,10,2.39,0.747
741,10,2.4,0.77
742,10,2.41,0.754
743,10,2.42,0.768
744,10,2.43,0.727
745,10,2.44,0.738
746,10,2.45,0.729
747,10,2.46,0.743
748,10,2.47,0.757
749,10,2.48,0.755
750,10,2.49,0.761
751,10,2.5,0.758
752,10,2.5100000000000002,0.721
753,10,2.52,0.751
754,10,2.5300000000000002,0.735
755,10,2.54,0.75
756,10,2.5500000000000003,0.727
757,10,2.56,0.751
758,10,2.57,0.728
759,10,2.58,0.737
