,mu,sigma,success_rate
8004,2.32,0.25,0.43366666666666664
8005,2.32,0.26,0.4643333333333333
8006,2.32,0.27,0.46166666666666667
8007,2.32,0.28,0.4886666666666667
8008,2.32,0.29,0.482
8009,2.32,0.3,0.513
8010,2.32,0.31,0.5106666666666667
8011,2.32,0.32,0.5263333333333333
8012,2.32,0.33,0.5243333333333333
8013,2.32,0.34,0.568
8014,2.32,0.35,0.581
8015,2.32,0.36,0.5986666666666667
8016,2.32,0.37,0.5933333333333334
8017,2.32,0.38,0.5946666666666667
8018,2.32,0.39,0.6216666666666667
8019,2.32,0.4,0.6303333333333333
8020,2.32,0.41,0.6473333333333333
8021,2.32,0.42,0.6583333333333333
8022,2.32,0.43,0.6733333333333333
8023,2.32,0.44,0.6773333333333333
8024,2.32,0.45,0.692
8025,2.32,0.46,0.715
8026,2.32,0.47,0.711
8027,2.32,0.48,0.7326666666666667
8028,2.32,0.49,0.73
8029,2.32,0.5,0.7346666666666667
8030,2.32,0.51,0.756
8031,2.32,0.52,0.7806666666666666
8032,2.32,0.53,0.7656666666666667
8033,2.32,0.54,0.786
8034,2.32,0.55,0.7913333333333333
8035,2.32,0.56,0.792
8036,2.32,0.57,0.782
8037,2.32,0.58,0.8163333333333334
8038,2.32,0.59,0.8153333333333334
8039,2.32,0.6,0.8113333333333334
8040,2.32,0.61,0.8153333333333334
8041,2.32,0.62,0.824
8042,2.32,0.63,0.8273333333333334
8043,2.32,0.64,0.8256666666666667
8044,2.32,0.65,0.8176666666666667
8045,2.32,0.66,0.8336666666666667
8046,2.32,0.67,0.834
8047,2.32,0.68,0.8423333333333334
8048,2.32,0.69,0.831
8049,2.32,0.7,0.847
8050,2.32,0.71,0.8346666666666667
8051,2.32,0.72,0.8386666666666667
8052,2.32,0.73,0.8433333333333334
8053,2.32,0.74,0.86
8054,2.32,0.75,0.8406666666666667
8055,2.32,0.76,0.8483333333333334
8056,2.32,0.77,0.8523333333333334
8057,2.32,0.78,0.8436666666666667
8058,2.32,0.79,0.8503333333333334
8059,2.32,0.8,0.8536666666666667
8060,2.32,0.81,0.8413333333333334
8061,2.32,0.82,0.847
8062,2.32,0.83,0.8603333333333333
8063,2.32,0.84,0.8516666666666667
8064,2.32,0.85,0.863
8065,2.32,0.86,0.864
8066,2.32,0.87,0.8636666666666667
8067,2.32,0.88,0.8463333333333334
8068,2.32,0.89,0.8486666666666667
8069,2.32,0.9,0.8583333333333333
8070,2.32,0.91,0.85
8071,2.32,0.92,0.8586666666666667
8072,2.32,0.93,0.856
8073,2.32,0.94,0.8476666666666667
8074,2.32,0.95,0.8483333333333334
8075,2.32,0.96,0.8616666666666667
8076,2.32,0.97,0.842
8077,2.32,0.98,0.8533333333333334
8078,2.32,0.99,0.8536666666666667
8079,2.32,1.0,0.851
8080,2.4,0.0,0.171
8081,2.4,0.01,0.18066666666666667
8082,2.4,0.02,0.18533333333333332
8083,2.4,0.03,0.18233333333333332
8084,2.4,0.04,0.183
8085,2.4,0.05,0.19133333333333333
8086,2.4,0.06,0.213
8087,2.4,0.07,0.20166666666666666
8088,2.4,0.08,0.21433333333333332
8089,2.4,0.09,0.22766666666666666
8090,2.4,0.1,0.22366666666666668
8091,2.4,0.11,0.23233333333333334
8092,2.4,0.12,0.24166666666666667
8093,2.4,0.13,0.25566666666666665
8094,2.4,0.14,0.26066666666666666
8095,2.4,0.15,0.264
8096,2.4,0.16,0.29533333333333334
8097,2.4,0.17,0.293
8098,2.4,0.18,0.31433333333333335
8099,2.4,0.19,0.329
8100,2.4,0.2,0.3373333333333333
8101,2.4,0.21,0.3403333333333333
8102,2.4,0.22,0.3433333333333333
8103,2.4,0.23,0.357
8104,2.4,0.24,0.37233333333333335
8105,2.4,0.25,0.38533333333333336
8106,2.4,0.26,0.4036666666666667
8107,2.4,0.27,0.4036666666666667
8108,2.4,0.28,0.43433333333333335
8109,2.4,0.29,0.44133333333333336
8110,2.4,0.3,0.45966666666666667
8111,2.4,0.31,0.467
8112,2.4,0.32,0.47833333333333333
8113,2.4,0.33,0.5013333333333333
8114,2.4,0.34,0.49633333333333335
8115,2.4,0.35,0.515
8116,2.4,0.36,0.5406666666666666
8117,2.4,0.37,0.5476666666666666
8118,2.4,0.38,0.5826666666666667
8119,2.4,0.39,0.5826666666666667
8120,2.4,0.4,0.5803333333333334
8121,2.4,0.41,0.5993333333333334
8122,2.4,0.42,0.6196666666666667
8123,2.4,0.43,0.63
8124,2.4,0.44,0.6633333333333333
8125,2.4,0.45,0.647
8126,2.4,0.46,0.664
8127,2.4,0.47,0.681
8128,2.4,0.48,0.6836666666666666
8129,2.4,0.49,0.6963333333333334
8130,2.4,0.5,0.714
8131,2.4,0.51,0.7163333333333334
8132,2.4,0.52,0.727
8133,2.4,0.53,0.73
8134,2.4,0.54,0.737
8135,2.4,0.55,0.7483333333333333
8136,2.4,0.56,0.7586666666666667
8137,2.4,0.57,0.759
8138,2.4,0.58,0.776
8139,2.4,0.59,0.7933333333333333
8140,2.4,0.6,0.7743333333333333
8141,2.4,0.61,0.795
8142,2.4,0.62,0.801
8143,2.4,0.63,0.7926666666666666
8144,2.4,0.64,0.81
8145,2.4,0.65,0.8096666666666666
8146,2.4,0.66,0.8143333333333334
8147,2.4,0.67,0.8166666666666667
8148,2.4,0.68,0.8146666666666667
8149,2.4,0.69,0.814
8150,2.4,0.7,0.822
8151,2.4,0.71,0.823
8152,2.4,0.72,0.8276666666666667
8153,2.4,0.73,0.8346666666666667
8154,2.4,0.74,0.828
8155,2.4,0.75,0.8393333333333334
8156,2.4,0.76,0.8453333333333334
8157,2.4,0.77,0.8333333333333334
8158,2.4,0.78,0.8443333333333334
8159,2.4,0.79,0.8413333333333334
8160,2.4,0.8,0.8473333333333334
8161,2.4,0.81,0.8423333333333334
8162,2.4,0.82,0.8403333333333334
8163,2.4,0.83,0.839
8164,2.4,0.84,0.8586666666666667
8165,2.4,0.85,0.8396666666666667
8166,2.4,0.86,0.851
8167,2.4,0.87,0.8443333333333334
8168,2.4,0.88,0.85
8169,2.4,0.89,0.8566666666666667
8170,2.4,0.9,0.8463333333333334
8171,2.4,0.91,0.8493333333333334
8172,2.4,0.92,0.8476666666666667
8173,2.4,0.93,0.8586666666666667
8174,2.4,0.94,0.8416666666666667
8175,2.4,0.95,0.8623333333333333
8176,2.4,0.96,0.85
8177,2.4,0.97,0.8413333333333334
8178,2.4,0.98,0.8373333333333334
8179,2.4,0.99,0.8463333333333334
8180,2.4,1.0,0.8526666666666667
8181,2.48,0.0,0.16133333333333333
8182,2.48,0.01,0.15766666666666668
8183,2.48,0.02,0.166
8184,2.48,0.03,0.16466666666666666
8185,2.48,0.04,0.173
8186,2.48,0.05,0.19
8187,2.48,0.06,0.18133333333333335
8188,2.48,0.07,0.194
8189,2.48,0.08,0.18733333333333332
8190,2.48,0.09,0.19466666666666665
8191,2.48,0.1,0.21466666666666667
8192,2.48,0.11,0.21133333333333335
8193,2.48,0.12,0.231
8194,2.48,0.13,0.23533333333333334
8195,2.48,0.14,0.241
8196,2.48,0.15,0.25866666666666666
8197,2.48,0.16,0.27366666666666667
8198,2.48,0.17,0.2743333333333333
8199,2.48,0.18,0.25766666666666665
8200,2.48,0.19,0.277
8201,2.48,0.2,0.2816666666666667
8202,2.48,0.21,0.31733333333333336
8203,2.48,0.22,0.30766666666666664
8204,2.48,0.23,0.32233333333333336
8205,2.48,0.24,0.3373333333333333
8206,2.48,0.25,0.346
8207,2.48,0.26,0.364
8208,2.48,0.27,0.36633333333333334
8209,2.48,0.28,0.38066666666666665
8210,2.48,0.29,0.407
8211,2.48,0.3,0.4046666666666667
8212,2.48,0.31,0.4076666666666667
8213,2.48,0.32,0.44966666666666666
8214,2.48,0.33,0.449
8215,2.48,0.34,0.455
8216,2.48,0.35,0.497
8217,2.48,0.36,0.48633333333333334
8218,2.48,0.37,0.518
8219,2.48,0.38,0.5203333333333333
8220,2.48,0.39,0.5566666666666666
8221,2.48,0.4,0.555
8222,2.48,0.41,0.544
8223,2.48,0.42,0.5756666666666667
8224,2.48,0.43,0.5843333333333334
8225,2.48,0.44,0.588
8226,2.48,0.45,0.5983333333333334
8227,2.48,0.46,0.6283333333333333
8228,2.48,0.47,0.6313333333333333
8229,2.48,0.48,0.6453333333333333
8230,2.48,0.49,0.645
8231,2.48,0.5,0.685
8232,2.48,0.51,0.683
8233,2.48,0.52,0.6933333333333334
8234,2.48,0.53,0.7
8235,2.48,0.54,0.71
8236,2.48,0.55,0.717
8237,2.48,0.56,0.73
8238,2.48,0.57,0.7446666666666667
8239,2.48,0.58,0.7496666666666667
8240,2.48,0.59,0.7606666666666667
8241,2.48,0.6,0.7623333333333333
8242,2.48,0.61,0.7673333333333333
8243,2.48,0.62,0.7776666666666666
8244,2.48,0.63,0.7753333333333333
8245,2.48,0.64,0.782
8246,2.48,0.65,0.7903333333333333
8247,2.48,0.66,0.789
8248,2.48,0.67,0.798
8249,2.48,0.68,0.81
8250,2.48,0.69,0.8093333333333333
8251,2.48,0.7,0.7996666666666666
8252,2.48,0.71,0.8086666666666666
8253,2.48,0.72,0.815
8254,2.48,0.73,0.804
8255,2.48,0.74,0.8263333333333334
8256,2.48,0.75,0.8163333333333334
8257,2.48,0.76,0.8383333333333334
8258,2.48,0.77,0.8273333333333334
8259,2.48,0.78,0.8256666666666667
8260,2.48,0.79,0.8283333333333334
8261,2.48,0.8,0.8313333333333334
8262,2.48,0.81,0.83
8263,2.48,0.82,0.8413333333333334
8264,2.48,0.83,0.8366666666666667
8265,2.48,0.84,0.8376666666666667
8266,2.48,0.85,0.848
8267,2.48,0.86,0.8396666666666667
8268,2.48,0.87,0.841
8269,2.48,0.88,0.8353333333333334
8270,2.48,0.89,0.849
8271,2.48,0.9,0.8503333333333334
8272,2.48,0.91,0.8366666666666667
8273,2.48,0.92,0.835
8274,2.48,0.93,0.8353333333333334
8275,2.48,0.94,0.8403333333333334
8276,2.48,0.95,0.8343333333333334
8277,2.48,0.96,0.8476666666666667
8278,2.48,0.97,0.8506666666666667
8279,2.48,0.98,0.8373333333333334
8280,2.48,0.99,0.8426666666666667
8281,2.48,1.0,0.851
8282,2.56,0.0,0.15366666666666667
8283,2.56,0.01,0.138
8284,2.56,0.02,0.15566666666666668
8285,2.56,0.03,0.15266666666666667
8286,2.56,0.04,0.149
8287,2.56,0.05,0.17566666666666667
8288,2.56,0.06,0.16666666666666666
8289,2.56,0.07,0.16366666666666665
8290,2.56,0.08,0.16366666666666665
8291,2.56,0.09,0.18366666666666667
8292,2.56,0.1,0.19433333333333333
8293,2.56,0.11,0.197
8294,2.56,0.12,0.205
8295,2.56,0.13,0.195
8296,2.56,0.14,0.21666666666666667
8297,2.56,0.15,0.224
8298,2.56,0.16,0.22733333333333333
8299,2.56,0.17,0.24766666666666667
8300,2.56,0.18,0.239
8301,2.56,0.19,0.254
8302,2.56,0.2,0.2803333333333333
8303,2.56,0.21,0.26666666666666666
8304,2.56,0.22,0.2733333333333333
8305,2.56,0.23,0.28733333333333333
8306,2.56,0.24,0.31133333333333335
8307,2.56,0.25,0.30566666666666664
8308,2.56,0.26,0.313
8309,2.56,0.27,0.3313333333333333
8310,2.56,0.28,0.3363333333333333
8311,2.56,0.29,0.353
8312,2.56,0.3,0.37566666666666665
8313,2.56,0.31,0.38566666666666666
8314,2.56,0.32,0.4086666666666667
8315,2.56,0.33,0.422
8316,2.56,0.34,0.41233333333333333
8317,2.56,0.35,0.43133333333333335
8318,2.56,0.36,0.438
8319,2.56,0.37,0.471
8320,2.56,0.38,0.467
8321,2.56,0.39,0.5013333333333333
8322,2.56,0.4,0.503
8323,2.56,0.41,0.5163333333333333
8324,2.56,0.42,0.5256666666666666
8325,2.56,0.43,0.543
