,avg_correct_ranking,avg_incrt,avg_incrt_w_n,avg_pval,mum,sigm,success_rate
27,0.387,0.022188888888889282,0.020927777777778052,0.12827190354279572,400,6,0.9285
28,0.441,0.019216666666666948,0.018394444444444578,0.1129065975362185,600,6,0.943
29,0.5035,0.016072222222222307,0.015633333333333284,0.09493698571256445,800,6,0.9565
30,0.5345,0.014005555555555587,0.013733333333333292,0.09141565362406867,1000,6,0.9575
31,0.5705,0.013044444444444471,0.012788888888888846,0.08252100442355283,1200,6,0.952
32,0.589,0.012238888888888902,0.012122222222222185,0.07731537608430628,1400,6,0.958
33,0.587,0.011844444444444447,0.01160555555555552,0.06939056835376274,1600,6,0.9615
34,0.6245,0.010638888888888887,0.010355555555555522,0.06553935971760941,1800,6,0.962
35,0.667,0.009233333333333323,0.009183333333333306,0.05814039461657776,2000,6,0.9765
36,0.3965,0.023216666666667097,0.021083333333333638,,400,8,0.9295
37,0.446,0.019027777777778067,0.01798888888888899,0.11500895551372194,600,8,0.944
38,0.4925,0.016516666666666797,0.015816666666666618,0.10295959884440922,800,8,0.9445
39,0.527,0.01480555555555563,0.014244444444444402,0.09473961243384046,1000,8,0.9545
40,0.567,0.012900000000000049,0.012633333333333293,0.0769091681827829,1200,8,0.9645
41,0.58,0.012283333333333375,0.011966666666666629,0.07782955102437529,1400,8,0.9565
42,0.6045,0.011438888888888903,0.01109444444444441,0.07376304181220267,1600,8,0.9605
43,0.6075,0.011444444444444458,0.01120555555555552,0.0688714497037831,1800,8,0.9615
44,0.6425,0.010027777777777776,0.009838888888888859,0.06566570802200092,2000,8,0.9705
45,0.3655,0.02456666666666723,0.022094444444444864,0.13459275390542055,400,10,0.9285
46,0.451,0.018811111111111445,0.017261111111111165,0.10490290662312114,600,10,0.9485
47,0.489,0.017394444444444657,0.016294444444444414,0.08781245188633907,800,10,0.9565
48,0.533,0.014661111111111206,0.013788888888888847,0.0936070317263551,1000,10,0.9545
49,0.5645,0.013005555555555624,0.012488888888888848,0.0810149575329501,1200,10,0.959
50,0.5955,0.012200000000000053,0.011822222222222185,0.07831820103079751,1400,10,0.9495
51,0.62,0.011011111111111133,0.010555555555555521,0.06501609205863834,1600,10,0.965
52,0.6225,0.010944444444444479,0.01057222222222219,0.06646879479000595,1800,10,0.968
53,0.646,0.009833333333333341,0.00954999999999997,,2000,10,0.9685
54,0.361,0.025683333333333953,0.022077777777778175,0.1334022301881255,400,12,0.9355
55,0.4215,0.02045555555555595,0.018416666666666817,0.11440012678714641,600,12,0.942
56,0.493,0.017144444444444698,0.01592222222222217,0.1073602373020814,800,12,0.948
57,0.54,0.014405555555555664,0.013199999999999958,0.09298982684015102,1000,12,0.946
58,0.5615,0.01391666666666676,0.013122222222222181,0.0887908370456583,1200,12,0.955
59,0.566,0.013116666666666754,0.012561111111111073,0.0808555108014472,1400,12,0.9555
60,0.601,0.01208888888888895,0.01166666666666663,0.07104047135691152,1600,12,0.963
61,0.615,0.011155555555555594,0.010672222222222189,0.06793947974970975,1800,12,0.9585
62,0.6325,0.010611111111111127,0.010322222222222191,0.07010612783218341,2000,12,0.967
63,0.3785,0.026938888888889474,0.022266666666667014,0.13304656400124482,400,14,0.9255
64,0.4385,0.020800000000000443,0.018266666666666792,0.1176462245548068,600,14,0.932
65,0.4945,0.01779444444444473,0.015905555555555506,0.09730381989497995,800,14,0.943
66,0.5465,0.014794444444444598,0.013255555555555512,0.08802800276510536,1000,14,0.9535
67,0.577,0.013405555555555653,0.012366666666666628,0.07941194619579785,1200,14,0.954
68,0.575,0.013000000000000105,0.012161111111111072,0.07533954850551579,1400,14,0.96
69,0.609,0.012183333333333407,0.0113833333333333,0.06997976900352354,1600,14,0.965
70,0.6125,0.011261111111111144,0.010883333333333299,0.06983651095035354,1800,14,0.965
71,0.6565,0.010083333333333349,0.009483333333333304,0.059209863408902864,2000,14,0.966
72,0.3675,0.027011111111111624,0.02191111111111147,,400,16,0.938
73,0.432,0.02183888888888934,0.01873888888888902,0.11033836353611991,600,16,0.9335
74,0.4925,0.01798888888888922,0.015838888888888836,0.09622015012311626,800,16,0.955
75,0.522,0.016172222222222414,0.014555555555555509,,1000,16,0.95
76,0.545,0.01447222222222237,0.013183333333333293,0.08201898996474652,1200,16,0.955
77,0.593,0.012927777777777868,0.011849999999999963,0.07643199421668047,1400,16,0.9555
78,0.593,0.01277222222222232,0.011633333333333298,0.07382926960318036,1600,16,0.966
79,0.6355,0.010844444444444485,0.010049999999999969,0.06804294319477813,1800,16,0.97
80,0.6495,0.010611111111111148,0.009655555555555527,0.06292193009092388,2000,16,0.9695
81,0.3545,0.028505555555556086,0.022172222222222617,0.13106501944101887,400,18,0.9345
82,0.457,0.021861111111111595,0.0179611111111112,0.11381884066682389,600,18,0.9405
83,0.47,0.019038888888889244,0.016283333333333302,0.09530748347930885,800,18,0.95
84,0.542,0.015750000000000194,0.013755555555555512,0.09262512596240756,1000,18,0.9495
85,0.537,0.015061111111111268,0.013511111111111068,0.0879604215285077,1200,18,0.9465
86,0.593,0.0129000000000001,0.011944444444444407,0.07760629401555606,1400,18,0.9635
87,0.597,0.012455555555555643,0.01139444444444441,0.0733420506748294,1600,18,0.9615
88,0.629,0.01118333333333339,0.01026111111111108,0.06563661354462194,1800,18,0.9635
89,0.629,0.010855555555555608,0.010049999999999969,0.06533304898844816,2000,18,0.9615
