,avg_incrt,avg_incrt_w_n,avg_pval,mum,nop,success_rate
248,0.03559210526315793,0.014143421052631644,0.13240482403861545,960,20,0.927
249,0.03501578947368428,0.013981578947368463,0.12980187884218503,980,20,0.9325
250,0.034734210526315805,0.013963157894736886,0.1374998384095898,1000,20,0.931
251,0.03461578947368421,0.014142105263157949,0.12232959325557415,1020,20,0.933
252,0.03351315789473693,0.013909210526315854,0.12208330880723191,1040,20,0.932
253,0.03321447368421056,0.013556578947368472,0.11845886241220667,1060,20,0.9395
254,0.03252368421052644,0.013468421052631602,0.12381416315280787,1080,20,0.9435
255,0.031682894736842215,0.01310921052631584,0.11878068465542473,1100,20,0.9475
256,0.03170394736842112,0.013509210526315799,0.1268530438957491,1120,20,0.93
257,0.03113157894736853,0.013267105263157938,0.12223995311214417,1140,20,0.9315
258,0.030427631578947414,0.01321842105263159,0.11334575067640766,1160,20,0.946
259,0.029561842105263275,0.012713157894736864,0.11696012562635677,1180,20,0.94
260,0.029876315789473765,0.012940789473684244,0.11040769228391416,1200,20,0.942
261,0.029440789473684337,0.012598684210526335,0.12236000705057698,1220,20,0.942
262,0.028947368421052663,0.012534210526315813,0.11550647375458696,1240,20,0.9445
263,0.029107894736842214,0.01264210526315791,0.10980354413161911,1260,20,0.9495
264,0.028106578947368475,0.012328947368421076,0.11662999564303869,1280,20,0.941
265,0.027802631578947495,0.012628947368421083,0.11239278208512893,1300,20,0.943
266,0.028122368421052785,0.012640789473684222,0.1171761248461482,1320,20,0.9365
267,0.02693421052631587,0.012142105263157912,0.11267161505085305,1340,20,0.941
268,0.026909210526315848,0.012163157894736846,0.12135520842941888,1360,20,0.939
269,0.026577631578947495,0.011888157894736873,0.0992114768753546,1380,20,0.946
270,0.026590789473684318,0.011793421052631588,0.10319279307999529,1400,20,0.942
271,0.026011842105263167,0.011639473684210522,0.10513897082289449,1420,20,0.955
272,0.02565263157894749,0.011902631578947373,0.10541712245341373,1440,20,0.9385
273,0.02544736842105276,0.011485526315789472,0.11006624269049431,1460,20,0.9435
274,0.02529605263157899,0.011788157894736844,0.10048099293438167,1480,20,0.948
275,0.025222368421052768,0.011856578947368416,0.10123395074436396,1500,20,0.9485
276,0.024759210526315915,0.011851315789473705,0.10761535484515117,1520,20,0.9445
277,0.02438684210526325,0.01134342105263157,0.11321097999361172,1540,20,0.939
278,0.024105263157894786,0.011021052631578933,0.103301541870038,1560,20,0.941
279,0.023997368421052743,0.01131447368421052,0.10935870177560629,1580,20,0.9415
280,0.023902631578947453,0.011380263157894732,0.10032765917779472,1600,20,0.954
281,0.023431578947368498,0.011178947368421054,0.10192147053358708,1620,20,0.9445
282,0.02327236842105266,0.01092105263157895,0.09934448047216453,1640,20,0.954
283,0.02308157894736849,0.01081052631578944,0.10349258540596926,1660,20,0.9455
284,0.02259078947368431,0.010907894736842083,0.09289994504267568,1680,20,0.954
285,0.022186842105263293,0.01072236842105259,0.11215980589171372,1700,20,0.946
286,0.022261842105263264,0.010790789473684176,0.10750134749079643,1720,20,0.947
287,0.022184210526315893,0.010560526315789439,0.09463452934283638,1740,20,0.957
288,0.021603947368421122,0.010560526315789435,0.09939215703239448,1760,20,0.9495
289,0.02198289473684217,0.010664473684210501,0.08974520728876438,1780,20,0.9435
290,0.0210802631578948,0.010423684210526293,0.09723713838493563,1800,20,0.953
291,0.021425000000000086,0.010327631578947326,0.1020649845171277,1820,20,0.9425
292,0.021247368421052678,0.010448684210526265,0.08487942934896782,1840,20,0.9575
293,0.02077631578947379,0.01013289473684206,0.09458053106875375,1860,20,0.9575
294,0.02063026315789481,0.010286842105263127,0.09049601933961104,1880,20,0.9535
295,0.02037500000000007,0.010221052631578883,0.09170837989719102,1900,20,0.9565
296,0.02033026315789479,0.010090789473684152,0.1016532160672591,1920,20,0.947
297,0.020334210526315778,0.010086842105263075,0.09263269626282986,1940,20,0.9475
298,0.01984210526315793,0.010019736842105192,0.08917335871308672,1960,20,0.953
299,0.020296052631579017,0.010160526315789415,0.0911098387019279,1980,20,0.951
