nop,mum,success_rate,avg_pval,avg_incrt,avg_incrt_w_n
2.0,1940.0,0.993,0.017459930075870208,0.016,0.0075
5.0,720.0,0.966,0.0705219725093274,0.045524999999999344,0.01670000000000009
2.0,1460.0,0.9905,0.022830870008994662,0.026,0.01
5.0,800.0,0.966,0.06596978301947808,0.04357499999999947,0.01680000000000009
2.0,1180.0,0.986,0.028745271144472735,0.03025,0.014
2.0,1780.0,0.988,0.02579543873162716,0.02425,0.0125
2.0,1560.0,0.9875,0.023168709294618298,0.027,0.0135
5.0,640.0,0.965,0.07851049107512584,0.05167499999999932,0.018075000000000088
2.0,1280.0,0.9885,0.02312259778106413,0.02775,0.012
2.0,1660.0,0.984,0.02632114892579901,0.0285,0.0165
2.0,1380.0,0.9915,0.02526261687654637,0.02375,0.0085
5.0,560.0,0.958,0.07959637652598862,0.0564499999999992,0.01870000000000011
2.0,1860.0,0.9905,0.018520839128539107,0.02175,0.0105
5.0,1000.0,0.973,0.05922826928310227,0.03464999999999967,0.013050000000000046
2.0,1480.0,0.9875,0.02544712756232737,0.02725,0.013
5.0,740.0,0.965,0.06860400329844243,0.04552499999999937,0.017450000000000094
5.0,920.0,0.971,0.05590646218955245,0.03804999999999956,0.014950000000000062
5.0,660.0,0.959,0.07667543895614215,0.05039999999999933,0.018500000000000107
2.0,1960.0,0.9935,0.0162549144847655,0.016,0.007
2.0,1580.0,0.9925,0.02204931600097293,0.0215,0.008
5.0,1100.0,0.968,0.05680339578872978,0.032899999999999784,0.014400000000000055
2.0,1680.0,0.9865,0.02309005392291352,0.03,0.0135
5.0,820.0,0.9705,0.06403113916656793,0.041399999999999465,0.016550000000000092
5.0,1300.0,0.972,0.05572803882725029,0.028874999999999842,0.012550000000000037
5.0,580.0,0.9575,0.07442572060700843,0.055674999999999274,0.02017500000000013
5.0,760.0,0.958,0.06828720650785793,0.04199999999999951,0.016300000000000075
5.0,680.0,0.9675,0.06648800331523132,0.04699999999999936,0.016350000000000083
5.0,1200.0,0.9755,0.056136149097157285,0.030074999999999786,0.012425000000000038
2.0,1880.0,0.991,0.021082202673506658,0.021,0.0095
5.0,940.0,0.9695,0.06550280672049241,0.036574999999999566,0.014125000000000052
2.0,1980.0,0.989,0.023746100102580586,0.024,0.011
5.0,1400.0,0.975,0.050922140049247375,0.026874999999999857,0.012500000000000037
5.0,1020.0,0.9635,0.06371829433078412,0.0327499999999997,0.012950000000000043
5.0,780.0,0.9625,0.07634017870863916,0.040574999999999535,0.014450000000000063
5.0,840.0,0.9655,0.06257950049533277,0.041024999999999576,0.016050000000000075
5.0,1500.0,0.9765,0.048914112497832896,0.025724999999999866,0.011550000000000024
5.0,1120.0,0.969,0.060622857287334374,0.032299999999999746,0.012800000000000042
5.0,960.0,0.9675,0.06866315756330822,0.03449999999999963,0.015150000000000077
5.0,1800.0,0.9805,0.04223511781305058,0.02049999999999998,0.009750000000000003
5.0,1600.0,0.9705,0.0486892146862811,0.02529999999999992,0.012650000000000036
10.0,500.0,0.925,0.1305340845871883,0.06001111111111175,0.02003888888888915
5.0,1700.0,0.977,0.04717052088936972,0.02159999999999994,0.010650000000000014
5.0,1320.0,0.9715,0.049813543370159835,0.028449999999999774,0.013150000000000047
5.0,1220.0,0.9725,0.05393378642270648,0.028549999999999826,0.01225000000000004
5.0,1040.0,0.9645,0.058186874906017316,0.03442499999999966,0.013700000000000056
5.0,980.0,0.969,0.06049498444110659,0.03439999999999968,0.014350000000000059
5.0,860.0,0.9765,0.06634852962730721,0.03824999999999955,0.014300000000000056
5.0,1900.0,0.981,0.04247997706449447,0.020824999999999972,0.009750000000000005
10.0,600.0,0.944,0.11133384109743934,0.05222777777777847,0.01755000000000007
5.0,1420.0,0.9725,0.05146543882356429,0.02582499999999988,0.012600000000000037
5.0,1140.0,0.9785,0.05523794563443176,0.029399999999999833,0.011700000000000023
10.0,800.0,0.95,0.1107537259726561,0.04243888888888952,0.016022222222222174
10.0,700.0,0.935,0.12007038098230416,0.046105555555556156,0.016388888888888883
5.0,1820.0,0.9745,0.042042922263803365,0.021850000000000012,0.010300000000000009
5.0,1520.0,0.9735,0.04913177723542724,0.025499999999999867,0.013000000000000046
10.0,520.0,0.939,0.12419653597450048,0.058827777777778374,0.019433333333333528
5.0,880.0,0.969,0.06109871516811069,0.037674999999999494,0.013700000000000056
5.0,1620.0,0.976,0.050992964728318026,0.02369999999999995,0.010400000000000015
5.0,1240.0,0.9745,0.050669325683377286,0.02809999999999984,0.012000000000000028
5.0,1340.0,0.9765,0.05441257898898134,0.02814999999999982,0.011825000000000028
5.0,1060.0,0.9705,0.056489616154227124,0.03287499999999973,0.01380000000000005
5.0,1720.0,0.977,0.04437487565870142,0.023299999999999932,0.010500000000000013
10.0,900.0,0.9455,0.09496647419186827,0.0371222222222229,0.014061111111111068
5.0,1160.0,0.9735,0.056904718821362124,0.031849999999999754,0.01435000000000006
5.0,1440.0,0.979,0.04625954536090886,0.025999999999999898,0.011700000000000028
10.0,540.0,0.9425,0.11618116822848576,0.057033333333334074,0.019738888888889104
5.0,1840.0,0.981,0.04651479725415519,0.02107499999999997,0.010150000000000011
10.0,820.0,0.946,0.10383205681024342,0.040216666666667296,0.015411111111111061
10.0,620.0,0.938,0.11743409464297916,0.049977777777778336,0.018622222222222363
