$\sigma_{x_1}$,$\sigma_{x_2}$,$\sigma_{h_1}$,$\sigma_{h_2}$,success_rate
0.08,0.16,0.8,0.8,0.687
1.04,2.08,0.08,0.08,0.24
3.0,6.0,0.16,0.16,0.223
0.08,0.16,0.04,0.04,0.324
1.84,3.68,0.68,0.68,0.394
1.12,2.24,0.84,0.84,0.589
2.76,5.52,0.52,0.52,0.297
1.36,2.72,0.28,0.28,0.309
2.08,4.16,0.88,0.88,0.509
3.64,7.28,0.56,0.56,0.295
2.36,4.72,0.32,0.32,0.253
0.24,0.48,0.24,0.24,0.394
3.28,6.56,0.92,0.92,0.408
0.16,0.32,1.0,1.0,0.757
3.64,7.28,0.36,0.36,0.261
0.48,0.96,0.44,0.44,0.471
3.04,6.08,0.72,0.72,0.348
2.24,4.48,0.12,0.12,0.218
0.76,1.52,0.64,0.64,0.551
1.08,2.16,0.08,0.08,0.218
1.64,3.28,0.48,0.48,0.354
0.12,0.24,0.04,0.04,0.266
3.04,6.08,0.16,0.16,0.264
1.16,2.32,0.84,0.84,0.582
1.4,2.8,0.28,0.28,0.273
2.8,5.6,0.52,0.52,0.306
0.12,0.24,0.8,0.8,0.675
2.12,4.24,0.88,0.88,0.466
0.2,0.4,1.0,1.0,0.73
1.88,3.76,0.68,0.68,0.376
0.28,0.56,0.24,0.24,0.435
2.4,4.8,0.32,0.32,0.274
3.32,6.64,0.92,0.92,0.395
3.08,6.16,0.72,0.72,0.363
3.68,7.36,0.56,0.56,0.284
2.28,4.56,0.12,0.12,0.232
3.68,7.36,0.36,0.36,0.254
0.52,1.04,0.44,0.44,0.468
0.16,0.32,0.04,0.04,0.235
1.2,2.4,0.84,0.84,0.593
1.12,2.24,0.08,0.08,0.21
1.68,3.36,0.48,0.48,0.343
1.44,2.88,0.28,0.28,0.308
0.8,1.6,0.64,0.64,0.536
2.44,4.88,0.32,0.32,0.251
2.84,5.68,0.52,0.52,0.273
3.08,6.16,0.16,0.16,0.22
0.24,0.48,1.0,1.0,0.737
2.16,4.32,0.88,0.88,0.502
0.32,0.64,0.24,0.24,0.402
0.16,0.32,0.8,0.8,0.662
1.92,3.84,0.68,0.68,0.376
3.12,6.24,0.72,0.72,0.345
3.36,6.72,0.92,0.92,0.37
0.56,1.12,0.44,0.44,0.479
2.32,4.64,0.12,0.12,0.219
3.72,7.44,0.36,0.36,0.254
0.2,0.4,0.04,0.04,0.211
3.72,7.44,0.56,0.56,0.292
0.84,1.68,0.64,0.64,0.545
1.24,2.48,0.84,0.84,0.569
1.16,2.32,0.08,0.08,0.213
1.48,2.96,0.28,0.28,0.276
2.88,5.76,0.52,0.52,0.327
1.72,3.44,0.48,0.48,0.338
0.28,0.56,1.0,1.0,0.718
2.48,4.96,0.32,0.32,0.275
2.2,4.4,0.88,0.88,0.476
3.12,6.24,0.16,0.16,0.24
0.2,0.4,0.8,0.8,0.657
0.36,0.72,0.24,0.24,0.383
1.96,3.92,0.68,0.68,0.424
0.88,1.76,0.64,0.64,0.555
3.16,6.32,0.72,0.72,0.336
2.36,4.72,0.12,0.12,0.212
3.4,6.8,0.92,0.92,0.384
3.76,7.52,0.36,0.36,0.256
0.6,1.2,0.44,0.44,0.454
3.76,7.52,0.56,0.56,0.3
0.24,0.48,0.04,0.04,0.22
1.28,2.56,0.84,0.84,0.562
1.2,2.4,0.08,0.08,0.206
0.32,0.64,1.0,1.0,0.75
1.52,3.04,0.28,0.28,0.279
0.4,0.8,0.24,0.24,0.397
2.92,5.84,0.52,0.52,0.302
2.52,5.04,0.32,0.32,0.264
0.24,0.48,0.8,0.8,0.67
1.76,3.52,0.48,0.48,0.357
2.0,4.0,0.68,0.68,0.377
2.24,4.48,0.88,0.88,0.482
2.4,4.8,0.12,0.12,0.236
0.92,1.84,0.64,0.64,0.519
0.64,1.28,0.44,0.44,0.461
3.16,6.32,0.16,0.16,0.233
3.8,7.6,0.36,0.36,0.281
3.8,7.6,0.56,0.56,0.249
3.2,6.4,0.72,0.72,0.334
3.44,6.88,0.92,0.92,0.389
0.28,0.56,0.04,0.04,0.224
1.56,3.12,0.28,0.28,0.259
1.32,2.64,0.84,0.84,0.536
1.24,2.48,0.08,0.08,0.202
0.36,0.72,1.0,1.0,0.729
0.44,0.88,0.24,0.24,0.41
2.96,5.92,0.52,0.52,0.282
2.56,5.12,0.32,0.32,0.287
0.28,0.56,0.8,0.8,0.688
0.96,1.92,0.64,0.64,0.532
2.04,4.08,0.68,0.68,0.402
1.8,3.6,0.48,0.48,0.336
2.44,4.88,0.12,0.12,0.229
3.2,6.4,0.16,0.16,0.228
3.84,7.68,0.36,0.36,0.25
2.28,4.56,0.88,0.88,0.46
0.4,0.8,1.0,1.0,0.719
0.68,1.36,0.44,0.44,0.45
3.24,6.48,0.72,0.72,0.33
3.84,7.68,0.56,0.56,0.302
1.28,2.56,0.08,0.08,0.215
0.48,0.96,0.24,0.24,0.332
0.32,0.64,0.04,0.04,0.205
3.48,6.96,0.92,0.92,0.36
1.6,3.2,0.28,0.28,0.271
3.0,6.0,0.52,0.52,0.282
1.36,2.72,0.84,0.84,0.556
2.48,4.96,0.12,0.12,0.221
0.32,0.64,0.8,0.8,0.697
1.0,2.0,0.64,0.64,0.506
2.6,5.2,0.32,0.32,0.261
3.24,6.48,0.16,0.16,0.246
3.88,7.76,0.36,0.36,0.291
2.08,4.16,0.68,0.68,0.395
0.72,1.44,0.44,0.44,0.476
0.44,0.88,1.0,1.0,0.739
1.84,3.68,0.48,0.48,0.325
2.32,4.64,0.88,0.88,0.422
3.88,7.76,0.56,0.56,0.293
0.52,1.04,0.24,0.24,0.374
1.64,3.28,0.28,0.28,0.254
3.28,6.56,0.72,0.72,0.357
0.36,0.72,0.04,0.04,0.2
1.32,2.64,0.08,0.08,0.219
2.52,5.04,0.12,0.12,0.222
3.04,6.08,0.52,0.52,0.283
0.36,0.72,0.8,0.8,0.656
3.52,7.04,0.92,0.92,0.389
1.4,2.8,0.84,0.84,0.556
2.12,4.24,0.68,0.68,0.392
0.48,0.96,1.0,1.0,0.726
1.04,2.08,0.64,0.64,0.494
3.92,7.84,0.36,0.36,0.289
0.76,1.52,0.44,0.44,0.46
3.92,7.84,0.56,0.56,0.286
2.36,4.72,0.88,0.88,0.459
0.56,1.12,0.24,0.24,0.341
3.28,6.56,0.16,0.16,0.238
2.64,5.28,0.32,0.32,0.272
1.88,3.76,0.48,0.48,0.311
1.68,3.36,0.28,0.28,0.251
2.56,5.12,0.12,0.12,0.231
3.08,6.16,0.52,0.52,0.293
0.4,0.8,0.8,0.8,0.64
3.32,6.64,0.72,0.72,0.361
0.4,0.8,0.04,0.04,0.196
1.36,2.72,0.08,0.08,0.2
2.16,4.32,0.68,0.68,0.353
3.56,7.12,0.92,0.92,0.401
1.44,2.88,0.84,0.84,0.559
3.96,7.92,0.36,0.36,0.262
1.08,2.16,0.64,0.64,0.46
0.52,1.04,1.0,1.0,0.725
3.96,7.92,0.56,0.56,0.286
0.6,1.2,0.24,0.24,0.348
2.4,4.8,0.88,0.88,0.438
1.72,3.44,0.28,0.28,0.266
1.92,3.84,0.48,0.48,0.334
0.8,1.6,0.44,0.44,0.437
2.6,5.2,0.12,0.12,0.231
3.32,6.64,0.16,0.16,0.263
2.68,5.36,0.32,0.32,0.281
3.12,6.24,0.52,0.52,0.27
0.44,0.88,0.8,0.8,0.663
2.2,4.4,0.68,0.68,0.39
0.44,0.88,0.04,0.04,0.212
1.4,2.8,0.08,0.08,0.219
4.0,8.0,0.36,0.36,0.232
1.48,2.96,0.84,0.84,0.528
3.36,6.72,0.72,0.72,0.341
4.0,8.0,0.56,0.56,0.283
1.76,3.52,0.28,0.28,0.261
0.56,1.12,1.0,1.0,0.725
3.6,7.2,0.92,0.92,0.408
1.12,2.24,0.64,0.64,0.473
2.44,4.88,0.88,0.88,0.45
0.64,1.28,0.24,0.24,0.316
3.16,6.32,0.52,0.52,0.301
0.84,1.68,0.44,0.44,0.424
1.96,3.92,0.48,0.48,0.351
0.48,0.96,0.8,0.8,0.659
2.64,5.28,0.12,0.12,0.219
2.24,4.48,0.68,0.68,0.372
1.44,2.88,0.08,0.08,0.23
0.0,0.0,0.4,0.4,0.471
2.72,5.44,0.32,0.32,0.275
3.36,6.72,0.16,0.16,0.229
1.8,3.6,0.28,0.28,0.277
0.48,0.96,0.04,0.04,0.225
1.52,3.04,0.84,0.84,0.528
0.0,0.0,0.6,0.6,0.59
2.48,4.96,0.88,0.88,0.453
1.16,2.32,0.64,0.64,0.496
3.4,6.8,0.72,0.72,0.324
0.68,1.36,0.24,0.24,0.338
0.6,1.2,1.0,1.0,0.732
3.64,7.28,0.92,0.92,0.356
0.04,0.08,0.4,0.4,0.454
2.0,4.0,0.48,0.48,0.344
0.52,1.04,0.8,0.8,0.632
2.68,5.36,0.12,0.12,0.244
2.28,4.56,0.68,0.68,0.384
0.88,1.76,0.44,0.44,0.426
3.2,6.4,0.52,0.52,0.292
1.48,2.96,0.08,0.08,0.2
1.84,3.68,0.28,0.28,0.27
2.76,5.52,0.32,0.32,0.271
0.04,0.08,0.6,0.6,0.563
3.4,6.8,0.16,0.16,0.226
2.52,5.04,0.88,0.88,0.439
0.08,0.16,0.4,0.4,0.449
0.52,1.04,0.04,0.04,0.206
2.72,5.44,0.12,0.12,0.237
0.92,1.84,0.44,0.44,0.423
1.2,2.4,0.64,0.64,0.465
0.56,1.12,0.8,0.8,0.633
1.56,3.12,0.84,0.84,0.525
3.44,6.88,0.72,0.72,0.338
1.52,3.04,0.08,0.08,0.22
0.72,1.44,0.24,0.24,0.332
0.64,1.28,1.0,1.0,0.726
1.88,3.76,0.28,0.28,0.278
2.04,4.08,0.48,0.48,0.318
3.68,7.36,0.92,0.92,0.378
2.32,4.64,0.68,0.68,0.368
3.24,6.48,0.52,0.52,0.296
2.56,5.12,0.88,0.88,0.42
0.08,0.16,0.6,0.6,0.605
2.8,5.6,0.32,0.32,0.233
0.12,0.24,0.4,0.4,0.476
0.96,1.92,0.44,0.44,0.409
2.76,5.52,0.12,0.12,0.214
0.6,1.2,0.8,0.8,0.644
3.44,6.88,0.16,0.16,0.239
1.56,3.12,0.08,0.08,0.216
0.56,1.12,0.04,0.04,0.17
1.6,3.2,0.84,0.84,0.524
2.08,4.16,0.48,0.48,0.34
1.24,2.48,0.64,0.64,0.457
1.92,3.84,0.28,0.28,0.267
2.36,4.72,0.68,0.68,0.375
3.48,6.96,0.72,0.72,0.327
0.76,1.52,0.24,0.24,0.311
0.68,1.36,1.0,1.0,0.71
3.28,6.56,0.52,0.52,0.302
3.72,7.44,0.92,0.92,0.379
0.12,0.24,0.6,0.6,0.599
2.6,5.2,0.88,0.88,0.434
0.16,0.32,0.4,0.4,0.443
1.0,2.0,0.44,0.44,0.397
2.8,5.6,0.12,0.12,0.229
1.6,3.2,0.08,0.08,0.222
3.48,6.96,0.16,0.16,0.236
2.84,5.68,0.32,0.32,0.282
0.64,1.28,0.8,0.8,0.647
1.96,3.92,0.28,0.28,0.258
2.12,4.24,0.48,0.48,0.308
2.4,4.8,0.68,0.68,0.365
1.64,3.28,0.84,0.84,0.481
1.28,2.56,0.64,0.64,0.449
0.6,1.2,0.04,0.04,0.214
3.52,7.04,0.72,0.72,0.326
0.8,1.6,0.24,0.24,0.326
3.32,6.64,0.52,0.52,0.306
0.2,0.4,0.4,0.4,0.494
2.64,5.28,0.88,0.88,0.438
0.16,0.32,0.6,0.6,0.559
1.04,2.08,0.44,0.44,0.423
0.72,1.44,1.0,1.0,0.713
3.76,7.52,0.92,0.92,0.374
2.84,5.68,0.12,0.12,0.232
1.64,3.28,0.08,0.08,0.211
2.0,4.0,0.28,0.28,0.265
3.52,7.04,0.16,0.16,0.224
0.68,1.36,0.8,0.8,0.637
2.16,4.32,0.48,0.48,0.319
1.68,3.36,0.84,0.84,0.51
2.88,5.76,0.32,0.32,0.256
2.44,4.88,0.68,0.68,0.388
0.64,1.28,0.04,0.04,0.2
1.32,2.64,0.64,0.64,0.471
1.08,2.16,0.44,0.44,0.398
3.56,7.12,0.72,0.72,0.288
0.84,1.68,0.24,0.24,0.278
3.36,6.72,0.52,0.52,0.303
0.2,0.4,0.6,0.6,0.603
0.24,0.48,0.4,0.4,0.479
2.68,5.36,0.88,0.88,0.438
1.68,3.36,0.08,0.08,0.212
0.76,1.52,1.0,1.0,0.696
2.88,5.76,0.12,0.12,0.222
3.8,7.6,0.92,0.92,0.379
2.04,4.08,0.28,0.28,0.243
0.72,1.44,0.8,0.8,0.624
0.68,1.36,0.04,0.04,0.207
2.2,4.4,0.48,0.48,0.301
3.56,7.12,0.16,0.16,0.238
2.48,4.96,0.68,0.68,0.344
1.72,3.44,0.84,0.84,0.493
2.92,5.84,0.32,0.32,0.251
3.6,7.2,0.72,0.72,0.332
0.24,0.48,0.6,0.6,0.554
1.72,3.44,0.08,0.08,0.231
1.36,2.72,0.64,0.64,0.463
1.12,2.24,0.44,0.44,0.384
3.4,6.8,0.52,0.52,0.283
2.92,5.84,0.12,0.12,0.229
0.88,1.76,0.24,0.24,0.269
3.84,7.68,0.92,0.92,0.379
0.8,1.6,1.0,1.0,0.7
0.28,0.56,0.4,0.4,0.494
2.72,5.44,0.88,0.88,0.407
2.08,4.16,0.28,0.28,0.283
0.72,1.44,0.04,0.04,0.184
0.76,1.52,0.8,0.8,0.648
3.6,7.2,0.16,0.16,0.221
3.64,7.28,0.72,0.72,0.336
2.96,5.92,0.32,0.32,0.258
1.4,2.8,0.64,0.64,0.462
2.52,5.04,0.68,0.68,0.351
1.76,3.52,0.84,0.84,0.51
2.24,4.48,0.48,0.48,0.322
3.44,6.88,0.52,0.52,0.295
0.28,0.56,0.6,0.6,0.569
1.76,3.52,0.08,0.08,0.205
2.96,5.92,0.12,0.12,0.21
0.92,1.84,0.24,0.24,0.284
3.88,7.76,0.92,0.92,0.384
1.16,2.32,0.44,0.44,0.366
0.84,1.68,1.0,1.0,0.705
0.76,1.52,0.04,0.04,0.213
0.32,0.64,0.4,0.4,0.518
2.76,5.52,0.88,0.88,0.428
3.68,7.36,0.72,0.72,0.341
2.12,4.24,0.28,0.28,0.253
1.44,2.88,0.64,0.64,0.458
3.64,7.28,0.16,0.16,0.244
3.48,6.96,0.52,0.52,0.306
0.8,1.6,0.8,0.8,0.612
3.0,6.0,0.12,0.12,0.241
3.0,6.0,0.32,0.32,0.248
1.8,3.6,0.08,0.08,0.219
0.32,0.64,0.6,0.6,0.581
2.28,4.56,0.48,0.48,0.331
2.56,5.12,0.68,0.68,0.344
1.2,2.4,0.44,0.44,0.388
1.8,3.6,0.84,0.84,0.514
0.8,1.6,0.04,0.04,0.214
0.96,1.92,0.24,0.24,0.324
3.92,7.84,0.92,0.92,0.368
2.8,5.6,0.88,0.88,0.382
0.88,1.76,1.0,1.0,0.695
3.52,7.04,0.52,0.52,0.305
0.36,0.72,0.4,0.4,0.483
3.68,7.36,0.16,0.16,0.22
3.72,7.44,0.72,0.72,0.332
0.84,1.68,0.8,0.8,0.601
1.48,2.96,0.64,0.64,0.43
2.16,4.32,0.28,0.28,0.252
0.36,0.72,0.6,0.6,0.579
2.6,5.2,0.68,0.68,0.366
2.32,4.64,0.48,0.48,0.325
1.24,2.48,0.44,0.44,0.365
3.04,6.08,0.32,0.32,0.27
1.84,3.68,0.08,0.08,0.208
3.04,6.08,0.12,0.12,0.225
1.84,3.68,0.84,0.84,0.484
0.84,1.68,0.04,0.04,0.197
2.84,5.68,0.88,0.88,0.4
1.0,2.0,0.24,0.24,0.29
3.56,7.12,0.52,0.52,0.269
1.52,3.04,0.64,0.64,0.469
0.92,1.84,1.0,1.0,0.688
3.76,7.52,0.72,0.72,0.354
3.96,7.92,0.92,0.92,0.35
0.88,1.76,0.8,0.8,0.613
3.72,7.44,0.16,0.16,0.207
0.4,0.8,0.4,0.4,0.499
2.2,4.4,0.28,0.28,0.258
2.64,5.28,0.68,0.68,0.357
3.08,6.16,0.32,0.32,0.267
0.4,0.8,0.6,0.6,0.55
2.36,4.72,0.48,0.48,0.33
3.08,6.16,0.12,0.12,0.232
2.88,5.76,0.88,0.88,0.418
1.88,3.76,0.08,0.08,0.219
1.28,2.56,0.44,0.44,0.378
3.6,7.2,0.52,0.52,0.277
0.88,1.76,0.04,0.04,0.23
1.04,2.08,0.24,0.24,0.286
1.88,3.76,0.84,0.84,0.462
0.96,1.92,1.0,1.0,0.695
1.56,3.12,0.64,0.64,0.427
3.8,7.6,0.72,0.72,0.339
0.44,0.88,0.4,0.4,0.462
4.0,8.0,0.92,0.92,0.349
0.92,1.84,0.8,0.8,0.606
3.76,7.52,0.16,0.16,0.211
2.4,4.8,0.48,0.48,0.309
2.24,4.48,0.28,0.28,0.276
3.12,6.24,0.32,0.32,0.248
2.68,5.36,0.68,0.68,0.337
3.12,6.24,0.12,0.12,0.209
0.44,0.88,0.6,0.6,0.569
1.32,2.64,0.44,0.44,0.35
2.92,5.84,0.88,0.88,0.4
1.92,3.84,0.84,0.84,0.48
0.92,1.84,0.04,0.04,0.213
1.08,2.16,0.24,0.24,0.295
3.64,7.28,0.52,0.52,0.287
1.92,3.84,0.08,0.08,0.224
1.0,2.0,1.0,1.0,0.713
0.0,0.0,0.96,0.96,0.75
0.48,0.96,0.4,0.4,0.467
1.6,3.2,0.64,0.64,0.394
0.96,1.92,0.8,0.8,0.613
3.84,7.68,0.72,0.72,0.296
2.28,4.56,0.28,0.28,0.253
3.8,7.6,0.16,0.16,0.215
0.48,0.96,0.6,0.6,0.567
3.16,6.32,0.32,0.32,0.255
2.44,4.88,0.48,0.48,0.306
3.16,6.32,0.12,0.12,0.241
0.96,1.92,0.04,0.04,0.204
2.72,5.44,0.68,0.68,0.379
3.68,7.36,0.52,0.52,0.262
1.36,2.72,0.44,0.44,0.344
0.04,0.08,0.96,0.96,0.765
2.96,5.92,0.88,0.88,0.384
1.96,3.92,0.84,0.84,0.468
1.96,3.92,0.08,0.08,0.222
1.0,2.0,0.8,0.8,0.607
3.88,7.76,0.72,0.72,0.328
1.12,2.24,0.24,0.24,0.285
0.52,1.04,0.4,0.4,0.466
2.32,4.64,0.28,0.28,0.238
1.04,2.08,1.0,1.0,0.684
0.52,1.04,0.6,0.6,0.585
1.0,2.0,0.04,0.04,0.217
1.64,3.28,0.64,0.64,0.419
3.2,6.4,0.32,0.32,0.272
3.84,7.68,0.16,0.16,0.221
3.2,6.4,0.12,0.12,0.218
3.72,7.44,0.52,0.52,0.275
2.76,5.52,0.68,0.68,0.352
2.48,4.96,0.48,0.48,0.31
3.0,6.0,0.88,0.88,0.418
0.08,0.16,0.96,0.96,0.753
3.92,7.84,0.72,0.72,0.286
2.36,4.72,0.28,0.28,0.267
2.0,4.0,0.08,0.08,0.228
0.56,1.12,0.6,0.6,0.573
1.4,2.8,0.44,0.44,0.344
2.0,4.0,0.84,0.84,0.478
1.04,2.08,0.8,0.8,0.575
1.4,2.8,1.0,1.0,0.624
1.04,2.08,0.04,0.04,0.214
1.16,2.32,0.24,0.24,0.276
2.48,4.96,1.04,1.04,0.479
1.08,2.16,1.0,1.0,0.682
3.04,6.08,0.88,0.88,0.4
1.68,3.36,0.64,0.64,0.387
3.24,6.48,0.32,0.32,0.276
3.88,7.76,0.16,0.16,0.228
0.12,0.24,0.96,0.96,0.731
2.4,4.8,0.28,0.28,0.252
2.04,4.08,0.08,0.08,0.23
3.96,7.92,0.72,0.72,0.329
2.52,5.04,0.48,0.48,0.306
3.76,7.52,0.52,0.52,0.249
1.08,2.16,0.8,0.8,0.586
2.04,4.08,0.84,0.84,0.438
2.8,5.6,0.68,0.68,0.369
0.6,1.2,0.6,0.6,0.554
1.44,2.88,1.0,1.0,0.602
1.44,2.88,0.44,0.44,0.362
2.52,5.04,1.04,1.04,0.488
3.56,7.12,1.08,1.08,0.43
1.2,2.4,0.24,0.24,0.285
3.08,6.16,0.88,0.88,0.392
1.12,2.24,1.0,1.0,0.667
0.16,0.32,0.96,0.96,0.754
3.92,7.84,0.16,0.16,0.222
3.28,6.56,0.32,0.32,0.262
4.0,8.0,0.72,0.72,0.327
2.56,5.12,0.48,0.48,0.326
1.72,3.44,0.64,0.64,0.402
2.08,4.16,0.08,0.08,0.217
0.64,1.28,0.6,0.6,0.556
2.08,4.16,0.84,0.84,0.447
0.6,1.2,1.16,1.16,0.765
1.68,3.36,1.2,1.2,0.622
1.48,2.96,1.0,1.0,0.585
2.84,5.68,0.68,0.68,0.345
2.76,5.52,1.24,1.24,0.545
1.48,2.96,0.44,0.44,0.347
2.56,5.12,1.04,1.04,0.494
3.6,7.2,1.08,1.08,0.422
0.2,0.4,0.96,0.96,0.729
0.0,0.0,0.76,0.76,0.655
1.24,2.48,0.24,0.24,0.266
3.32,6.64,0.32,0.32,0.263
1.16,2.32,1.0,1.0,0.671
2.6,5.2,0.48,0.48,0.284
3.96,7.92,0.16,0.16,0.234
1.52,3.04,1.0,1.0,0.607
3.12,6.24,0.88,0.88,0.39
2.12,4.24,0.84,0.84,0.478
1.52,3.04,0.44,0.44,0.32
2.88,5.76,0.68,0.68,0.342
2.12,4.24,0.08,0.08,0.233
1.72,3.44,1.2,1.2,0.631
0.68,1.36,0.6,0.6,0.547
1.76,3.52,0.64,0.64,0.419
2.6,5.2,1.04,1.04,0.484
0.64,1.28,1.16,1.16,0.77
2.8,5.6,1.24,1.24,0.536
3.64,7.28,1.08,1.08,0.416
3.84,7.68,1.28,1.28,0.472
0.24,0.48,0.96,0.96,0.752
1.28,2.56,0.24,0.24,0.291
3.36,6.72,0.32,0.32,0.255
1.56,3.12,1.0,1.0,0.582
4.0,8.0,0.16,0.16,0.237
1.76,3.52,1.2,1.2,0.663
2.64,5.28,0.48,0.48,0.284
2.64,5.28,1.04,1.04,0.463
1.2,2.4,1.0,1.0,0.67
3.16,6.32,0.88,0.88,0.402
2.92,5.84,0.68,0.68,0.344
1.56,3.12,0.44,0.44,0.347
3.88,7.76,1.28,1.28,0.466
2.16,4.32,0.84,0.84,0.432
2.84,5.68,1.24,1.24,0.52
3.68,7.36,1.08,1.08,0.418
0.88,1.76,1.36,1.36,0.797
0.68,1.36,1.16,1.16,0.757
1.8,3.6,0.64,0.64,0.397
0.28,0.56,0.96,0.96,0.733
0.72,1.44,0.6,0.6,0.534
1.32,2.64,0.24,0.24,0.271
1.6,3.2,1.0,1.0,0.575
1.8,3.6,1.2,1.2,0.664
3.4,6.8,0.32,0.32,0.241
1.96,3.92,1.4,1.4,0.69
2.68,5.36,1.04,1.04,0.459
0.0,0.0,0.2,0.2,0.403
1.6,3.2,0.44,0.44,0.339
2.88,5.76,1.24,1.24,0.517
2.96,5.92,0.68,0.68,0.34
3.2,6.4,0.88,0.88,0.365
2.68,5.36,0.48,0.48,0.276
1.24,2.48,1.0,1.0,0.628
3.92,7.84,1.28,1.28,0.44
0.72,1.44,1.16,1.16,0.77
3.72,7.44,1.08,1.08,0.394
3.04,6.08,1.44,1.44,0.588
1.84,3.68,0.64,0.64,0.371
0.76,1.52,0.6,0.6,0.54
0.92,1.84,1.36,1.36,0.776
0.08,0.16,1.52,1.52,0.856
1.84,3.68,1.2,1.2,0.636
1.64,3.28,1.0,1.0,0.583
0.04,0.08,0.2,0.2,0.415
2.72,5.44,1.04,1.04,0.477
3.44,6.88,0.32,0.32,0.248
2.92,5.84,1.24,1.24,0.545
3.24,6.48,0.88,0.88,0.355
1.16,2.32,1.56,1.56,0.806
2.0,4.0,1.4,1.4,0.678
3.96,7.92,1.28,1.28,0.475
2.24,4.48,1.6,1.6,0.702
3.76,7.52,1.08,1.08,0.393
1.88,3.76,0.64,0.64,0.408
1.28,2.56,1.0,1.0,0.625
3.32,6.64,1.64,1.64,0.616
0.76,1.52,1.16,1.16,0.748
0.12,0.24,1.52,1.52,0.846
0.8,1.6,0.6,0.6,0.548
3.08,6.16,1.44,1.44,0.557
1.88,3.76,1.2,1.2,0.631
0.96,1.92,1.36,1.36,0.799
0.08,0.16,0.2,0.2,0.385
2.76,5.52,1.04,1.04,0.436
1.68,3.36,1.0,1.0,0.58
3.48,6.96,0.32,0.32,0.245
4.0,8.0,1.28,1.28,0.45
2.28,4.56,1.6,1.6,0.664
2.96,5.92,1.24,1.24,0.545
1.2,2.4,1.56,1.56,0.812
2.04,4.08,1.4,1.4,0.69
1.44,2.88,1.76,1.76,0.805
1.32,2.64,1.0,1.0,0.645
0.36,0.72,1.72,1.72,0.875
3.8,7.6,1.08,1.08,0.426
0.8,1.6,1.16,1.16,0.751
3.36,6.72,1.64,1.64,0.601
2.52,5.04,1.8,1.8,0.715
3.12,6.24,1.44,1.44,0.577
0.16,0.32,1.52,1.52,0.843
1.0,2.0,1.36,1.36,0.788
1.92,3.84,1.2,1.2,0.63
1.72,3.44,1.0,1.0,0.551
2.32,4.64,1.6,1.6,0.697
2.8,5.6,1.04,1.04,0.478
0.0,0.0,1.32,1.32,0.839
3.0,6.0,1.24,1.24,0.499
0.12,0.24,0.2,0.2,0.394
1.24,2.48,1.56,1.56,0.815
2.08,4.16,1.4,1.4,0.651
3.6,7.2,1.84,1.84,0.625
3.4,6.8,1.64,1.64,0.59
1.36,2.72,1.0,1.0,0.629
1.48,2.96,1.76,1.76,0.824
2.56,5.12,1.8,1.8,0.709
3.84,7.68,1.08,1.08,0.382
0.4,0.8,1.72,1.72,0.867
0.84,1.68,1.16,1.16,0.756
1.04,2.08,1.36,1.36,0.786
1.76,3.52,1.0,1.0,0.577
3.16,6.32,1.44,1.44,0.563
3.04,6.08,1.24,1.24,0.505
2.36,4.72,1.6,1.6,0.693
0.2,0.4,1.52,1.52,0.861
1.96,3.92,1.2,1.2,0.624
0.04,0.08,1.32,1.32,0.812
0.16,0.32,0.2,0.2,0.387
1.28,2.56,1.56,1.56,0.813
3.44,6.88,1.64,1.64,0.581
2.84,5.68,1.04,1.04,0.464
2.6,5.2,1.8,1.8,0.723
2.12,4.24,1.4,1.4,0.661
3.64,7.28,1.84,1.84,0.587
1.52,3.04,1.76,1.76,0.794
3.2,6.4,1.44,1.44,0.552
0.64,1.28,1.92,1.92,0.852
3.88,7.76,1.08,1.08,0.414
1.8,3.6,1.0,1.0,0.583
3.08,6.16,1.24,1.24,0.517
0.08,0.16,1.32,1.32,0.836
0.88,1.76,1.16,1.16,0.737
0.44,0.88,1.72,1.72,0.871
0.2,0.4,0.2,0.2,0.412
1.08,2.16,1.36,1.36,0.761
2.4,4.8,1.6,1.6,0.718
2.0,4.0,1.2,1.2,0.604
0.24,0.48,1.52,1.52,0.845
1.32,2.64,1.56,1.56,0.79
3.48,6.96,1.64,1.64,0.572
2.88,5.76,1.04,1.04,0.464
1.56,3.12,1.76,1.76,0.823
2.64,5.28,1.8,1.8,0.7
1.84,3.68,1.0,1.0,0.528
2.16,4.32,1.4,1.4,0.634
3.12,6.24,1.24,1.24,0.474
3.24,6.48,1.44,1.44,0.552
0.12,0.24,1.32,1.32,0.836
0.68,1.36,1.92,1.92,0.875
3.68,7.36,1.84,1.84,0.618
3.92,7.84,1.08,1.08,0.413
0.24,0.48,0.2,0.2,0.393
2.04,4.08,1.2,1.2,0.605
1.12,2.24,1.36,1.36,0.784
0.92,1.84,1.16,1.16,0.749
2.44,4.88,1.6,1.6,0.691
0.48,0.96,1.72,1.72,0.865
1.36,2.72,1.56,1.56,0.8
0.28,0.56,1.52,1.52,0.866
3.52,7.04,1.64,1.64,0.563
1.6,3.2,1.76,1.76,0.784
2.92,5.84,1.04,1.04,0.463
2.68,5.36,1.8,1.8,0.733
1.88,3.76,1.0,1.0,0.563
2.2,4.4,1.4,1.4,0.665
3.28,6.56,1.44,1.44,0.539
0.72,1.44,1.92,1.92,0.859
3.96,7.92,1.08,1.08,0.386
2.08,4.16,1.2,1.2,0.617
