$\sigma_{x_1}$,$\sigma_{x_2}$,$\sigma_{h_1}$,$\sigma_{h_2}$,success_rate
3.84,7.68,0.32,0.32,0.24
2.76,5.52,0.28,0.28,0.264
3.04,6.08,0.48,0.48,0.307
3.6,7.2,0.88,0.88,0.355
0.88,1.76,0.4,0.4,0.371
1.16,2.32,0.6,0.6,0.459
0.64,1.28,0.96,0.96,0.699
2.52,5.04,0.84,0.84,0.399
0.6,1.2,0.2,0.2,0.321
1.4,2.8,0.04,0.04,0.211
0.36,0.72,0.76,0.76,0.63
3.56,7.12,0.12,0.12,0.245
3.32,6.64,0.68,0.68,0.342
2.0,4.0,0.44,0.44,0.306
2.52,5.04,0.08,0.08,0.23
0.36,0.72,0.0,0.0,0.178
1.68,3.36,0.24,0.24,0.254
0.12,0.24,0.56,0.56,0.557
1.44,2.88,0.8,0.8,0.54
2.24,4.48,0.64,0.64,0.361
3.88,7.76,0.32,0.32,0.241
3.64,7.28,0.88,0.88,0.361
1.2,2.4,0.6,0.6,0.444
0.68,1.36,0.96,0.96,0.711
2.8,5.6,0.28,0.28,0.254
3.08,6.16,0.48,0.48,0.297
0.92,1.84,0.4,0.4,0.365
3.6,7.2,0.12,0.12,0.216
0.64,1.28,0.2,0.2,0.277
1.44,2.88,0.04,0.04,0.199
2.56,5.12,0.84,0.84,0.411
3.36,6.72,0.68,0.68,0.316
2.04,4.08,0.44,0.44,0.286
0.4,0.8,0.76,0.76,0.629
1.72,3.44,0.24,0.24,0.272
2.56,5.12,0.08,0.08,0.209
0.4,0.8,0.0,0.0,0.185
1.48,2.96,0.8,0.8,0.519
0.16,0.32,0.56,0.56,0.579
3.68,7.36,0.88,0.88,0.376
0.72,1.44,0.96,0.96,0.71
2.28,4.56,0.64,0.64,0.37
3.92,7.84,0.32,0.32,0.252
3.12,6.24,0.48,0.48,0.291
2.84,5.68,0.28,0.28,0.257
1.24,2.48,0.6,0.6,0.455
2.6,5.2,0.84,0.84,0.436
1.48,2.96,0.04,0.04,0.201
3.4,6.8,0.68,0.68,0.316
0.68,1.36,0.2,0.2,0.284
0.96,1.92,0.4,0.4,0.375
0.44,0.88,0.76,0.76,0.63
3.64,7.28,0.12,0.12,0.227
2.08,4.16,0.44,0.44,0.324
2.6,5.2,0.08,0.08,0.218
1.76,3.52,0.24,0.24,0.273
3.72,7.44,0.88,0.88,0.343
0.76,1.52,0.96,0.96,0.682
0.44,0.88,0.0,0.0,0.207
1.52,3.04,0.8,0.8,0.521
3.96,7.92,0.32,0.32,0.242
0.2,0.4,0.56,0.56,0.572
2.32,4.64,0.64,0.64,0.37
2.88,5.76,0.28,0.28,0.262
3.16,6.32,0.48,0.48,0.282
1.28,2.56,0.6,0.6,0.434
1.52,3.04,0.04,0.04,0.217
3.44,6.88,0.68,0.68,0.326
2.64,5.28,0.84,0.84,0.439
0.48,0.96,0.76,0.76,0.642
0.72,1.44,0.2,0.2,0.293
1.0,2.0,0.4,0.4,0.358
2.12,4.24,0.44,0.44,0.289
0.8,1.6,0.96,0.96,0.688
1.8,3.6,0.24,0.24,0.268
2.64,5.28,0.08,0.08,0.204
4.0,8.0,0.32,0.32,0.242
1.56,3.12,0.8,0.8,0.48
3.68,7.36,0.12,0.12,0.212
3.76,7.52,0.88,0.88,0.344
0.48,0.96,0.0,0.0,0.199
2.36,4.72,0.64,0.64,0.364
0.24,0.48,0.56,0.56,0.584
2.92,5.84,0.28,0.28,0.259
0.52,1.04,0.76,0.76,0.599
1.56,3.12,0.04,0.04,0.195
3.2,6.4,0.48,0.48,0.259
1.32,2.64,0.6,0.6,0.457
2.68,5.36,0.84,0.84,0.396
3.48,6.96,0.68,0.68,0.337
0.76,1.52,0.2,0.2,0.319
1.04,2.08,0.4,0.4,0.347
0.0,0.0,0.36,0.36,0.473
