,opt,sigh,success_rate
365,10,1.6400000000000001,0.737
366,10,1.6500000000000001,0.744
367,10,1.6600000000000001,0.729
368,10,1.67,0.712
369,10,1.68,0.722
370,10,1.69,0.742
371,10,1.7,0.756
372,10,1.71,0.72
373,10,1.72,0.718
374,10,1.73,0.727
375,10,1.74,0.729
376,10,1.75,0.71
377,10,1.76,0.711
378,10,1.77,0.724
379,10,1.78,0.737
380,10,1.79,0.737
381,10,1.8,0.755
382,10,1.81,0.748
383,10,1.82,0.747
384,10,1.83,0.732
385,10,1.84,0.726
386,10,1.85,0.718
387,10,1.86,0.716
388,10,1.87,0.736
389,10,1.8800000000000001,0.759
390,10,1.8900000000000001,0.724
391,10,1.9000000000000001,0.733
392,10,1.9100000000000001,0.731
393,10,1.92,0.728
394,10,1.93,0.712
395,10,1.94,0.724
396,10,1.95,0.703
397,10,1.96,0.727
398,10,1.97,0.751
399,10,1.98,0.719
400,10,1.99,0.757
401,10,2.0,0.722
402,40,0.0,0.11
403,40,0.01,0.174
404,40,0.02,0.212
405,40,0.03,0.22
406,40,0.04,0.247
407,40,0.05,0.309
408,40,0.06,0.32
409,40,0.07,0.363
410,40,0.08,0.381
411,40,0.09,0.435
412,40,0.1,0.489
413,40,0.11,0.522
414,40,0.12,0.566
415,40,0.13,0.589
416,40,0.14,0.617
417,40,0.15,0.628
418,40,0.16,0.657
419,40,0.17,0.656
420,40,0.18,0.627
421,40,0.19,0.577
422,40,0.2,0.589
423,40,0.21,0.569
424,40,0.22,0.536
425,40,0.23,0.522
426,40,0.24,0.536
427,40,0.25,0.488
428,40,0.26,0.502
429,40,0.27,0.494
430,40,0.28,0.479
431,40,0.29,0.47
432,40,0.3,0.475
433,40,0.31,0.482
434,40,0.32,0.429
435,40,0.33,0.437
436,40,0.34,0.463
437,40,0.35000000000000003,0.419
438,40,0.36,0.408
439,40,0.37,0.418
440,40,0.38,0.421
441,40,0.39,0.406
442,40,0.4,0.38
443,40,0.41000000000000003,0.39
444,40,0.42,0.393
445,40,0.43,0.421
446,40,0.44,0.409
447,40,0.45,0.407
448,40,0.46,0.36
449,40,0.47000000000000003,0.39
450,40,0.48,0.355
451,40,0.49,0.386
452,40,0.5,0.367
453,40,0.51,0.381
454,40,0.52,0.387
455,40,0.53,0.395
456,40,0.54,0.374
457,40,0.55,0.369
458,40,0.56,0.377
459,40,0.5700000000000001,0.405
460,40,0.58,0.357
461,40,0.59,0.384
462,40,0.6,0.379
463,40,0.61,0.397
464,40,0.62,0.363
465,40,0.63,0.383
466,40,0.64,0.41
467,40,0.65,0.372
468,40,0.66,0.362
469,40,0.67,0.383
470,40,0.68,0.421
471,40,0.6900000000000001,0.401
472,40,0.7000000000000001,0.374
473,40,0.71,0.384
474,40,0.72,0.394
475,40,0.73,0.419
476,40,0.74,0.426
477,40,0.75,0.42
478,40,0.76,0.428
479,40,0.77,0.426
480,40,0.78,0.426
481,40,0.79,0.456
482,40,0.8,0.453
483,40,0.81,0.431
484,40,0.8200000000000001,0.429
485,40,0.8300000000000001,0.47
486,40,0.84,0.439
487,40,0.85,0.452
488,40,0.86,0.489
489,40,0.87,0.479
490,40,0.88,0.479
491,40,0.89,0.481
492,40,0.9,0.505
493,40,0.91,0.506
494,40,0.92,0.529
495,40,0.93,0.501
496,40,0.9400000000000001,0.477
497,40,0.9500000000000001,0.525
498,40,0.96,0.494
499,40,0.97,0.5
500,40,0.98,0.51
501,40,0.99,0.501
502,40,1.0,0.545
503,40,1.01,0.539
504,40,1.02,0.515
505,40,1.03,0.512
506,40,1.04,0.511
507,40,1.05,0.5
508,40,1.06,0.488
509,40,1.07,0.484
510,40,1.08,0.499
511,40,1.09,0.49
512,40,1.1,0.487
513,40,1.11,0.475
514,40,1.12,0.496
515,40,1.1300000000000001,0.471
516,40,1.1400000000000001,0.476
517,40,1.1500000000000001,0.462
518,40,1.16,0.466
519,40,1.17,0.45
520,40,1.18,0.453
521,40,1.19,0.449
522,40,1.2,0.457
523,40,1.21,0.477
524,40,1.22,0.452
525,40,1.23,0.444
526,40,1.24,0.448
527,40,1.25,0.468
528,40,1.26,0.455
529,40,1.27,0.438
530,40,1.28,0.451
531,40,1.29,0.424
532,40,1.3,0.453
533,40,1.31,0.428
534,40,1.32,0.451
535,40,1.33,0.469
536,40,1.34,0.422
537,40,1.35,0.43
538,40,1.36,0.427
539,40,1.37,0.431
540,40,1.3800000000000001,0.437
541,40,1.3900000000000001,0.423
542,40,1.4000000000000001,0.419
543,40,1.41,0.413
544,40,1.42,0.399
545,40,1.43,0.404
546,40,1.44,0.428
547,40,1.45,0.41
548,40,1.46,0.421
549,40,1.47,0.432
550,40,1.48,0.417
551,40,1.49,0.41
552,40,1.5,0.407
553,40,1.51,0.401
554,40,1.52,0.429
555,40,1.53,0.406
556,40,1.54,0.433
557,40,1.55,0.39
558,40,1.56,0.387
559,40,1.57,0.401
560,40,1.58,0.394
561,40,1.59,0.398
562,40,1.6,0.404
563,40,1.61,0.422
564,40,1.62,0.415
565,40,1.6300000000000001,0.408
566,40,1.6400000000000001,0.398
567,40,1.6500000000000001,0.425
568,40,1.6600000000000001,0.391
569,40,1.67,0.411
570,40,1.68,0.386
571,40,1.69,0.389
572,40,1.7,0.384
573,40,1.71,0.41
574,40,1.72,0.405
575,40,1.73,0.394
576,40,1.74,0.415
577,40,1.75,0.398
578,40,1.76,0.409
579,40,1.77,0.414
580,40,1.78,0.403
581,40,1.79,0.379
582,40,1.8,0.389
583,40,1.81,0.385
584,40,1.82,0.412
585,40,1.83,0.371
586,40,1.84,0.4
587,40,1.85,0.404
588,40,1.86,0.376
589,40,1.87,0.422
590,40,1.8800000000000001,0.376
591,40,1.8900000000000001,0.385
592,40,1.9000000000000001,0.387
593,40,1.9100000000000001,0.367
594,40,1.92,0.396
595,40,1.93,0.403
596,40,1.94,0.382
597,40,1.95,0.394
598,40,1.96,0.399
599,40,1.97,0.373
600,40,1.98,0.39
601,40,1.99,0.373
602,40,2.0,0.382
603,60,0.0,0.078
604,60,0.01,0.106
605,60,0.02,0.124
606,60,0.03,0.144
607,60,0.04,0.171
608,60,0.05,0.186
609,60,0.06,0.205
610,60,0.07,0.221
611,60,0.08,0.25
612,60,0.09,0.31
613,60,0.1,0.326
614,60,0.11,0.354
615,60,0.12,0.405
616,60,0.13,0.463
617,60,0.14,0.481
618,60,0.15,0.531
619,60,0.16,0.587
620,60,0.17,0.545
621,60,0.18,0.524
622,60,0.19,0.515
623,60,0.2,0.51
624,60,0.21,0.498
625,60,0.22,0.462
626,60,0.23,0.425
627,60,0.24,0.414
628,60,0.25,0.431
629,60,0.26,0.416
630,60,0.27,0.368
631,60,0.28,0.383
632,60,0.29,0.378
633,60,0.3,0.387
634,60,0.31,0.38
635,60,0.32,0.358
636,60,0.33,0.351
637,60,0.34,0.338
638,60,0.35000000000000003,0.324
639,60,0.36,0.356
640,60,0.37,0.335
641,60,0.38,0.303
642,60,0.39,0.274
643,60,0.4,0.32
644,60,0.41000000000000003,0.328
645,60,0.42,0.337
646,60,0.43,0.304
647,60,0.44,0.299
648,60,0.45,0.331
649,60,0.46,0.293
650,60,0.47000000000000003,0.294
651,60,0.48,0.306
652,60,0.49,0.294
653,60,0.5,0.312
654,60,0.51,0.27
655,60,0.52,0.306
656,60,0.53,0.303
657,60,0.54,0.273
658,60,0.55,0.289
659,60,0.56,0.256
660,60,0.5700000000000001,0.265
661,60,0.58,0.285
662,60,0.59,0.287
663,60,0.6,0.29
664,60,0.61,0.304
665,60,0.62,0.272
666,60,0.63,0.282
667,60,0.64,0.29
668,60,0.65,0.279
669,60,0.66,0.306
670,60,0.67,0.311
671,60,0.68,0.281
672,60,0.6900000000000001,0.306
673,60,0.7000000000000001,0.297
674,60,0.71,0.285
675,60,0.72,0.29
676,60,0.73,0.295
677,60,0.74,0.316
678,60,0.75,0.299
679,60,0.76,0.329
680,60,0.77,0.357
681,60,0.78,0.305
682,60,0.79,0.331
683,60,0.8,0.365
684,60,0.81,0.351
685,60,0.8200000000000001,0.326
686,60,0.8300000000000001,0.348
687,60,0.84,0.353
688,60,0.85,0.371
689,60,0.86,0.366
690,60,0.87,0.37
691,60,0.88,0.385
692,60,0.89,0.382
693,60,0.9,0.362
694,60,0.91,0.406
695,60,0.92,0.384
696,60,0.93,0.389
697,60,0.9400000000000001,0.395
698,60,0.9500000000000001,0.405
699,60,0.96,0.429
700,60,0.97,0.434
701,60,0.98,0.389
702,60,0.99,0.414
703,60,1.0,0.388
704,60,1.01,0.398
705,60,1.02,0.425
706,60,1.03,0.393
707,60,1.04,0.384
708,60,1.05,0.418
709,60,1.06,0.409
710,60,1.07,0.406
711,60,1.08,0.393
712,60,1.09,0.371
713,60,1.1,0.377
714,60,1.11,0.39
715,60,1.12,0.357
716,60,1.1300000000000001,0.366
717,60,1.1400000000000001,0.403
718,60,1.1500000000000001,0.359
719,60,1.16,0.36
720,60,1.17,0.39
721,60,1.18,0.382
722,60,1.19,0.374
723,60,1.2,0.373
724,60,1.21,0.379
725,60,1.22,0.345
726,60,1.23,0.367
727,60,1.24,0.363
728,60,1.25,0.344
729,60,1.26,0.342
730,60,1.27,0.364
731,60,1.28,0.356
732,60,1.29,0.332
733,60,1.3,0.35
734,60,1.31,0.339
735,60,1.32,0.353
736,60,1.33,0.328
737,60,1.34,0.353
738,60,1.35,0.34
739,60,1.36,0.335
740,60,1.37,0.32
741,60,1.3800000000000001,0.346
742,60,1.3900000000000001,0.347
743,60,1.4000000000000001,0.335
744,60,1.41,0.319
745,60,1.42,0.349
746,60,1.43,0.332
747,60,1.44,0.346
748,60,1.45,0.329
749,60,1.46,0.324
750,60,1.47,0.312
751,60,1.48,0.346
752,60,1.49,0.305
753,60,1.5,0.336
754,60,1.51,0.325
755,60,1.52,0.332
756,60,1.53,0.33
757,60,1.54,0.302
758,60,1.55,0.324
759,60,1.56,0.314
760,60,1.57,0.305
761,60,1.58,0.312
762,60,1.59,0.314
763,60,1.6,0.292
764,60,1.61,0.342
765,60,1.62,0.319
766,60,1.6300000000000001,0.29
767,60,1.6400000000000001,0.326
768,60,1.6500000000000001,0.312
769,60,1.6600000000000001,0.302
770,60,1.67,0.295
771,60,1.68,0.324
772,60,1.69,0.295
773,60,1.7,0.32
774,60,1.71,0.302
775,60,1.72,0.354
776,60,1.73,0.293
777,60,1.74,0.287
778,60,1.75,0.322
779,60,1.76,0.3
780,60,1.77,0.306
781,60,1.78,0.304
782,60,1.79,0.303
783,60,1.8,0.276
784,60,1.81,0.319
785,60,1.82,0.298
786,60,1.83,0.298
787,60,1.84,0.305
788,60,1.85,0.318
789,60,1.86,0.285
790,60,1.87,0.288
791,60,1.8800000000000001,0.304
792,60,1.8900000000000001,0.318
793,60,1.9000000000000001,0.291
794,60,1.9100000000000001,0.286
795,60,1.92,0.3
796,60,1.93,0.32
797,60,1.94,0.323
798,60,1.95,0.307
799,60,1.96,0.317
800,60,1.97,0.308
801,60,1.98,0.286
802,60,1.99,0.319
803,60,2.0,0.322
