$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
-1.3,3.7,-2.5,2.5,0.717
0.8,5.8,-1.0,4.0,0.588
-2.7,2.3,-3.5,1.5,0.816
7.7,12.7,-3.3,1.7000000000000002,0.09
-2.0,3.0,-3.0,2.0,0.773
2.9,7.9,0.5,5.5,0.381
12.6,17.6,0.2,5.2,0.109
10.5,15.5,-1.3,3.7,0.109
1.5,6.5,-0.5,4.5,0.538
2.3,7.3,0.0,5.0,0.46
-0.5,4.5,-2.0,3.0,0.644
8.5,13.5,-2.8,2.2,0.099
9.9,14.9,-1.8,3.2,0.099
7.0,12.0,-3.8,1.2000000000000002,0.091
13.4,18.4,0.7,5.7,0.099
12.0,17.0,-0.3,4.7,0.099
11.3,16.3,-0.8,4.2,0.099
-3.3,1.7000000000000002,-4.0,1.0,0.8
-1.2,3.8,-2.5,2.5,0.73
0.9,5.9,-1.0,4.0,0.554
0.2,5.2,-1.5,3.5,0.611
9.2,14.2,-2.3,2.7,0.099
2.4,7.4,0.0,5.0,0.37
-2.6,2.4,-3.5,1.5,0.77
-1.9,3.1,-3.0,2.0,0.75
3.0,8.0,0.5,5.5,0.361
7.8,12.8,-3.3,1.7000000000000002,0.102
12.7,17.7,0.2,5.2,0.099
10.6,15.6,-1.3,3.7,0.099
1.6,6.6,-0.5,4.5,0.467
-1.1,3.9,-2.5,2.5,0.704
8.6,13.6,-2.8,2.2,0.096
-0.4,4.6,-2.0,3.0,0.648
10.0,15.0,-1.8,3.2,0.096
7.1,12.1,-3.8,1.2000000000000002,0.102
13.5,18.5,0.7,5.7,0.096
9.3,14.3,-2.3,2.7,0.096
0.3,5.3,-1.5,3.5,0.581
-3.2,1.7999999999999998,-4.0,1.0,0.804
12.1,17.1,-0.3,4.7,0.096
1.0,6.0,-1.0,4.0,0.534
2.5,7.5,0.0,5.0,0.403
11.4,16.4,-0.8,4.2,0.096
-1.8,3.2,-3.0,2.0,0.722
-2.5,2.5,-3.5,1.5,0.78
3.1,8.1,0.5,5.5,0.373
8.7,13.7,-2.8,2.2,0.118
12.8,17.8,0.2,5.2,0.096
1.7,6.7,-0.5,4.5,0.451
10.1,15.1,-1.8,3.2,0.118
7.9,12.9,-3.3,1.7000000000000002,0.096
10.7,15.7,-1.3,3.7,0.096
