,$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
34560,13.1,26.2,14.9,14.9,0.327
34561,13.1,26.2,15,15,0.288
34562,13.1,26.2,15.1,15.1,0.248
34563,13.1,26.2,15.2,15.2,0.265
34564,13.1,26.2,15.3,15.3,0.243
34565,13.1,26.2,15.4,15.4,0.191
34566,13.1,26.2,15.5,15.5,0.198
34567,13.1,26.2,15.6,15.6,0.182
34568,13.1,26.2,15.7,15.7,0.172
34569,13.1,26.2,15.8,15.8,0.164
34570,13.1,26.2,15.9,15.9,0.141
34571,13.1,26.2,16,16,0.152
34572,13.2,26.4,-4,-4,0.085
34573,13.2,26.4,-3.9,-3.9,0.094
34574,13.2,26.4,-3.8,-3.8,0.117
34575,13.2,26.4,-3.7,-3.7,0.092
34576,13.2,26.4,-3.6,-3.6,0.089
34577,13.2,26.4,-3.5,-3.5,0.101
34578,13.2,26.4,-3.4,-3.4,0.108
34579,13.2,26.4,-3.3,-3.3,0.092
34580,13.2,26.4,-3.2,-3.2,0.114
34581,13.2,26.4,-3.1,-3.1,0.09
34582,13.2,26.4,-3,-3,0.107
34583,13.2,26.4,-2.9,-2.9,0.121
34584,13.2,26.4,-2.8,-2.8,0.094
34585,13.2,26.4,-2.7,-2.7,0.088
34586,13.2,26.4,-2.6,-2.6,0.109
34587,13.2,26.4,-2.5,-2.5,0.095
34588,13.2,26.4,-2.4,-2.4,0.096
34589,13.2,26.4,-2.3,-2.3,0.104
34590,13.2,26.4,-2.2,-2.2,0.106
34591,13.2,26.4,-2.1,-2.1,0.111
34592,13.2,26.4,-2,-2,0.101
34593,13.2,26.4,-1.9,-1.9,0.097
34594,13.2,26.4,-1.8,-1.8,0.093
34595,13.2,26.4,-1.7,-1.7,0.105
34596,13.2,26.4,-1.6,-1.6,0.09
34597,13.2,26.4,-1.5,-1.5,0.094
34598,13.2,26.4,-1.4,-1.4,0.091
34599,13.2,26.4,-1.3,-1.3,0.095
34600,13.2,26.4,-1.2,-1.2,0.089
34601,13.2,26.4,-1.1,-1.1,0.088
34602,13.2,26.4,-1,-1,0.102
34603,13.2,26.4,-0.9,-0.9,0.087
34604,13.2,26.4,-0.8,-0.8,0.112
34605,13.2,26.4,-0.7,-0.7,0.094
34606,13.2,26.4,-0.6,-0.6,0.096
34607,13.2,26.4,-0.5,-0.5,0.099
