nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
5,1840,0.845,0.3083725960818916,0.03605000000000014,0.031000000000000076
5,1860,0.826,0.3074358105960984,0.03330000000000016,0.0262500000000001
5,1880,0.828,0.32859074424840046,0.03555000000000014,0.031000000000000145
5,1900,0.827,0.3002077482738639,0.03290000000000011,0.026650000000000066
5,1920,0.846,0.29025269632242745,0.034450000000000154,0.0276500000000001
5,1940,0.849,0.29947363463575244,0.032250000000000126,0.029200000000000097
5,1960,0.837,0.3009669953900064,0.03185000000000013,0.02845000000000011
5,1980,0.828,0.3225753729388933,0.03325000000000015,0.02935000000000011
10,500,0.498,0.8153537839169056,0.06993333333333379,0.050700000000000446
10,520,0.477,0.8161060999900052,0.06911111111111157,0.049044444444444876
10,540,0.494,0.8189647046211095,0.06755555555555603,0.04816666666666713
10,560,0.523,0.7872735573166687,0.06546666666666708,0.04780000000000035
10,580,0.491,0.7955171386931853,0.06346666666666712,0.04666666666666707
10,600,0.526,0.7878814932551459,0.061233333333333785,0.04483333333333374
10,620,0.505,0.787007994998253,0.06066666666666716,0.04451111111111152
10,640,0.526,0.7877923830576214,0.05937777777777828,0.0434888888888893
10,660,0.516,0.7835343633067415,0.058555555555556034,0.044044444444444886
10,680,0.51,0.7652496449112405,0.05672222222222264,0.043366666666667095
10,700,0.501,0.7876156218266903,0.05864444444444492,0.04323333333333379
10,720,0.541,0.7454324584128103,0.05580000000000048,0.04123333333333378
10,740,0.53,0.7709817294557519,0.054066666666667096,0.04118888888888932
10,760,0.536,0.7359544572592117,0.05396666666666712,0.03935555555555598
10,780,0.507,0.7784204087022671,0.0549888888888894,0.04271111111111152
10,800,0.54,0.7601387220481538,0.0537000000000004,0.04043333333333374
10,820,0.53,0.746860191009943,0.05487777777777829,0.04155555555555597
10,840,0.538,0.7639618057197928,0.052633333333333795,0.03934444444444486
10,860,0.559,0.7347079011457337,0.0498666666666671,0.038133333333333776
10,880,0.567,0.7367964400845362,0.05060000000000047,0.038566666666667054
10,900,0.563,0.7249457223459823,0.048022222222222785,0.03720000000000042
10,920,0.529,0.7538491605318465,0.05083333333333375,0.04072222222222265
10,940,0.544,0.7272445662577824,0.05005555555555599,0.03958888888888929
10,960,0.518,0.747572685400064,0.05005555555555608,0.04077777777777823
10,980,0.571,0.7372550309637244,0.04691111111111158,0.03681111111111152
10,1000,0.569,0.738251881302804,0.04635555555555599,0.03582222222222256
10,1020,0.541,0.7411242377133181,0.04853333333333383,0.038366666666667035
10,1040,0.566,0.7288000200119448,0.046800000000000445,0.03678888888888932
10,1060,0.575,0.715577475244765,0.04600000000000046,0.0366555555555559
10,1080,0.555,0.7256618920532392,0.045111111111111504,0.03691111111111152
