nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
5,1080,0.909,0.06250508774162598,0.04779999999999985,0.014699999999999968
5,1100,0.899,0.08301187219710351,0.047599999999999865,0.014999999999999968
5,1120,0.902,0.0717862011740701,0.04874999999999986,0.01409999999999997
5,1140,0.899,0.07655731221624779,0.04669999999999991,0.01329999999999997
5,1160,0.914,0.07593267732371166,0.04385000000000004,0.012099999999999975
5,1180,0.906,0.07426340932771054,0.04489999999999993,0.012499999999999973
5,1200,0.902,0.0693226090964984,0.04714999999999991,0.015399999999999964
5,1220,0.909,0.07034212784204594,0.04424999999999996,0.014099999999999972
5,1240,0.905,0.06943013656800905,0.04509999999999994,0.013099999999999975
5,1260,0.926,0.07213276589251173,0.04125000000000004,0.01419999999999997
5,1280,0.916,0.06329032978898323,0.04414999999999991,0.014899999999999969
5,1300,0.915,0.07434983993980585,0.0434499999999999,0.013699999999999971
5,1320,0.931,0.07080752537134902,0.038500000000000076,0.012799999999999973
5,1340,0.923,0.0737234859842163,0.03984999999999997,0.014599999999999967
5,1360,0.918,0.07292600699396305,0.04154999999999994,0.012099999999999975
5,1380,0.917,0.07920254109273192,0.04144999999999997,0.013599999999999973
5,1400,0.925,0.062180710435332624,0.03730000000000007,0.012099999999999975
5,1420,0.93,0.06371160455704905,0.040899999999999964,0.014299999999999967
5,1440,0.94,0.05639995533086059,0.03820000000000005,0.012199999999999975
5,1460,0.93,0.05591875274000778,0.03620000000000008,0.013099999999999971
5,1480,0.935,0.05956260223919457,0.035450000000000106,0.012299999999999976
5,1500,0.938,0.053287738644811504,0.03830000000000008,0.011999999999999976
5,1520,0.924,0.06404603631533291,0.03815000000000001,0.014299999999999969
5,1540,0.915,0.07127588989902306,0.03675000000000008,0.011799999999999975
5,1560,0.918,0.06748380723240398,0.03965,0.013099999999999973
5,1580,0.947,0.053621786295374764,0.03405000000000014,0.01069999999999998
5,1600,0.944,0.057962139826523325,0.03645000000000007,0.013099999999999973
5,1620,0.937,0.05688149718320618,0.034350000000000144,0.010299999999999981
5,1640,0.931,0.05500676180785804,0.03745000000000005,0.012399999999999975
5,1660,0.928,0.07079403497952215,0.03405000000000013,0.011599999999999977
5,1680,0.925,0.06530828157894052,0.038600000000000065,0.014599999999999965
5,1700,0.939,0.06163596492112046,0.035050000000000095,0.012799999999999975
5,1720,0.942,0.05129484387079615,0.034600000000000096,0.012099999999999977
5,1740,0.93,0.0656240317345015,0.035950000000000086,0.015399999999999962
5,1760,0.937,0.06196325760647882,0.03460000000000008,0.01139999999999998
5,1780,0.934,0.062078764254464874,0.0332500000000001,0.012299999999999976
5,1800,0.935,0.06514474036084414,0.03300000000000018,0.011799999999999975
5,1820,0.917,0.06799662140618784,0.03540000000000008,0.012599999999999972
5,1840,0.933,0.0651471379494125,0.03265000000000013,0.010599999999999981
5,1860,0.937,0.0628470613441949,0.03185000000000018,0.010899999999999981
5,1880,0.942,0.06155815534086291,0.032550000000000176,0.01089999999999998
5,1900,0.962,0.04367291568884439,0.030700000000000158,0.011099999999999978
5,1920,0.944,0.05483879557883711,0.03090000000000018,0.009099999999999983
5,1940,0.939,0.06538629881190032,0.031150000000000136,0.011399999999999978
5,1960,0.93,0.06868389684932451,0.03365000000000015,0.013399999999999973
5,1980,0.944,0.05809543467733744,0.029700000000000167,0.01069999999999998
10,500,0.689,0.20633167874949476,0.08582222222222269,0.024222222222222152
10,520,0.711,0.195959377464843,0.08337777777777834,0.022222222222222157
10,540,0.711,0.2081012612326823,0.08151111111111162,0.020911111111111047
10,560,0.708,0.20721243787833812,0.07747777777777812,0.02083333333333327
10,580,0.714,0.20365645103519653,0.07727777777777836,0.02051111111111105
10,600,0.766,0.19013594789246505,0.07590000000000044,0.022388888888888823
10,620,0.725,0.19488372389896363,0.07302222222222277,0.01982222222222216
10,640,0.788,0.17596447969793239,0.0710111111111117,0.0197555555555555
10,660,0.75,0.1980608175774779,0.07027777777777831,0.019099999999999943
10,680,0.746,0.19173748756754325,0.07035555555555593,0.01939999999999994
10,700,0.772,0.17552990756563056,0.06640000000000046,0.019266666666666613
10,720,0.76,0.1783217392323641,0.06580000000000043,0.018344444444444392
10,740,0.77,0.1775285963483496,0.06231111111111156,0.017466666666666616
10,760,0.796,0.17448884459517902,0.06340000000000044,0.01793333333333328
10,780,0.786,0.1900659354043725,0.06212222222222259,0.018222222222222167
10,800,0.805,0.1695018392882329,0.06122222222222269,0.016533333333333285
10,820,0.804,0.16121638926485057,0.05790000000000045,0.017611111111111057
10,840,0.832,0.16973552443493933,0.06156666666666711,0.01773333333333328
10,860,0.799,0.16663407725341398,0.05665555555555597,0.016933333333333283
10,880,0.818,0.17231975094378416,0.05663333333333377,0.01684444444444439
10,900,0.841,0.16001520908638264,0.05470000000000043,0.016177777777777732
10,920,0.832,0.16464284705940266,0.051233333333333825,0.015477777777777731
10,940,0.815,0.169661402933136,0.05300000000000049,0.01455555555555551
10,960,0.809,0.16144540163503146,0.052088888888889406,0.01566666666666662
10,980,0.83,0.15397001321008313,0.050977777777778184,0.014755555555555511
10,1000,0.827,0.1667578067774574,0.05136666666666704,0.015122222222222178
10,1020,0.825,0.1467564920656516,0.051666666666667055,0.015711111111111065
10,1040,0.835,0.16511070237782646,0.04998888888888929,0.015511111111111062
10,1060,0.833,0.15288957954315044,0.04931111111111159,0.01452222222222218
10,1080,0.86,0.15327224677556403,0.04791111111111167,0.014288888888888848
10,1100,0.844,0.1594721100826823,0.04938888888888933,0.015866666666666616
10,1120,0.852,0.1534187975045017,0.04641111111111157,0.014166666666666628
10,1140,0.866,0.13902974043806496,0.04607777777777822,0.014511111111111068
10,1160,0.858,0.15207319306655245,0.04575555555555598,0.01371111111111107
10,1180,0.836,0.14886467645456095,0.04534444444444481,0.014866666666666622
10,1200,0.865,0.15319133035468052,0.044722222222222684,0.014244444444444403
10,1220,0.862,0.14861321459169488,0.043666666666667076,0.014577777777777735
10,1240,0.852,0.16518268256379826,0.04210000000000042,0.013977777777777737
10,1260,0.851,0.13345470066228143,0.04460000000000049,0.013955555555555513
10,1280,0.857,0.15949197979558263,0.042211111111111546,0.013511111111111071
10,1300,0.882,0.13910365515388123,0.04184444444444482,0.013888888888888845
10,1320,0.863,0.13428138662181194,0.0422333333333338,0.013966666666666626
10,1340,0.876,0.14450758338053146,0.04106666666666712,0.013177777777777738
10,1360,0.85,0.1454747960474035,0.043422222222222695,0.014777777777777733
10,1380,0.883,0.140579194057605,0.039177777777778186,0.013266666666666628
10,1400,0.866,0.1480803019413544,0.03992222222222263,0.013666666666666626
10,1420,0.879,0.13172602074962886,0.039322222222222654,0.013688888888888848
