mux1,mux2,muh1,muh2,success_rate
-0.6,-0.6,-2.0,-4.0,0.475
7.7,7.7,-3.3,-6.6,0.087
11.9,11.9,-0.3,-0.6,0.087
10.5,10.5,-1.3,-2.6,0.087
13.3,13.3,0.7,1.4,0.087
0.1,0.1,-1.5,-3.0,0.403
8.4,8.4,-2.8,-5.6,0.087
0.8,0.8,-1.0,-2.0,0.344
9.8,9.8,-1.8,-3.6,0.087
2.3,2.3,0.0,0.0,0.252
1.6,1.6,-0.5,-1.0,0.293
-1.9,-1.9,-3.0,-6.0,0.583
-1.2,-1.2,-2.5,-5.0,0.506
12.7,12.7,0.2,0.4,0.105
-2.6,-2.6,-3.5,-7.0,0.638
9.2,9.2,-2.3,-4.6,0.105
11.3,11.3,-0.8,-1.6,0.105
-3.3,-3.3,-4.0,-8.0,0.693
3.0,3.0,0.5,1.0,0.284
-0.5,-0.5,-2.0,-4.0,0.426
7.1,7.1,-3.8,-7.6,0.105
7.8,7.8,-3.3,-6.6,0.105
10.6,10.6,-1.3,-2.6,0.105
12.0,12.0,-0.3,-0.6,0.105
13.4,13.4,0.7,1.4,0.105
0.2,0.2,-1.5,-3.0,0.375
0.9,0.9,-1.0,-2.0,0.299
8.5,8.5,-2.8,-5.6,0.105
9.9,9.9,-1.8,-3.6,0.105
2.4,2.4,0.0,0.0,0.244
-1.8,-1.8,-3.0,-6.0,0.549
1.7,1.7,-0.5,-1.0,0.25
-1.1,-1.1,-2.5,-5.0,0.482
12.8,12.8,0.2,0.4,0.094
-2.5,-2.5,-3.5,-7.0,0.601
9.3,9.3,-2.3,-4.6,0.094
11.4,11.4,-0.8,-1.6,0.094
3.1,3.1,0.5,1.0,0.294
-3.2,-3.2,-4.0,-8.0,0.678
-0.4,-0.4,-2.0,-4.0,0.399
7.9,7.9,-3.3,-6.6,0.094
10.7,10.7,-1.3,-2.6,0.094
7.2,7.2,-3.8,-7.6,0.094
0.3,0.3,-1.5,-3.0,0.339
1.0,1.0,-1.0,-2.0,0.272
12.1,12.1,-0.3,-0.6,0.094
13.5,13.5,0.7,1.4,0.094
8.6,8.6,-2.8,-5.6,0.094
10.0,10.0,-1.8,-3.6,0.094
2.5,2.5,0.0,0.0,0.231
-1.7,-1.7,-3.0,-6.0,0.502
1.8,1.8,-0.5,-1.0,0.232
-2.4,-2.4,-3.5,-7.0,0.57
12.9,12.9,0.2,0.4,0.118
-1.0,-1.0,-2.5,-5.0,0.42
9.4,9.4,-2.3,-4.6,0.118
3.2,3.2,0.5,1.0,0.27
-3.1,-3.1,-4.0,-8.0,0.645
8.0,8.0,-3.3,-6.6,0.118
10.8,10.8,-1.3,-2.6,0.118
11.5,11.5,-0.8,-1.6,0.118
0.4,0.4,-1.5,-3.0,0.291
-0.3,-0.3,-2.0,-4.0,0.341
7.3,7.3,-3.8,-7.6,0.118
1.1,1.1,-1.0,-2.0,0.245
13.6,13.6,0.7,1.4,0.118
12.2,12.2,-0.3,-0.6,0.118
8.7,8.7,-2.8,-5.6,0.118
10.1,10.1,-1.8,-3.6,0.118
2.6,2.6,0.0,0.0,0.201
-1.6,-1.6,-3.0,-6.0,0.483
13.0,13.0,0.2,0.4,0.099
1.9,1.9,-0.5,-1.0,0.209
-2.3,-2.3,-3.5,-7.0,0.528
9.5,9.5,-2.3,-4.6,0.099
-0.9,-0.9,-2.5,-5.0,0.382
3.3,3.3,0.5,1.0,0.215
-3.0,-3.0,-4.0,-8.0,0.569
8.1,8.1,-3.3,-6.6,0.099
7.4,7.4,-3.8,-7.6,0.099
-0.2,-0.2,-2.0,-4.0,0.353
10.9,10.9,-1.3,-2.6,0.099
11.6,11.6,-0.8,-1.6,0.099
1.2,1.2,-1.0,-2.0,0.232
0.5,0.5,-1.5,-3.0,0.269
12.3,12.3,-0.3,-0.6,0.099
13.7,13.7,0.7,1.4,0.099
8.8,8.8,-2.8,-5.6,0.099
2.7,2.7,0.0,0.0,0.209
10.2,10.2,-1.8,-3.6,0.099
13.1,13.1,0.2,0.4,0.099
2.0,2.0,-0.5,-1.0,0.211
-1.5,-1.5,-3.0,-6.0,0.418
9.6,9.6,-2.3,-4.6,0.099
-2.2,-2.2,-3.5,-7.0,0.516
-2.9,-2.9,-4.0,-8.0,0.557
-0.8,-0.8,-2.5,-5.0,0.368
3.4,3.4,0.5,1.0,0.236
8.2,8.2,-3.3,-6.6,0.099
7.5,7.5,-3.8,-7.6,0.099
-0.1,-0.1,-2.0,-4.0,0.301
11.7,11.7,-0.8,-1.6,0.099
0.6,0.6,-1.5,-3.0,0.243
11.0,11.0,-1.3,-2.6,0.099
1.3,1.3,-1.0,-2.0,0.228
12.4,12.4,-0.3,-0.6,0.099
13.8,13.8,0.7,1.4,0.099
8.9,8.9,-2.8,-5.6,0.099
2.8,2.8,0.0,0.0,0.192
10.3,10.3,-1.8,-3.6,0.099
13.2,13.2,0.2,0.4,0.097
2.1,2.1,-0.5,-1.0,0.181
-1.4,-1.4,-3.0,-6.0,0.388
-2.1,-2.1,-3.5,-7.0,0.472
-0.7,-0.7,-2.5,-5.0,0.335
-2.8,-2.8,-4.0,-8.0,0.561
9.7,9.7,-2.3,-4.6,0.097
3.5,3.5,0.5,1.0,0.201
0.0,0.0,-2.0,-4.0,0.276
7.6,7.6,-3.8,-7.6,0.097
0.7,0.7,-1.5,-3.0,0.2
11.1,11.1,-1.3,-2.6,0.097
8.3,8.3,-3.3,-6.6,0.097
11.8,11.8,-0.8,-1.6,0.097
13.9,13.9,0.7,1.4,0.097
1.4,1.4,-1.0,-2.0,0.228
12.5,12.5,-0.3,-0.6,0.097
9.0,9.0,-2.8,-5.6,0.097
2.9,2.9,0.0,0.0,0.183
10.4,10.4,-1.8,-3.6,0.097
13.3,13.3,0.2,0.4,0.092
-1.3,-1.3,-3.0,-6.0,0.352
-2.0,-2.0,-3.5,-7.0,0.451
2.2,2.2,-0.5,-1.0,0.183
-0.6,-0.6,-2.5,-5.0,0.28
9.8,9.8,-2.3,-4.6,0.092
-2.7,-2.7,-4.0,-8.0,0.537
3.6,3.6,0.5,1.0,0.167
0.1,0.1,-2.0,-4.0,0.267
7.7,7.7,-3.8,-7.6,0.092
0.8,0.8,-1.5,-3.0,0.193
11.2,11.2,-1.3,-2.6,0.092
8.4,8.4,-3.3,-6.6,0.092
11.9,11.9,-0.8,-1.6,0.092
12.6,12.6,-0.3,-0.6,0.092
1.5,1.5,-1.0,-2.0,0.168
14.0,14.0,0.7,1.4,0.092
9.1,9.1,-2.8,-5.6,0.092
3.0,3.0,0.0,0.0,0.14
10.5,10.5,-1.8,-3.6,0.092
-1.9,-1.9,-3.5,-7.0,0.405
13.4,13.4,0.2,0.4,0.11
-1.2,-1.2,-3.0,-6.0,0.319
-2.6,-2.6,-4.0,-8.0,0.437
9.9,9.9,-2.3,-4.6,0.11
-0.5,-0.5,-2.5,-5.0,0.264
2.3,2.3,-0.5,-1.0,0.141
3.7,3.7,0.5,1.0,0.171
0.2,0.2,-2.0,-4.0,0.235
0.9,0.9,-1.5,-3.0,0.184
7.8,7.8,-3.8,-7.6,0.11
8.5,8.5,-3.3,-6.6,0.11
11.3,11.3,-1.3,-2.6,0.11
12.0,12.0,-0.8,-1.6,0.11
1.6,1.6,-1.0,-2.0,0.18
12.7,12.7,-0.3,-0.6,0.11
