$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
2.6,2.0,-0.5,2.0,0.786
11.7,2.0,-1.3,2.0,0.195
14.3,2.0,0.7,2.0,0.215
-0.2,2.0,-2.5,2.0,0.889
12.3,2.0,-0.8,2.0,0.179
9.5,2.0,-2.8,2.0,0.175
1.2,2.0,-1.5,2.0,0.841
8.0,2.0,-3.8,2.0,0.206
0.4,2.0,-2.0,2.0,0.864
10.3,2.0,-2.3,2.0,0.195
-2.2,2.0,-4.0,2.0,0.866
-0.9,2.0,-3.0,2.0,0.88
13.7,2.0,0.2,2.0,0.175
10.9,2.0,-1.8,2.0,0.179
-1.6,2.0,-3.5,2.0,0.864
4.0,2.0,0.5,2.0,0.505
13.0,2.0,-0.3,2.0,0.179
8.9,2.0,-3.3,2.0,0.199
11.8,2.0,-1.3,2.0,0.197
12.4,2.0,-0.8,2.0,0.195
3.6,2.0,0.0,2.0,0.61
2.7,2.0,-0.5,2.0,0.764
9.6,2.0,-2.8,2.0,0.199
14.4,2.0,0.7,2.0,0.19
8.1,2.0,-3.8,2.0,0.2
1.9,2.0,-1.0,2.0,0.809
0.5,2.0,-2.0,2.0,0.86
-2.1,2.0,-4.0,2.0,0.854
10.4,2.0,-2.3,2.0,0.197
13.8,2.0,0.2,2.0,0.199
-0.1,2.0,-2.5,2.0,0.875
4.1,2.0,0.5,2.0,0.474
11.0,2.0,-1.8,2.0,0.195
1.3,2.0,-1.5,2.0,0.839
13.1,2.0,-0.3,2.0,0.195
-0.8,2.0,-3.0,2.0,0.878
-1.5,2.0,-3.5,2.0,0.87
3.7,2.0,0.0,2.0,0.564
11.9,2.0,-1.3,2.0,0.179
8.2,2.0,-3.8,2.0,0.192
12.5,2.0,-0.8,2.0,0.197
9.0,2.0,-3.3,2.0,0.198
14.5,2.0,0.7,2.0,0.193
2.0,2.0,-1.0,2.0,0.81
9.7,2.0,-2.8,2.0,0.197
2.8,2.0,-0.5,2.0,0.755
0.6,2.0,-2.0,2.0,0.851
4.2,2.0,0.5,2.0,0.469
-2.0,2.0,-4.0,2.0,0.869
13.9,2.0,0.2,2.0,0.197
10.5,2.0,-2.3,2.0,0.179
13.2,2.0,-0.3,2.0,0.197
-0.7,2.0,-3.0,2.0,0.875
0.0,2.0,-2.5,2.0,0.865
1.4,2.0,-1.5,2.0,0.843
11.1,2.0,-1.8,2.0,0.197
3.8,2.0,0.0,2.0,0.57
12.0,2.0,-1.3,2.0,0.189
8.3,2.0,-3.8,2.0,0.172
12.6,2.0,-0.8,2.0,0.179
-1.4,2.0,-3.5,2.0,0.878
2.1,2.0,-1.0,2.0,0.787
9.1,2.0,-3.3,2.0,0.178
14.6,2.0,0.7,2.0,0.206
9.8,2.0,-2.8,2.0,0.179
4.3,2.0,0.5,2.0,0.422
2.9,2.0,-0.5,2.0,0.749
-1.9,2.0,-4.0,2.0,0.866
-0.6,2.0,-3.0,2.0,0.856
13.3,2.0,-0.3,2.0,0.179
10.6,2.0,-2.3,2.0,0.189
0.7,2.0,-2.0,2.0,0.853
14.0,2.0,0.2,2.0,0.179
0.1,2.0,-2.5,2.0,0.855
12.1,2.0,-1.3,2.0,0.185
8.4,2.0,-3.8,2.0,0.179
3.9,2.0,0.0,2.0,0.512
1.5,2.0,-1.5,2.0,0.827
11.2,2.0,-1.8,2.0,0.179
9.2,2.0,-3.3,2.0,0.189
12.7,2.0,-0.8,2.0,0.189
-1.3,2.0,-3.5,2.0,0.86
14.7,2.0,0.7,2.0,0.195
9.9,2.0,-2.8,2.0,0.189
4.4,2.0,0.5,2.0,0.41
-1.8,2.0,-4.0,2.0,0.879
2.2,2.0,-1.0,2.0,0.779
14.1,2.0,0.2,2.0,0.19
3.0,2.0,-0.5,2.0,0.721
10.7,2.0,-2.3,2.0,0.185
0.8,2.0,-2.0,2.0,0.86
-0.5,2.0,-3.0,2.0,0.876
13.4,2.0,-0.3,2.0,0.189
9.3,2.0,-3.3,2.0,0.185
0.2,2.0,-2.5,2.0,0.859
8.5,2.0,-3.8,2.0,0.19
12.2,2.0,-1.3,2.0,0.211
4.0,2.0,0.0,2.0,0.52
11.3,2.0,-1.8,2.0,0.189
10.0,2.0,-2.8,2.0,0.185
4.5,2.0,0.5,2.0,0.381
1.6,2.0,-1.5,2.0,0.817
12.8,2.0,-0.8,2.0,0.185
3.1,2.0,-0.5,2.0,0.716
-1.2,2.0,-3.5,2.0,0.859
14.8,2.0,0.7,2.0,0.224
14.2,2.0,0.2,2.0,0.184
9.4,2.0,-3.3,2.0,0.211
-1.7,2.0,-4.0,2.0,0.866
2.3,2.0,-1.0,2.0,0.786
-0.4,2.0,-3.0,2.0,0.859
10.8,2.0,-2.3,2.0,0.211
12.3,2.0,-1.3,2.0,0.209
10.1,2.0,-2.8,2.0,0.211
0.9,2.0,-2.0,2.0,0.84
8.6,2.0,-3.8,2.0,0.184
13.5,2.0,-0.3,2.0,0.185
0.3,2.0,-2.5,2.0,0.848
11.4,2.0,-1.8,2.0,0.185
3.2,2.0,-0.5,2.0,0.695
4.1,2.0,0.0,2.0,0.477
1.7,2.0,-1.5,2.0,0.828
12.9,2.0,-0.8,2.0,0.211
4.6,2.0,0.5,2.0,0.343
14.3,2.0,0.2,2.0,0.211
14.9,2.0,0.7,2.0,0.202
-1.1,2.0,-3.5,2.0,0.857
9.5,2.0,-3.3,2.0,0.209
10.9,2.0,-2.3,2.0,0.209
-0.3,2.0,-3.0,2.0,0.88
-1.6,2.0,-4.0,2.0,0.852
10.2,2.0,-2.8,2.0,0.209
13.6,2.0,-0.3,2.0,0.211
2.4,2.0,-1.0,2.0,0.784
12.4,2.0,-1.3,2.0,0.222
1.8,2.0,-1.5,2.0,0.806
1.0,2.0,-2.0,2.0,0.852
0.4,2.0,-2.5,2.0,0.863
8.7,2.0,-3.8,2.0,0.213
3.3,2.0,-0.5,2.0,0.696
15.0,2.0,0.7,2.0,0.2
11.5,2.0,-1.8,2.0,0.211
