$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
-3.7,-1.7000000000000002,-4.0,-4.0,0.47
9.5,11.5,-1.8,-1.8,0.1
7.4,9.4,-3.3,-3.3,0.1
10.2,12.2,-1.3,-1.3,0.1
11.6,13.6,-0.3,-0.3,0.1
12.3,14.3,0.2,0.2,0.1
1.2,3.2,-0.5,-0.5,0.178
1.9,3.9,0.0,0.0,0.185
6.7,8.7,-3.8,-3.8,0.1
0.5,2.5,-1.0,-1.0,0.222
13.0,15.0,0.7,0.7,0.1
2.6,4.6,0.5,0.5,0.188
-1.6,0.3999999999999999,-2.5,-2.5,0.32
11.0,13.0,-0.8,-0.8,0.089
8.2,10.2,-2.8,-2.8,0.089
-0.8,1.2,-2.0,-2.0,0.236
-2.2,-0.20000000000000018,-3.0,-3.0,0.355
10.3,12.3,-1.3,-1.3,0.089
7.5,9.5,-3.3,-3.3,0.089
-0.1,1.9,-1.5,-1.5,0.23
8.9,10.9,-2.3,-2.3,0.089
-2.9,-0.8999999999999999,-3.5,-3.5,0.38
11.7,13.7,-0.3,-0.3,0.089
9.6,11.6,-1.8,-1.8,0.089
-3.6,-1.6,-4.0,-4.0,0.438
2.0,4.0,0.0,0.0,0.173
1.3,3.3,-0.5,-0.5,0.195
11.1,13.1,-0.8,-0.8,0.105
12.4,14.4,0.2,0.2,0.089
6.8,8.8,-3.8,-3.8,0.089
-1.5,0.5,-2.5,-2.5,0.306
13.1,15.1,0.7,0.7,0.089
0.6,2.6,-1.0,-1.0,0.203
2.7,4.7,0.5,0.5,0.156
-0.7,1.3,-2.0,-2.0,0.234
-2.1,-0.10000000000000009,-3.0,-3.0,0.327
10.4,12.4,-1.3,-1.3,0.105
-3.5,-1.5,-4.0,-4.0,0.42
8.3,10.3,-2.8,-2.8,0.105
0.0,2.0,-1.5,-1.5,0.234
1.4,3.4,-0.5,-0.5,0.166
11.8,13.8,-0.3,-0.3,0.105
9.7,11.7,-1.8,-1.8,0.105
7.6,9.6,-3.3,-3.3,0.105
11.2,13.2,-0.8,-0.8,0.102
9.0,11.0,-2.3,-2.3,0.105
-2.8,-0.7999999999999998,-3.5,-3.5,0.364
