mux1,mux2,muh1,muh2,success_rate
-1.6,-3.2,-2.5,-2.5,0.846
-2.3,-4.6,-3.0,-3.0,0.873
10.2,20.4,-1.3,-1.3,0.114
1.9,3.8,0.0,0.0,0.164
-3.0,-6.0,-3.5,-3.5,0.882
-3.7,-7.4,-4.0,-4.0,0.899
2.6,5.2,0.5,0.5,0.132
6.7,13.4,-3.8,-3.8,0.114
-0.2,-0.4,-1.5,-1.5,0.615
8.8,17.6,-2.3,-2.3,0.114
10.9,21.8,-0.8,-0.8,0.114
0.5,1.0,-1.0,-1.0,0.428
12.3,24.6,0.2,0.2,0.114
9.5,19.0,-1.8,-1.8,0.114
1.2,2.4,-0.5,-0.5,0.26
8.1,16.2,-2.8,-2.8,0.114
-0.9,-1.8,-2.0,-2.0,0.785
13.0,26.0,0.7,0.7,0.114
7.4,14.8,-3.3,-3.3,0.114
11.6,23.2,-0.3,-0.3,0.114
-1.5,-3.0,-2.5,-2.5,0.821
-2.2,-4.4,-3.0,-3.0,0.867
10.3,20.6,-1.3,-1.3,0.099
2.0,4.0,0.0,0.0,0.181
-2.9,-5.8,-3.5,-3.5,0.884
-3.6,-7.2,-4.0,-4.0,0.9
2.7,5.4,0.5,0.5,0.128
-0.1,-0.2,-1.5,-1.5,0.591
6.8,13.6,-3.8,-3.8,0.099
8.9,17.8,-2.3,-2.3,0.099
11.0,22.0,-0.8,-0.8,0.099
12.4,24.8,0.2,0.2,0.099
-0.8,-1.6,-2.0,-2.0,0.754
9.6,19.2,-1.8,-1.8,0.099
0.6,1.2,-1.0,-1.0,0.381
1.3,2.6,-0.5,-0.5,0.227
8.2,16.4,-2.8,-2.8,0.099
7.5,15.0,-3.3,-3.3,0.099
13.1,26.2,0.7,0.7,0.099
11.7,23.4,-0.3,-0.3,0.099
-1.4,-2.8,-2.5,-2.5,0.809
10.4,20.8,-1.3,-1.3,0.099
-2.1,-4.2,-3.0,-3.0,0.843
2.1,4.2,0.0,0.0,0.164
-3.5,-7.0,-4.0,-4.0,0.884
-2.8,-5.6,-3.5,-3.5,0.857
2.8,5.6,0.5,0.5,0.156
6.9,13.8,-3.8,-3.8,0.099
0.0,0.0,-1.5,-1.5,0.542
7.6,15.2,-3.3,-3.3,0.099
9.0,18.0,-2.3,-2.3,0.099
1.4,2.8,-0.5,-0.5,0.215
11.1,22.2,-0.8,-0.8,0.099
0.7,1.4,-1.0,-1.0,0.308
9.7,19.4,-1.8,-1.8,0.099
12.5,25.0,0.2,0.2,0.099
8.3,16.6,-2.8,-2.8,0.099
11.8,23.6,-0.3,-0.3,0.099
-0.7,-1.4,-2.0,-2.0,0.708
13.2,26.4,0.7,0.7,0.099
-2.0,-4.0,-3.0,-3.0,0.826
10.5,21.0,-1.3,-1.3,0.096
-1.3,-2.6,-2.5,-2.5,0.789
2.2,4.4,0.0,0.0,0.164
-3.4,-6.8,-4.0,-4.0,0.864
-2.7,-5.4,-3.5,-3.5,0.856
2.9,5.8,0.5,0.5,0.14
0.8,1.6,-1.0,-1.0,0.299
7.7,15.4,-3.3,-3.3,0.096
1.5,3.0,-0.5,-0.5,0.174
7.0,14.0,-3.8,-3.8,0.096
0.1,0.2,-1.5,-1.5,0.482
9.1,18.2,-2.3,-2.3,0.096
-0.6,-1.2,-2.0,-2.0,0.68
8.4,16.8,-2.8,-2.8,0.096
11.9,23.8,-0.3,-0.3,0.096
11.2,22.4,-0.8,-0.8,0.096
9.8,19.6,-1.8,-1.8,0.096
13.3,26.6,0.7,0.7,0.096
12.6,25.2,0.2,0.2,0.096
-1.2,-2.4,-2.5,-2.5,0.745
10.6,21.2,-1.3,-1.3,0.098
-1.9,-3.8,-3.0,-3.0,0.831
