sigx,sigh,success_rate
2.04,0.64,0.797
2.72,0.0,0.407
0.28,0.28,0.643
1.72,0.2,0.613
3.52,0.32,0.517
0.6,0.4,0.779
3.76,0.76,0.732
3.68,0.44,0.569
0.28,0.72,0.683
1.96,0.96,0.788
0.92,0.08,0.688
3.64,0.56,0.639
1.28,0.52,0.798
0.08,0.16,0.498
2.76,0.0,0.38
0.96,0.84,0.755
3.32,0.88,0.761
3.56,0.32,0.517
2.08,0.64,0.751
3.72,0.44,0.563
0.32,0.28,0.703
2.0,0.96,0.773
1.76,0.2,0.597
0.64,0.4,0.788
3.8,0.76,0.714
2.8,0.0,0.392
0.32,0.72,0.693
0.96,0.08,0.681
3.68,0.56,0.634
3.6,0.32,0.509
1.32,0.52,0.826
0.12,0.16,0.4
3.76,0.44,0.558
1.0,0.84,0.772
3.36,0.88,0.739
2.04,0.96,0.766
2.12,0.64,0.773
2.84,0.0,0.386
0.36,0.28,0.696
1.8,0.2,0.593
3.64,0.32,0.487
0.68,0.4,0.78
3.84,0.76,0.715
3.8,0.44,0.57
0.36,0.72,0.704
2.08,0.96,0.779
1.0,0.08,0.663
3.72,0.56,0.629
1.36,0.52,0.794
0.16,0.16,0.408
1.04,0.84,0.781
2.88,0.0,0.402
3.4,0.88,0.725
3.68,0.32,0.501
2.16,0.64,0.79
3.84,0.44,0.55
0.4,0.28,0.738
2.12,0.96,0.787
1.84,0.2,0.619
0.72,0.4,0.803
3.88,0.76,0.677
2.92,0.0,0.399
0.4,0.72,0.715
1.04,0.08,0.654
3.76,0.56,0.624
3.72,0.32,0.519
1.4,0.52,0.785
0.2,0.16,0.443
3.88,0.44,0.499
1.08,0.84,0.758
3.44,0.88,0.731
2.16,0.96,0.778
2.2,0.64,0.785
2.96,0.0,0.377
0.44,0.28,0.777
1.88,0.2,0.576
3.76,0.32,0.498
0.76,0.4,0.81
3.92,0.76,0.71
3.92,0.44,0.551
0.44,0.72,0.736
1.08,0.08,0.639
3.8,0.56,0.593
1.44,0.52,0.783
0.24,0.16,0.416
2.24,0.64,0.766
2.2,0.96,0.769
1.12,0.84,0.769
3.48,0.88,0.74
3.0,0.0,0.381
3.8,0.32,0.519
3.96,0.44,0.524
0.48,0.28,0.789
1.92,0.2,0.601
0.8,0.4,0.813
3.96,0.76,0.673
2.28,0.64,0.74
0.48,0.72,0.744
3.04,0.0,0.351
1.12,0.08,0.641
3.84,0.56,0.613
3.84,0.32,0.494
1.48,0.52,0.797
0.28,0.16,0.515
4.0,0.44,0.564
2.24,0.96,0.76
1.16,0.84,0.773
3.52,0.88,0.743
4.0,0.76,0.71
0.52,0.28,0.783
3.08,0.0,0.375
1.96,0.2,0.559
2.32,0.64,0.77
3.88,0.32,0.48
0.84,0.4,0.803
0.0,0.48,0.102
0.52,0.72,0.763
1.16,0.08,0.606
3.88,0.56,0.617
1.52,0.52,0.785
0.32,0.16,0.58
2.28,0.96,0.792
1.2,0.84,0.759
0.0,0.8,0.114
3.56,0.88,0.74
3.12,0.0,0.366
3.92,0.32,0.476
0.04,0.48,0.492
0.56,0.28,0.789
2.0,0.2,0.569
2.36,0.64,0.744
0.88,0.4,0.806
0.04,0.8,0.472
0.56,0.72,0.758
1.2,0.08,0.583
3.16,0.0,0.37
3.92,0.56,0.611
3.96,0.32,0.464
1.56,0.52,0.8
0.36,0.16,0.643
0.08,0.48,0.583
2.32,0.96,0.778
1.24,0.84,0.79
3.6,0.88,0.75
0.6,0.28,0.81
0.08,0.8,0.552
3.2,0.0,0.394
2.04,0.2,0.573
2.4,0.64,0.746
0.92,0.4,0.804
4.0,0.32,0.466
0.12,0.48,0.661
0.6,0.72,0.743
1.24,0.08,0.592
3.96,0.56,0.601
1.6,0.52,0.784
0.4,0.16,0.721
1.28,0.84,0.763
2.36,0.96,0.769
3.64,0.88,0.729
0.12,0.8,0.61
3.24,0.0,0.37
0.0,0.36,0.087
0.16,0.48,0.635
0.64,0.28,0.809
2.08,0.2,0.573
2.44,0.64,0.749
0.96,0.4,0.82
0.16,0.8,0.633
0.64,0.72,0.747
1.28,0.08,0.619
4.0,0.56,0.625
3.28,0.0,0.362
0.04,0.36,0.559
1.64,0.52,0.797
0.44,0.16,0.767
1.32,0.84,0.78
0.2,0.48,0.687
2.4,0.96,0.753
3.68,0.88,0.742
0.68,0.28,0.818
0.2,0.8,0.651
2.12,0.2,0.545
2.48,0.64,0.731
3.32,0.0,0.349
1.0,0.4,0.807
0.08,0.36,0.596
0.24,0.48,0.689
0.68,0.72,0.765
1.32,0.08,0.591
0.0,0.6,0.109
1.68,0.52,0.777
0.48,0.16,0.793
1.36,0.84,0.781
2.44,0.96,0.763
3.72,0.88,0.719
0.24,0.8,0.674
3.36,0.0,0.363
0.12,0.36,0.63
0.72,0.28,0.832
0.28,0.48,0.696
2.16,0.2,0.54
2.52,0.64,0.73
1.04,0.4,0.816
0.72,0.72,0.768
0.28,0.8,0.699
1.36,0.08,0.593
0.04,0.6,0.502
3.4,0.0,0.369
0.16,0.36,0.619
1.72,0.52,0.756
0.52,0.16,0.811
1.4,0.84,0.778
3.76,0.88,0.736
2.48,0.96,0.774
0.32,0.48,0.74
0.76,0.28,0.839
0.32,0.8,0.703
2.2,0.2,0.553
2.56,0.64,0.756
1.08,0.4,0.824
3.44,0.0,0.35
0.2,0.36,0.651
0.76,0.72,0.757
0.36,0.48,0.723
1.4,0.08,0.557
3.8,0.88,0.739
0.08,0.6,0.561
1.76,0.52,0.771
0.56,0.16,0.825
1.44,0.84,0.778
2.52,0.96,0.789
0.36,0.8,0.69
3.48,0.0,0.357
0.8,0.28,0.843
0.4,0.48,0.78
2.24,0.2,0.553
3.84,0.88,0.705
2.6,0.64,0.746
1.12,0.4,0.819
0.24,0.36,0.662
0.8,0.72,0.743
0.4,0.8,0.693
1.44,0.08,0.562
0.12,0.6,0.627
3.52,0.0,0.357
1.8,0.52,0.803
0.6,0.16,0.84
1.48,0.84,0.8
2.56,0.96,0.762
0.44,0.48,0.775
3.88,0.88,0.726
0.84,0.28,0.825
0.44,0.8,0.733
2.28,0.2,0.551
1.16,0.4,0.822
2.64,0.64,0.738
3.56,0.0,0.346
0.28,0.36,0.68
0.84,0.72,0.772
1.48,0.08,0.532
0.48,0.48,0.772
3.92,0.88,0.759
0.16,0.6,0.634
1.84,0.52,0.776
0.64,0.16,0.836
1.52,0.84,0.771
2.6,0.96,0.782
0.48,0.8,0.721
3.6,0.0,0.356
0.88,0.28,0.833
0.52,0.48,0.745
2.32,0.2,0.553
3.96,0.88,0.715
1.2,0.4,0.812
2.68,0.64,0.728
0.32,0.36,0.689
0.88,0.72,0.774
1.52,0.08,0.537
0.52,0.8,0.749
0.2,0.6,0.69
1.88,0.52,0.772
3.64,0.0,0.361
0.68,0.16,0.833
1.56,0.84,0.799
2.64,0.96,0.767
0.56,0.48,0.766
4.0,0.88,0.719
0.92,0.28,0.836
0.56,0.8,0.75
2.36,0.2,0.509
1.24,0.4,0.792
2.72,0.64,0.757
3.68,0.0,0.369
0.36,0.36,0.738
0.92,0.72,0.774
1.56,0.08,0.508
0.6,0.48,0.783
0.0,0.92,0.094
0.24,0.6,0.688
1.92,0.52,0.77
0.72,0.16,0.824
1.6,0.84,0.762
2.68,0.96,0.786
0.6,0.8,0.732
3.72,0.0,0.372
0.96,0.28,0.812
0.64,0.48,0.792
2.4,0.2,0.542
1.28,0.4,0.823
0.04,0.92,0.404
2.76,0.64,0.729
0.4,0.36,0.754
0.96,0.72,0.779
1.6,0.08,0.514
0.64,0.8,0.732
0.28,0.6,0.694
1.96,0.52,0.754
0.76,0.16,0.852
3.76,0.0,0.333
1.64,0.84,0.754
2.72,0.96,0.773
0.68,0.48,0.793
0.08,0.92,0.515
1.0,0.28,0.808
2.44,0.2,0.506
0.68,0.8,0.749
1.32,0.4,0.808
2.8,0.64,0.723
3.8,0.0,0.353
0.44,0.36,0.766
1.0,0.72,0.763
1.64,0.08,0.495
0.72,0.48,0.801
0.32,0.6,0.687
0.12,0.92,0.564
2.0,0.52,0.763
0.8,0.16,0.824
1.68,0.84,0.788
2.76,0.96,0.781
0.72,0.8,0.754
3.84,0.0,0.377
1.04,0.28,0.833
0.76,0.48,0.798
2.48,0.2,0.531
1.36,0.4,0.789
2.84,0.64,0.723
0.16,0.92,0.597
1.68,0.08,0.533
1.04,0.72,0.773
0.48,0.36,0.757
0.76,0.8,0.75
0.36,0.6,0.723
2.04,0.52,0.765
0.84,0.16,0.822
3.88,0.0,0.352
1.72,0.84,0.801
2.8,0.96,0.762
0.8,0.48,0.783
0.2,0.92,0.634
1.08,0.28,0.82
1.4,0.4,0.789
2.52,0.2,0.498
0.8,0.8,0.759
2.88,0.64,0.702
3.92,0.0,0.363
1.72,0.08,0.507
1.08,0.72,0.805
0.52,0.36,0.778
0.84,0.48,0.808
0.4,0.6,0.714
0.24,0.92,0.657
2.08,0.52,0.733
0.88,0.16,0.77
1.76,0.84,0.763
2.84,0.96,0.771
0.84,0.8,0.782
3.96,0.0,0.342
1.12,0.28,0.798
1.44,0.4,0.798
0.88,0.48,0.78
2.56,0.2,0.508
2.92,0.64,0.706
0.28,0.92,0.675
1.76,0.08,0.471
1.12,0.72,0.752
0.56,0.36,0.788
0.88,0.8,0.77
0.44,0.6,0.736
2.12,0.52,0.753
0.92,0.16,0.775
4.0,0.0,0.372
1.8,0.84,0.783
2.88,0.96,0.783
0.92,0.48,0.81
0.32,0.92,0.69
1.16,0.28,0.799
1.48,0.4,0.789
2.6,0.2,0.483
2.96,0.64,0.724
0.92,0.8,0.779
0.0,0.04,0.093
1.8,0.08,0.496
1.16,0.72,0.789
0.6,0.36,0.806
0.96,0.48,0.795
0.48,0.6,0.77
0.36,0.92,0.688
2.16,0.52,0.72
0.96,0.16,0.77
1.84,0.84,0.787
2.92,0.96,0.783
0.96,0.8,0.773
1.2,0.28,0.771
0.04,0.04,0.291
1.52,0.4,0.796
2.64,0.2,0.478
3.0,0.64,0.692
1.0,0.48,0.79
0.4,0.92,0.72
1.84,0.08,0.516
0.64,0.36,0.815
1.2,0.72,0.783
1.0,0.8,0.785
0.52,0.6,0.772
2.2,0.52,0.719
1.0,0.16,0.775
0.08,0.04,0.273
1.88,0.84,0.787
2.96,0.96,0.774
1.04,0.48,0.819
0.44,0.92,0.691
1.24,0.28,0.769
2.68,0.2,0.515
1.56,0.4,0.77
3.04,0.64,0.696
1.04,0.8,0.773
0.68,0.36,0.81
1.88,0.08,0.522
1.24,0.72,0.8
0.56,0.6,0.759
1.08,0.48,0.801
2.24,0.52,0.755
1.04,0.16,0.742
0.12,0.04,0.278
2.72,0.2,0.497
1.92,0.84,0.797
3.0,0.96,0.771
0.48,0.92,0.695
1.08,0.8,0.77
0.72,0.36,0.831
1.28,0.28,0.769
1.6,0.4,0.749
3.08,0.64,0.706
1.12,0.48,0.79
1.92,0.08,0.519
1.28,0.72,0.802
2.76,0.2,0.496
0.6,0.6,0.756
1.12,0.8,0.778
2.28,0.52,0.734
0.76,0.36,0.829
1.08,0.16,0.747
0.16,0.04,0.273
1.96,0.84,0.783
3.04,0.96,0.734
0.52,0.92,0.715
1.16,0.48,0.811
1.32,0.28,0.777
2.8,0.2,0.5
1.64,0.4,0.774
3.12,0.64,0.689
1.16,0.8,0.788
0.8,0.36,0.842
1.96,0.08,0.509
1.32,0.72,0.769
0.64,0.6,0.78
1.2,0.48,0.785
2.32,0.52,0.74
1.12,0.16,0.715
0.2,0.04,0.263
2.84,0.2,0.486
2.0,0.84,0.801
3.08,0.96,0.754
0.56,0.92,0.722
1.2,0.8,0.763
0.84,0.36,0.841
1.36,0.28,0.757
1.68,0.4,0.75
3.16,0.64,0.712
1.24,0.48,0.821
2.0,0.08,0.504
1.36,0.72,0.783
2.88,0.2,0.498
0.68,0.6,0.767
1.24,0.8,0.796
2.36,0.52,0.745
0.88,0.36,0.819
1.16,0.16,0.711
0.24,0.04,0.26
2.04,0.84,0.774
3.12,0.96,0.786
0.6,0.92,0.731
1.28,0.48,0.805
1.4,0.28,0.723
2.92,0.2,0.483
1.72,0.4,0.755
3.2,0.64,0.702
1.28,0.8,0.766
0.92,0.36,0.826
1.4,0.72,0.791
2.04,0.08,0.459
0.72,0.6,0.775
1.32,0.48,0.797
2.4,0.52,0.726
1.2,0.16,0.687
0.28,0.04,0.26
2.96,0.2,0.474
2.08,0.84,0.787
3.16,0.96,0.76
0.64,0.92,0.74
1.32,0.8,0.79
0.96,0.36,0.799
1.44,0.28,0.726
1.76,0.4,0.75
3.24,0.64,0.682
1.36,0.48,0.809
1.44,0.72,0.812
2.08,0.08,0.48
3.0,0.2,0.469
0.76,0.6,0.783
1.36,0.8,0.79
2.44,0.52,0.717
1.0,0.36,0.831
1.24,0.16,0.669
0.32,0.04,0.301
2.12,0.84,0.782
3.2,0.96,0.762
0.68,0.92,0.741
1.4,0.48,0.793
1.48,0.28,0.734
3.04,0.2,0.488
1.8,0.4,0.745
3.28,0.64,0.687
1.4,0.8,0.801
1.04,0.36,0.794
1.48,0.72,0.784
2.12,0.08,0.456
0.8,0.6,0.788
1.44,0.48,0.789
2.48,0.52,0.707
1.28,0.16,0.676
0.36,0.04,0.468
3.08,0.2,0.467
2.16,0.84,0.775
3.24,0.96,0.774
0.72,0.92,0.768
1.44,0.8,0.79
1.08,0.36,0.824
1.52,0.28,0.712
1.84,0.4,0.743
3.32,0.64,0.698
1.48,0.48,0.779
1.52,0.72,0.788
2.16,0.08,0.453
3.12,0.2,0.426
0.84,0.6,0.774
1.48,0.8,0.793
2.52,0.52,0.719
1.12,0.36,0.809
1.32,0.16,0.661
0.4,0.04,0.612
2.2,0.84,0.787
3.28,0.96,0.732
0.76,0.92,0.756
1.52,0.48,0.789
1.56,0.28,0.7
1.88,0.4,0.738
3.16,0.2,0.457
3.36,0.64,0.671
1.52,0.8,0.782
1.16,0.36,0.801
1.56,0.72,0.778
2.2,0.08,0.466
0.88,0.6,0.789
1.56,0.48,0.792
2.56,0.52,0.712
1.36,0.16,0.65
0.44,0.04,0.652
3.2,0.2,0.48
2.24,0.84,0.77
3.32,0.96,0.752
0.8,0.92,0.739
1.56,0.8,0.78
1.2,0.36,0.8
1.6,0.28,0.712
1.92,0.4,0.727
3.4,0.64,0.659
1.6,0.48,0.792
1.6,0.72,0.782
2.24,0.08,0.441
3.24,0.2,0.49
0.92,0.6,0.792
1.6,0.8,0.785
2.6,0.52,0.696
1.24,0.36,0.807
1.4,0.16,0.637
0.48,0.04,0.656
2.28,0.84,0.77
3.36,0.96,0.732
0.84,0.92,0.731
1.64,0.48,0.788
1.64,0.28,0.714
1.96,0.4,0.724
3.28,0.2,0.46
3.44,0.64,0.682
1.64,0.8,0.782
1.28,0.36,0.798
1.64,0.72,0.776
2.28,0.08,0.427
0.96,0.6,0.802
1.68,0.48,0.776
2.64,0.52,0.687
1.44,0.16,0.623
0.52,0.04,0.732
3.32,0.2,0.459
2.32,0.84,0.766
3.4,0.96,0.739
0.88,0.92,0.764
1.68,0.8,0.78
1.32,0.36,0.801
1.68,0.28,0.671
2.0,0.4,0.715
3.48,0.64,0.671
1.72,0.48,0.781
1.68,0.72,0.773
2.32,0.08,0.454
3.36,0.2,0.486
1.0,0.6,0.794
2.68,0.52,0.686
1.72,0.8,0.805
1.36,0.36,0.795
1.48,0.16,0.618
0.56,0.04,0.702
2.36,0.84,0.785
3.44,0.96,0.75
0.92,0.92,0.777
1.76,0.48,0.769
1.72,0.28,0.657
2.04,0.4,0.716
3.52,0.64,0.658
3.4,0.2,0.455
1.76,0.8,0.763
1.4,0.36,0.786
1.72,0.72,0.758
2.36,0.08,0.435
1.04,0.6,0.78
1.8,0.48,0.778
2.72,0.52,0.69
1.52,0.16,0.614
0.6,0.04,0.724
2.4,0.84,0.773
3.44,0.2,0.466
3.48,0.96,0.74
0.96,0.92,0.754
1.8,0.8,0.785
1.44,0.36,0.799
1.76,0.28,0.7
2.08,0.4,0.693
3.56,0.64,0.656
1.84,0.48,0.755
1.76,0.72,0.8
2.4,0.08,0.426
3.48,0.2,0.432
1.08,0.6,0.786
2.76,0.52,0.654
1.84,0.8,0.756
1.48,0.36,0.771
1.56,0.16,0.583
0.64,0.04,0.708
2.44,0.84,0.769
3.52,0.96,0.744
1.0,0.92,0.755
1.88,0.48,0.76
1.8,0.28,0.654
2.12,0.4,0.712
3.6,0.64,0.686
3.52,0.2,0.451
1.88,0.8,0.779
1.52,0.36,0.776
1.8,0.72,0.792
2.44,0.08,0.433
1.12,0.6,0.803
1.92,0.48,0.781
2.8,0.52,0.681
1.6,0.16,0.595
0.68,0.04,0.712
2.48,0.84,0.781
3.56,0.2,0.452
3.56,0.96,0.768
1.04,0.92,0.761
1.56,0.36,0.748
1.92,0.8,0.791
1.84,0.28,0.647
2.16,0.4,0.686
3.64,0.64,0.674
1.96,0.48,0.747
1.84,0.72,0.788
2.48,0.08,0.436
3.6,0.2,0.468
1.16,0.6,0.811
2.84,0.52,0.671
1.6,0.36,0.766
1.96,0.8,0.781
1.64,0.16,0.591
0.72,0.04,0.704
2.52,0.84,0.782
3.6,0.96,0.737
1.08,0.92,0.744
2.0,0.48,0.75
1.88,0.28,0.654
2.2,0.4,0.663
3.68,0.64,0.653
3.64,0.2,0.444
2.0,0.8,0.776
1.64,0.36,0.747
1.88,0.72,0.784
2.52,0.08,0.433
1.2,0.6,0.813
2.88,0.52,0.669
2.04,0.48,0.744
1.68,0.16,0.586
0.76,0.04,0.664
2.56,0.84,0.751
3.64,0.96,0.755
1.12,0.92,0.791
3.68,0.2,0.42
1.68,0.36,0.74
2.04,0.8,0.786
1.92,0.28,0.647
2.24,0.4,0.684
3.72,0.64,0.663
2.08,0.48,0.756
1.92,0.72,0.804
2.56,0.08,0.452
1.24,0.6,0.788
2.92,0.52,0.662
1.72,0.36,0.753
2.08,0.8,0.785
3.72,0.2,0.434
1.72,0.16,0.572
0.8,0.04,0.63
2.6,0.84,0.777
3.68,0.96,0.778
1.16,0.92,0.759
2.12,0.48,0.724
1.96,0.28,0.656
2.28,0.4,0.673
3.76,0.64,0.64
2.12,0.8,0.796
1.76,0.36,0.714
3.76,0.2,0.428
1.96,0.72,0.793
2.6,0.08,0.418
1.28,0.6,0.792
2.96,0.52,0.645
2.16,0.48,0.694
1.76,0.16,0.555
0.84,0.04,0.628
2.64,0.84,0.768
3.72,0.96,0.771
1.2,0.92,0.753
1.8,0.36,0.734
2.16,0.8,0.799
3.8,0.2,0.446
2.0,0.28,0.606
2.32,0.4,0.666
3.8,0.64,0.633
2.2,0.48,0.715
2.0,0.72,0.783
2.64,0.08,0.415
1.32,0.6,0.769
3.0,0.52,0.652
2.2,0.8,0.773
1.84,0.36,0.721
3.84,0.2,0.444
1.8,0.16,0.557
0.88,0.04,0.62
2.68,0.84,0.772
3.76,0.96,0.747
1.24,0.92,0.766
2.24,0.48,0.728
2.04,0.28,0.603
2.36,0.4,0.648
3.84,0.64,0.641
2.24,0.8,0.793
1.88,0.36,0.693
3.88,0.2,0.446
2.04,0.72,0.759
2.68,0.08,0.442
1.36,0.6,0.788
3.04,0.52,0.648
2.28,0.48,0.721
1.84,0.16,0.564
0.92,0.04,0.577
2.72,0.84,0.769
3.8,0.96,0.754
1.28,0.92,0.751
2.28,0.8,0.782
1.92,0.36,0.704
3.92,0.2,0.471
2.08,0.28,0.627
2.4,0.4,0.664
3.88,0.64,0.63
2.32,0.48,0.724
2.08,0.72,0.758
2.72,0.08,0.432
1.4,0.6,0.78
3.08,0.52,0.643
2.32,0.8,0.774
1.96,0.36,0.692
3.96,0.2,0.406
1.88,0.16,0.529
0.96,0.04,0.617
2.76,0.84,0.747
3.84,0.96,0.732
1.32,0.92,0.759
2.36,0.48,0.709
2.12,0.28,0.623
2.44,0.4,0.631
3.92,0.64,0.654
2.36,0.8,0.787
2.0,0.36,0.689
4.0,0.2,0.436
2.12,0.72,0.777
2.76,0.08,0.417
1.44,0.6,0.792
3.12,0.52,0.647
2.4,0.48,0.681
1.92,0.16,0.557
1.0,0.04,0.591
2.8,0.84,0.807
3.88,0.96,0.771
1.36,0.92,0.768
1.4,1.0,0.78
3.76,1.04,0.753
2.16,0.28,0.601
0.0,0.24,0.101
2.48,0.4,0.657
3.96,0.64,0.647
2.44,0.48,0.699
2.16,0.72,0.787
2.8,0.08,0.427
1.48,0.6,0.783
3.16,0.52,0.628
3.8,1.04,0.751
1.44,1.0,0.759
1.96,0.16,0.538
0.04,0.24,0.581
1.04,0.04,0.597
2.84,0.84,0.758
3.92,0.96,0.757
1.4,0.92,0.804
2.48,0.48,0.698
2.2,0.28,0.596
2.52,0.4,0.622
4.0,0.64,0.612
1.48,1.0,0.753
3.84,1.04,0.775
0.08,0.24,0.574
2.2,0.72,0.785
2.84,0.08,0.435
1.52,0.6,0.804
3.2,0.52,0.64
2.52,0.48,0.691
2.0,0.16,0.526
1.08,0.04,0.594
2.88,0.84,0.758
3.96,0.96,0.744
3.88,1.04,0.745
1.52,1.0,0.792
1.44,0.92,0.795
2.24,0.28,0.599
2.56,0.4,0.617
0.12,0.24,0.543
0.0,0.68,0.086
2.56,0.48,0.676
2.24,0.72,0.782
2.88,0.08,0.413
1.56,0.6,0.811
3.24,0.52,0.621
3.92,1.04,0.765
1.56,1.0,0.767
2.04,0.16,0.536
0.16,0.24,0.51
1.12,0.04,0.592
2.92,0.84,0.762
4.0,0.96,0.751
1.48,0.92,0.756
2.28,0.28,0.581
2.6,0.48,0.68
2.6,0.4,0.635
0.04,0.68,0.462
1.6,1.0,0.783
3.96,1.04,0.767
0.2,0.24,0.564
2.28,0.72,0.768
2.92,0.08,0.425
1.6,0.6,0.759
3.28,0.52,0.617
2.64,0.48,0.673
2.08,0.16,0.544
1.16,0.04,0.565
2.96,0.84,0.752
0.0,1.0,0.132
1.64,1.0,0.769
4.0,1.04,0.754
1.52,0.92,0.787
2.32,0.28,0.592
2.64,0.4,0.626
0.24,0.24,0.585
0.08,0.68,0.562
2.68,0.48,0.692
2.32,0.72,0.768
2.96,0.08,0.402
1.64,0.6,0.773
3.32,0.52,0.625
1.68,1.0,0.786
0.0,1.08,0.108
2.12,0.16,0.535
0.28,0.24,0.64
1.2,0.04,0.55
3.0,0.84,0.755
0.04,1.0,0.425
2.36,0.28,0.607
1.56,0.92,0.746
2.08,1.12,0.753
2.68,0.4,0.648
0.12,0.68,0.62
1.72,1.0,0.786
0.04,1.08,0.419
0.32,0.24,0.676
2.36,0.72,0.765
3.0,0.08,0.408
1.68,0.6,0.801
3.36,0.52,0.605
2.12,1.12,0.773
2.16,0.16,0.548
1.24,0.04,0.552
3.04,0.84,0.749
0.08,1.0,0.518
2.4,0.28,0.567
1.76,1.0,0.785
1.6,0.92,0.761
0.08,1.08,0.499
2.72,0.4,0.601
0.36,0.24,0.72
0.16,0.68,0.648
2.16,1.12,0.817
2.4,0.72,0.754
3.04,0.08,0.416
1.72,0.6,0.807
3.4,0.52,0.626
1.8,1.0,0.8
2.2,0.16,0.514
0.12,1.08,0.552
0.4,0.24,0.752
1.28,0.04,0.519
3.08,0.84,0.788
0.12,1.0,0.577
2.44,0.28,0.547
2.2,1.12,0.768
1.64,0.92,0.771
2.76,0.4,0.633
0.2,0.68,0.642
1.84,1.0,0.776
0.16,1.08,0.559
0.44,0.24,0.766
2.44,0.72,0.758
3.08,0.08,0.412
1.76,0.6,0.776
3.44,0.52,0.63
2.24,1.12,0.775
2.24,0.16,0.5
1.32,0.04,0.53
3.12,0.84,0.756
2.48,0.28,0.557
0.16,1.0,0.619
1.88,1.0,0.743
1.68,0.92,0.75
0.2,1.08,0.582
2.8,0.4,0.619
0.48,0.24,0.76
0.24,0.68,0.674
2.28,1.12,0.784
2.48,0.72,0.776
3.12,0.08,0.415
1.8,0.6,0.764
3.48,0.52,0.613
1.92,1.0,0.794
2.28,0.16,0.518
0.24,1.08,0.596
0.52,0.24,0.818
1.36,0.04,0.502
3.16,0.84,0.772
2.52,0.28,0.566
0.2,1.0,0.604
2.32,1.12,0.78
1.72,0.92,0.784
2.84,0.4,0.578
0.28,0.68,0.706
1.96,1.0,0.774
0.28,1.08,0.637
2.52,0.72,0.766
0.56,0.24,0.812
3.16,0.08,0.409
1.84,0.6,0.781
3.52,0.52,0.609
2.32,0.16,0.499
2.36,1.12,0.785
1.4,0.04,0.527
3.2,0.84,0.747
2.56,0.28,0.553
0.24,1.0,0.657
2.0,1.0,0.788
1.76,0.92,0.765
0.32,1.08,0.678
2.88,0.4,0.597
0.6,0.24,0.835
0.32,0.68,0.7
2.4,1.12,0.75
2.56,0.72,0.764
3.2,0.08,0.389
1.88,0.6,0.779
3.56,0.52,0.622
2.36,0.16,0.501
2.04,1.0,0.795
0.36,1.08,0.663
1.44,0.04,0.519
0.64,0.24,0.834
3.24,0.84,0.752
2.6,0.28,0.555
0.28,1.0,0.662
1.8,0.92,0.797
2.92,0.4,0.615
2.44,1.12,0.796
0.36,0.68,0.713
2.08,1.0,0.773
0.4,1.08,0.675
2.6,0.72,0.763
0.68,0.24,0.851
3.24,0.08,0.406
1.92,0.6,0.77
3.6,0.52,0.615
2.4,0.16,0.49
2.48,1.12,0.788
1.48,0.04,0.544
3.28,0.84,0.735
2.64,0.28,0.576
2.12,1.0,0.764
0.32,1.0,0.687
1.84,0.92,0.764
2.96,0.4,0.603
0.44,1.08,0.684
0.72,0.24,0.833
0.4,0.68,0.719
2.52,1.12,0.783
2.64,0.72,0.743
3.28,0.08,0.416
1.96,0.6,0.772
3.64,0.52,0.596
2.44,0.16,0.504
2.16,1.0,0.769
0.48,1.08,0.699
1.52,0.04,0.511
0.76,0.24,0.838
3.32,0.84,0.726
2.68,0.28,0.57
3.0,0.4,0.605
1.88,0.92,0.789
0.36,1.0,0.692
2.56,1.12,0.772
0.44,0.68,0.717
2.2,1.0,0.79
0.52,1.08,0.705
2.68,0.72,0.758
0.8,0.24,0.834
3.32,0.08,0.405
2.0,0.6,0.775
3.68,0.52,0.6
2.48,0.16,0.489
2.6,1.12,0.784
1.56,0.04,0.487
3.36,0.84,0.741
2.72,0.28,0.562
3.04,0.4,0.584
2.24,1.0,0.786
1.92,0.92,0.798
0.4,1.0,0.684
0.56,1.08,0.689
0.84,0.24,0.846
0.48,0.68,0.738
2.64,1.12,0.764
2.72,0.72,0.727
3.36,0.08,0.389
2.04,0.6,0.796
3.72,0.52,0.595
2.28,1.0,0.789
2.52,0.16,0.512
0.6,1.08,0.713
1.6,0.04,0.488
0.88,0.24,0.853
3.4,0.84,0.731
2.76,0.28,0.518
3.08,0.4,0.598
1.96,0.92,0.791
0.44,1.0,0.694
2.68,1.12,0.77
0.52,0.68,0.744
2.32,1.0,0.775
0.64,1.08,0.723
2.76,0.72,0.71
3.4,0.08,0.374
0.92,0.24,0.825
2.08,0.6,0.778
3.76,0.52,0.61
2.56,0.16,0.496
2.72,1.12,0.761
1.64,0.04,0.48
3.44,0.84,0.765
2.8,0.28,0.541
3.12,0.4,0.567
2.36,1.0,0.769
2.0,0.92,0.781
0.48,1.0,0.736
0.68,1.08,0.74
0.96,0.24,0.833
0.56,0.68,0.753
2.76,1.12,0.781
2.8,0.72,0.756
3.44,0.08,0.429
2.12,0.6,0.772
3.8,0.52,0.587
2.6,0.16,0.452
2.4,1.0,0.772
0.72,1.08,0.736
1.68,0.04,0.503
1.0,0.24,0.79
3.48,0.84,0.74
2.84,0.28,0.545
3.16,0.4,0.599
2.04,0.92,0.783
0.52,1.0,0.729
2.8,1.12,0.792
0.6,0.68,0.757
2.44,1.0,0.754
0.76,1.08,0.723
2.84,0.72,0.743
3.48,0.08,0.389
1.04,0.24,0.794
2.16,0.6,0.751
3.84,0.52,0.587
2.64,0.16,0.502
2.84,1.12,0.778
1.72,0.04,0.477
