sigx,sigh,success_rate
1.0,0.12,0.713
0.96,0.88,0.76
0.08,0.32,0.595
0.76,0.44,0.803
0.44,0.76,0.742
3.72,0.6,0.626
1.04,0.12,0.704
1.64,0.24,0.672
0.28,0.0,0.237
2.32,0.36,0.616
3.32,0.16,0.443
2.64,0.04,0.448
2.0,0.68,0.768
1.32,0.56,0.788
3.0,0.48,0.648
3.36,0.92,0.774
2.68,0.8,0.786
0.12,0.32,0.608
1.0,0.88,0.762
0.8,0.44,0.822
0.48,0.76,0.739
1.08,0.12,0.657
3.76,0.6,0.619
0.16,0.32,0.641
0.84,0.44,0.821
0.52,0.76,0.738
1.68,0.24,0.68
2.36,0.36,0.645
0.32,0.0,0.238
3.36,0.16,0.438
2.68,0.04,0.416
2.04,0.68,0.766
3.04,0.48,0.628
1.36,0.56,0.785
3.4,0.92,0.737
2.72,0.8,0.771
1.04,0.88,0.802
1.12,0.12,0.66
0.2,0.32,0.637
0.56,0.76,0.738
0.88,0.44,0.82
3.8,0.6,0.641
1.16,0.12,0.655
2.4,0.36,0.637
1.72,0.24,0.635
0.36,0.0,0.34
3.4,0.16,0.42
2.72,0.04,0.441
2.08,0.68,0.771
3.08,0.48,0.636
1.4,0.56,0.805
3.44,0.92,0.747
2.76,0.8,0.774
0.24,0.32,0.661
1.08,0.88,0.764
0.6,0.76,0.716
0.92,0.44,0.796
1.2,0.12,0.648
3.84,0.6,0.648
0.28,0.32,0.698
0.64,0.76,0.733
0.96,0.44,0.803
2.44,0.36,0.616
1.76,0.24,0.639
3.44,0.16,0.444
0.4,0.0,0.492
2.76,0.04,0.411
2.12,0.68,0.751
3.12,0.48,0.625
1.44,0.56,0.784
3.48,0.92,0.742
2.8,0.8,0.759
1.12,0.88,0.766
1.24,0.12,0.641
0.32,0.32,0.707
0.68,0.76,0.743
1.0,0.44,0.809
3.88,0.6,0.621
1.28,0.12,0.642
2.48,0.36,0.624
1.8,0.24,0.633
3.48,0.16,0.401
0.44,0.0,0.533
2.8,0.04,0.385
2.16,0.68,0.765
3.16,0.48,0.602
1.48,0.56,0.823
3.52,0.92,0.759
2.84,0.8,0.768
0.36,0.32,0.747
1.16,0.88,0.776
0.72,0.76,0.744
1.04,0.44,0.788
1.32,0.12,0.628
3.92,0.6,0.613
0.4,0.32,0.736
0.76,0.76,0.759
1.08,0.44,0.803
2.52,0.36,0.626
1.84,0.24,0.626
3.52,0.16,0.467
0.48,0.0,0.568
2.2,0.68,0.752
2.84,0.04,0.429
3.2,0.48,0.643
1.52,0.56,0.781
3.56,0.92,0.726
2.88,0.8,0.758
1.2,0.88,0.789
1.36,0.12,0.622
0.44,0.32,0.747
0.8,0.76,0.782
1.12,0.44,0.804
3.96,0.6,0.627
1.4,0.12,0.611
2.56,0.36,0.598
1.88,0.24,0.588
3.56,0.16,0.422
0.52,0.0,0.585
2.24,0.68,0.771
2.88,0.04,0.397
3.24,0.48,0.629
1.56,0.56,0.797
3.6,0.92,0.748
2.92,0.8,0.738
1.24,0.88,0.767
0.48,0.32,0.774
0.84,0.76,0.772
1.16,0.44,0.811
1.44,0.12,0.591
4.0,0.6,0.619
0.52,0.32,0.791
0.88,0.76,0.774
1.2,0.44,0.811
2.6,0.36,0.571
1.92,0.24,0.631
3.6,0.16,0.41
0.56,0.0,0.596
2.92,0.04,0.406
2.28,0.68,0.774
3.28,0.48,0.606
1.6,0.56,0.812
3.64,0.92,0.728
2.96,0.8,0.742
1.28,0.88,0.771
1.48,0.12,0.581
0.56,0.32,0.808
0.92,0.76,0.768
1.24,0.44,0.808
0.0,0.64,0.1
1.52,0.12,0.589
2.64,0.36,0.649
1.96,0.24,0.6
3.64,0.16,0.422
0.6,0.0,0.617
2.32,0.68,0.787
2.96,0.04,0.382
3.32,0.48,0.612
1.64,0.56,0.776
3.68,0.92,0.752
3.0,0.8,0.721
1.32,0.88,0.766
0.6,0.32,0.81
0.96,0.76,0.787
1.28,0.44,0.801
1.56,0.12,0.551
0.04,0.64,0.479
0.64,0.32,0.785
1.0,0.76,0.768
1.32,0.44,0.801
2.68,0.36,0.595
2.0,0.24,0.567
3.68,0.16,0.398
0.64,0.0,0.597
2.36,0.68,0.776
3.0,0.04,0.418
3.36,0.48,0.622
1.68,0.56,0.796
3.72,0.92,0.76
3.04,0.8,0.77
1.36,0.88,0.789
1.6,0.12,0.55
0.68,0.32,0.816
1.04,0.76,0.778
1.36,0.44,0.793
0.08,0.64,0.569
1.64,0.12,0.561
2.72,0.36,0.588
2.04,0.24,0.603
3.72,0.16,0.41
0.68,0.0,0.594
2.4,0.68,0.781
3.04,0.04,0.398
3.4,0.48,0.581
1.72,0.56,0.784
3.76,0.92,0.71
3.08,0.8,0.748
1.4,0.88,0.746
0.72,0.32,0.818
1.08,0.76,0.772
1.4,0.44,0.778
1.68,0.12,0.553
