,sigh,sigx,success_rate
82,0.0,3.28,0.362
83,0.0,3.32,0.349
84,0.0,3.36,0.363
85,0.0,3.4,0.369
86,0.0,3.44,0.35
87,0.0,3.48,0.357
88,0.0,3.52,0.357
89,0.0,3.56,0.346
90,0.0,3.6,0.356
91,0.0,3.64,0.361
92,0.0,3.68,0.369
93,0.0,3.72,0.372
94,0.0,3.76,0.333
95,0.0,3.8,0.353
96,0.0,3.84,0.377
97,0.0,3.88,0.352
98,0.0,3.92,0.363
99,0.0,3.96,0.342
100,0.0,4.0,0.372
101,0.04,0.0,0.093
102,0.04,0.04,0.291
103,0.04,0.08,0.273
104,0.04,0.12,0.278
105,0.04,0.16,0.273
106,0.04,0.2,0.263
107,0.04,0.24,0.26
108,0.04,0.28,0.26
109,0.04,0.32,0.301
110,0.04,0.36,0.468
111,0.04,0.4,0.612
112,0.04,0.44,0.652
113,0.04,0.48,0.656
114,0.04,0.52,0.732
115,0.04,0.56,0.702
116,0.04,0.6,0.724
117,0.04,0.64,0.708
118,0.04,0.68,0.712
119,0.04,0.72,0.704
120,0.04,0.76,0.664
121,0.04,0.8,0.63
122,0.04,0.84,0.628
123,0.04,0.88,0.62
124,0.04,0.92,0.577
125,0.04,0.96,0.617
126,0.04,1.0,0.591
127,0.04,1.04,0.597
128,0.04,1.08,0.594
129,0.04,1.12,0.592
130,0.04,1.16,0.565
131,0.04,1.2,0.55
132,0.04,1.24,0.552
133,0.04,1.28,0.519
134,0.04,1.32,0.53
135,0.04,1.36,0.502
136,0.04,1.4,0.527
137,0.04,1.44,0.519
138,0.04,1.48,0.544
139,0.04,1.52,0.511
140,0.04,1.56,0.487
141,0.04,1.6,0.488
142,0.04,1.64,0.48
143,0.04,1.68,0.503
144,0.04,1.72,0.477
145,0.04,1.76,0.482
146,0.04,1.8,0.483
147,0.04,1.84,0.456
148,0.04,1.88,0.478
149,0.04,1.92,0.458
150,0.04,1.96,0.456
151,0.04,2.0,0.454
152,0.04,2.04,0.469
153,0.04,2.08,0.448
154,0.04,2.12,0.432
155,0.04,2.16,0.437
156,0.04,2.2,0.463
157,0.04,2.24,0.436
158,0.04,2.28,0.408
159,0.04,2.32,0.418
160,0.04,2.36,0.447
161,0.04,2.4,0.421
162,0.04,2.44,0.418
163,0.04,2.48,0.416
164,0.04,2.52,0.409
165,0.04,2.56,0.426
166,0.04,2.6,0.445
167,0.04,2.64,0.448
168,0.04,2.68,0.416
169,0.04,2.72,0.441
170,0.04,2.76,0.411
171,0.04,2.8,0.385
172,0.04,2.84,0.429
173,0.04,2.88,0.397
174,0.04,2.92,0.406
175,0.04,2.96,0.382
176,0.04,3.0,0.418
177,0.04,3.04,0.398
178,0.04,3.08,0.4
179,0.04,3.12,0.399
180,0.04,3.16,0.39
181,0.04,3.2,0.383
182,0.04,3.24,0.398
183,0.04,3.28,0.395
184,0.04,3.32,0.378
185,0.04,3.36,0.408
186,0.04,3.4,0.386
187,0.04,3.44,0.405
188,0.04,3.48,0.385
189,0.04,3.52,0.365
190,0.04,3.56,0.361
191,0.04,3.6,0.371
192,0.04,3.64,0.354
193,0.04,3.68,0.389
194,0.04,3.72,0.366
195,0.04,3.76,0.351
196,0.04,3.8,0.397
197,0.04,3.84,0.349
198,0.04,3.88,0.385
199,0.04,3.92,0.348
200,0.04,3.96,0.342
201,0.04,4.0,0.351
202,0.08,0.0,0.105
203,0.08,0.04,0.385
204,0.08,0.08,0.353
205,0.08,0.12,0.331
206,0.08,0.16,0.293
207,0.08,0.2,0.298
208,0.08,0.24,0.294
209,0.08,0.28,0.313
210,0.08,0.32,0.421
211,0.08,0.36,0.552
212,0.08,0.4,0.613
213,0.08,0.44,0.703
214,0.08,0.48,0.77
215,0.08,0.52,0.752
216,0.08,0.56,0.767
217,0.08,0.6,0.756
218,0.08,0.64,0.772
219,0.08,0.68,0.755
220,0.08,0.72,0.743
221,0.08,0.76,0.737
222,0.08,0.8,0.719
223,0.08,0.84,0.699
224,0.08,0.88,0.687
225,0.08,0.92,0.688
226,0.08,0.96,0.681
