sigx1,sigx2,sigh1,sigh2,success_rate
1.4,2.8,1.0,1.0,0.659
0.76,1.52,0.6,0.6,0.57
0.28,0.56,0.96,0.96,0.795
0.2,0.4,0.2,0.2,0.231
1.56,3.12,0.44,0.44,0.335
3.48,6.96,0.32,0.32,0.226
1.32,2.64,0.24,0.24,0.287
0.48,0.96,0.4,0.4,0.462
2.16,4.32,0.84,0.84,0.479
1.08,2.16,0.8,0.8,0.618
1.36,2.72,1.0,1.0,0.612
1.0,2.0,0.04,0.04,0.188
2.64,5.28,0.48,0.48,0.31
3.2,6.4,0.88,0.88,0.38
2.08,4.16,0.08,0.08,0.226
2.96,5.92,0.68,0.68,0.34
1.8,3.6,0.64,0.64,0.428
3.2,6.4,0.12,0.12,0.247
3.72,7.44,0.52,0.52,0.301
4.0,8.0,0.72,0.72,0.29
1.44,2.88,1.0,1.0,0.637
0.8,1.6,0.6,0.6,0.584
0.24,0.48,0.2,0.2,0.228
2.48,4.96,1.04,1.04,0.465
3.56,7.12,1.08,1.08,0.4
1.6,3.2,0.44,0.44,0.337
0.6,1.2,1.16,1.16,0.846
0.52,1.04,0.4,0.4,0.45
1.68,3.36,1.2,1.2,0.683
2.76,5.52,1.24,1.24,0.497
1.04,2.08,0.04,0.04,0.196
2.68,5.36,0.48,0.48,0.304
3.84,7.68,1.28,1.28,0.431
3.24,6.48,0.88,0.88,0.361
2.12,4.24,0.08,0.08,0.227
0.88,1.76,1.36,1.36,0.858
3.76,7.52,0.52,0.52,0.3
1.96,3.92,1.4,1.4,0.66
1.84,3.68,0.64,0.64,0.386
0.0,0.0,0.76,0.76,0.183
3.04,6.08,1.44,1.44,0.514
1.48,2.96,1.0,1.0,0.599
0.08,0.16,1.52,1.52,0.457
2.52,5.04,1.04,1.04,0.469
3.6,7.2,1.08,1.08,0.391
1.16,2.32,1.56,1.56,0.839
2.8,5.6,1.24,1.24,0.529
0.64,1.28,1.16,1.16,0.849
2.24,4.48,1.6,1.6,0.686
3.32,6.64,1.64,1.64,0.58
1.72,3.44,1.2,1.2,0.636
3.88,7.76,1.28,1.28,0.438
0.36,0.72,1.72,1.72,0.774
0.92,1.84,1.36,1.36,0.849
2.52,5.04,1.8,1.8,0.718
1.44,2.88,1.76,1.76,0.86
1.88,3.76,0.64,0.64,0.386
2.0,4.0,1.4,1.4,0.661
3.6,7.2,1.84,1.84,0.589
0.64,1.28,1.92,1.92,0.855
3.08,6.16,1.44,1.44,0.555
1.52,3.04,1.0,1.0,0.618
0.12,0.24,1.52,1.52,0.592
3.64,7.28,1.08,1.08,0.391
2.56,5.12,1.04,1.04,0.456
1.2,2.4,1.56,1.56,0.833
2.84,5.68,1.24,1.24,0.52
3.36,6.72,1.64,1.64,0.544
1.76,3.52,1.2,1.2,0.648
2.28,4.56,1.6,1.6,0.701
3.92,7.84,1.28,1.28,0.407
0.68,1.36,1.16,1.16,0.851
2.56,5.12,1.8,1.8,0.702
0.96,1.92,1.36,1.36,0.817
0.4,0.8,1.72,1.72,0.799
2.04,4.08,1.4,1.4,0.678
1.48,2.96,1.76,1.76,0.839
1.72,3.44,1.96,1.96,0.826
3.64,7.28,1.84,1.84,0.582
0.68,1.36,1.92,1.92,0.85
3.12,6.24,1.44,1.44,0.528
1.56,3.12,1.0,1.0,0.602
0.16,0.32,1.52,1.52,0.649
3.68,7.36,1.08,1.08,0.397
2.88,5.76,1.24,1.24,0.48
2.6,5.2,1.04,1.04,0.458
1.24,2.48,1.56,1.56,0.829
3.4,6.8,1.64,1.64,0.529
3.96,7.92,1.28,1.28,0.423
0.72,1.44,1.16,1.16,0.832
2.32,4.64,1.6,1.6,0.665
1.8,3.6,1.2,1.2,0.64
2.6,5.2,1.8,1.8,0.711
1.0,2.0,1.36,1.36,0.827
0.44,0.88,1.72,1.72,0.806
1.76,3.52,1.96,1.96,0.834
1.52,3.04,1.76,1.76,0.819
2.08,4.16,1.4,1.4,0.671
3.68,7.36,1.84,1.84,0.566
0.72,1.44,1.92,1.92,0.839
1.6,3.2,1.0,1.0,0.616
3.16,6.32,1.44,1.44,0.517
0.2,0.4,1.52,1.52,0.678
2.64,5.28,1.04,1.04,0.494
3.72,7.44,1.08,1.08,0.395
1.28,2.56,1.56,1.56,0.832
2.92,5.84,1.24,1.24,0.495
3.44,6.88,1.64,1.64,0.552
0.76,1.52,1.16,1.16,0.828
4.0,8.0,1.28,1.28,0.426
2.36,4.72,1.6,1.6,0.677
1.04,2.08,1.36,1.36,0.826
1.84,3.68,1.2,1.2,0.634
2.64,5.28,1.8,1.8,0.698
0.48,0.96,1.72,1.72,0.812
1.56,3.12,1.76,1.76,0.831
1.8,3.6,1.96,1.96,0.826
0.76,1.52,1.92,1.92,0.844
2.12,4.24,1.4,1.4,0.645
3.72,7.44,1.84,1.84,0.576
3.2,6.4,1.44,1.44,0.526
1.64,3.28,1.0,1.0,0.589
0.24,0.48,1.52,1.52,0.747
2.96,5.92,1.24,1.24,0.524
3.76,7.52,1.08,1.08,0.429
1.32,2.64,1.56,1.56,0.81
2.68,5.36,1.04,1.04,0.484
0.0,0.0,1.32,1.32,0.215
3.48,6.96,1.64,1.64,0.546
0.8,1.6,1.16,1.16,0.823
1.88,3.76,1.2,1.2,0.641
2.4,4.8,1.6,1.6,0.679
1.08,2.16,1.36,1.36,0.831
2.68,5.36,1.8,1.8,0.661
0.52,1.04,1.72,1.72,0.826
1.6,3.2,1.76,1.76,0.805
1.84,3.68,1.96,1.96,0.817
2.16,4.32,1.4,1.4,0.647
0.8,1.6,1.92,1.92,0.851
3.76,7.52,1.84,1.84,0.591
3.24,6.48,1.44,1.44,0.515
1.68,3.36,1.0,1.0,0.579
0.28,0.56,1.52,1.52,0.772
2.72,5.44,1.04,1.04,0.447
3.0,6.0,1.24,1.24,0.493
3.8,7.6,1.08,1.08,0.393
1.36,2.72,1.56,1.56,0.814
0.04,0.08,1.32,1.32,0.376
0.84,1.68,1.16,1.16,0.822
1.92,3.84,1.2,1.2,0.638
2.44,4.88,1.6,1.6,0.656
3.52,7.04,1.64,1.64,0.565
0.56,1.12,1.72,1.72,0.832
1.12,2.24,1.36,1.36,0.81
2.72,5.44,1.8,1.8,0.636
1.88,3.76,1.96,1.96,0.801
1.64,3.28,1.76,1.76,0.812
0.84,1.68,1.92,1.92,0.852
2.2,4.4,1.4,1.4,0.662
3.8,7.6,1.84,1.84,0.555
3.28,6.56,1.44,1.44,0.537
1.72,3.44,1.0,1.0,0.541
0.32,0.64,1.52,1.52,0.799
3.84,7.68,1.08,1.08,0.389
3.04,6.08,1.24,1.24,0.5
1.4,2.8,1.56,1.56,0.842
2.76,5.52,1.04,1.04,0.45
0.08,0.16,1.32,1.32,0.508
3.56,7.12,1.64,1.64,0.577
1.96,3.92,1.2,1.2,0.644
0.88,1.76,1.16,1.16,0.809
2.48,4.96,1.6,1.6,0.64
0.6,1.2,1.72,1.72,0.814
1.16,2.32,1.36,1.36,0.8
2.24,4.48,1.4,1.4,0.647
1.92,3.84,1.96,1.96,0.82
2.76,5.52,1.8,1.8,0.668
1.68,3.36,1.76,1.76,0.809
0.88,1.76,1.92,1.92,0.854
3.32,6.64,1.44,1.44,0.507
3.84,7.68,1.84,1.84,0.56
1.76,3.52,1.0,1.0,0.575
0.36,0.72,1.52,1.52,0.82
1.44,2.88,1.56,1.56,0.801
3.08,6.16,1.24,1.24,0.486
3.88,7.76,1.08,1.08,0.384
0.12,0.24,1.32,1.32,0.609
2.8,5.6,1.04,1.04,0.453
2.52,5.04,1.6,1.6,0.66
3.6,7.2,1.64,1.64,0.529
0.64,1.28,1.72,1.72,0.86
2.0,4.0,1.2,1.2,0.611
0.92,1.84,1.16,1.16,0.821
1.2,2.4,1.36,1.36,0.806
2.28,4.56,1.4,1.4,0.626
2.8,5.6,1.8,1.8,0.662
0.92,1.84,1.92,1.92,0.876
1.72,3.44,1.76,1.76,0.788
1.96,3.92,1.96,1.96,0.795
3.88,7.76,1.84,1.84,0.535
3.36,6.72,1.44,1.44,0.525
1.8,3.6,1.0,1.0,0.574
0.4,0.8,1.52,1.52,0.805
1.48,2.96,1.56,1.56,0.767
0.16,0.32,1.32,1.32,0.69
2.84,5.68,1.04,1.04,0.445
3.12,6.24,1.24,1.24,0.474
3.92,7.84,1.08,1.08,0.396
3.64,7.28,1.64,1.64,0.525
0.68,1.36,1.72,1.72,0.831
1.24,2.48,1.36,1.36,0.805
0.96,1.92,1.16,1.16,0.829
2.56,5.12,1.6,1.6,0.657
2.04,4.08,1.2,1.2,0.591
2.32,4.64,1.4,1.4,0.63
2.84,5.68,1.8,1.8,0.666
0.96,1.92,1.92,1.92,0.861
1.76,3.52,1.76,1.76,0.803
2.0,4.0,1.96,1.96,0.781
3.92,7.84,1.84,1.84,0.563
3.4,6.8,1.44,1.44,0.524
1.84,3.68,1.0,1.0,0.55
0.44,0.88,1.52,1.52,0.827
0.2,0.4,1.32,1.32,0.698
3.16,6.32,1.24,1.24,0.493
1.52,3.04,1.56,1.56,0.791
2.88,5.76,1.04,1.04,0.469
3.96,7.92,1.08,1.08,0.39
3.68,7.36,1.64,1.64,0.545
0.72,1.44,1.72,1.72,0.859
1.28,2.56,1.36,1.36,0.799
1.0,2.0,1.16,1.16,0.797
2.08,4.16,1.2,1.2,0.59
2.6,5.2,1.6,1.6,0.638
2.88,5.76,1.8,1.8,0.662
1.8,3.6,1.76,1.76,0.787
1.0,2.0,1.92,1.92,0.866
2.36,4.72,1.4,1.4,0.604
2.04,4.08,1.96,1.96,0.801
3.96,7.92,1.84,1.84,0.542
3.44,6.88,1.44,1.44,0.498
1.88,3.76,1.0,1.0,0.49
0.48,0.96,1.52,1.52,0.822
0.24,0.48,1.32,1.32,0.75
3.2,6.4,1.24,1.24,0.488
1.56,3.12,1.56,1.56,0.78
4.0,8.0,1.08,1.08,0.389
2.92,5.84,1.04,1.04,0.434
3.72,7.44,1.64,1.64,0.531
1.04,2.08,1.16,1.16,0.775
2.12,4.24,1.2,1.2,0.604
1.32,2.64,1.36,1.36,0.779
0.76,1.52,1.72,1.72,0.856
2.92,5.84,1.8,1.8,0.633
2.4,4.8,1.4,1.4,0.613
2.64,5.28,1.6,1.6,0.593
1.04,2.08,1.92,1.92,0.867
1.84,3.68,1.76,1.76,0.782
2.08,4.16,1.96,1.96,0.793
4.0,8.0,1.84,1.84,0.559
3.48,6.96,1.44,1.44,0.502
1.92,3.84,1.0,1.0,0.552
0.52,1.04,1.52,1.52,0.809
0.28,0.56,1.32,1.32,0.766
3.76,7.52,1.64,1.64,0.507
2.96,5.92,1.04,1.04,0.448
3.24,6.48,1.24,1.24,0.484
0.0,0.0,1.12,1.12,0.185
1.6,3.2,1.56,1.56,0.79
2.16,4.32,1.2,1.2,0.572
1.36,2.72,1.36,1.36,0.765
1.08,2.16,1.16,1.16,0.802
1.08,2.16,1.92,1.92,0.87
0.8,1.6,1.72,1.72,0.857
2.96,5.92,1.8,1.8,0.655
2.12,4.24,1.96,1.96,0.778
2.44,4.88,1.4,1.4,0.595
2.68,5.36,1.6,1.6,0.654
1.88,3.76,1.76,1.76,0.782
0.0,0.0,1.88,1.88,0.199
3.52,7.04,1.44,1.44,0.491
1.96,3.92,1.0,1.0,0.554
0.56,1.12,1.52,1.52,0.844
3.0,6.0,1.04,1.04,0.437
0.04,0.08,1.12,1.12,0.353
0.32,0.64,1.32,1.32,0.79
3.8,7.6,1.64,1.64,0.511
1.64,3.28,1.56,1.56,0.769
3.28,6.56,1.24,1.24,0.493
1.4,2.8,1.36,1.36,0.781
2.2,4.4,1.2,1.2,0.587
1.12,2.24,1.92,1.92,0.877
1.12,2.24,1.16,1.16,0.768
2.16,4.32,1.96,1.96,0.797
0.84,1.68,1.72,1.72,0.847
2.72,5.44,1.6,1.6,0.634
2.48,4.96,1.4,1.4,0.604
3.0,6.0,1.8,1.8,0.636
1.92,3.84,1.76,1.76,0.78
0.04,0.08,1.88,1.88,0.307
3.56,7.12,1.44,1.44,0.507
2.0,4.0,1.0,1.0,0.535
0.6,1.2,1.52,1.52,0.836
3.84,7.68,1.64,1.64,0.505
3.04,6.08,1.04,1.04,0.429
0.08,0.16,1.12,1.12,0.528
1.68,3.36,1.56,1.56,0.785
0.36,0.72,1.32,1.32,0.811
3.32,6.64,1.24,1.24,0.484
1.44,2.88,1.36,1.36,0.771
1.16,2.32,1.16,1.16,0.767
2.24,4.48,1.2,1.2,0.571
2.2,4.4,1.96,1.96,0.781
1.16,2.32,1.92,1.92,0.872
2.76,5.52,1.6,1.6,0.605
2.52,5.04,1.4,1.4,0.602
0.88,1.76,1.72,1.72,0.856
3.04,6.08,1.8,1.8,0.644
1.96,3.92,1.76,1.76,0.785
0.08,0.16,1.88,1.88,0.418
3.6,7.2,1.44,1.44,0.471
2.04,4.08,1.0,1.0,0.53
0.64,1.28,1.52,1.52,0.865
3.88,7.76,1.64,1.64,0.498
3.08,6.16,1.04,1.04,0.413
0.12,0.24,1.12,1.12,0.635
1.72,3.44,1.56,1.56,0.756
3.36,6.72,1.24,1.24,0.442
0.4,0.8,1.32,1.32,0.82
1.48,2.96,1.36,1.36,0.759
2.24,4.48,1.96,1.96,0.778
2.28,4.56,1.2,1.2,0.565
2.56,5.12,1.4,1.4,0.599
1.2,2.4,1.16,1.16,0.745
2.8,5.6,1.6,1.6,0.613
1.2,2.4,1.92,1.92,0.858
0.92,1.84,1.72,1.72,0.864
2.0,4.0,1.76,1.76,0.77
3.08,6.16,1.8,1.8,0.637
0.12,0.24,1.88,1.88,0.53
3.64,7.28,1.44,1.44,0.501
2.08,4.16,1.0,1.0,0.513
3.92,7.84,1.64,1.64,0.52
3.12,6.24,1.04,1.04,0.437
0.68,1.36,1.52,1.52,0.857
0.16,0.32,1.12,1.12,0.681
0.44,0.88,1.32,1.32,0.819
2.28,4.56,1.96,1.96,0.771
1.76,3.52,1.56,1.56,0.784
3.4,6.8,1.24,1.24,0.445
1.52,3.04,1.36,1.36,0.752
1.24,2.48,1.92,1.92,0.851
2.32,4.64,1.2,1.2,0.545
2.6,5.2,1.4,1.4,0.603
1.24,2.48,1.16,1.16,0.734
2.84,5.68,1.6,1.6,0.635
2.04,4.08,1.76,1.76,0.74
0.96,1.92,1.72,1.72,0.861
0.16,0.32,1.88,1.88,0.634
3.12,6.24,1.8,1.8,0.648
3.68,7.36,1.44,1.44,0.486
2.12,4.24,1.0,1.0,0.487
3.96,7.92,1.64,1.64,0.472
0.2,0.4,1.12,1.12,0.72
3.16,6.32,1.04,1.04,0.406
0.72,1.44,1.52,1.52,0.87
0.48,0.96,1.32,1.32,0.834
2.32,4.64,1.96,1.96,0.763
3.44,6.88,1.24,1.24,0.425
1.8,3.6,1.56,1.56,0.734
1.56,3.12,1.36,1.36,0.756
1.28,2.56,1.16,1.16,0.709
2.36,4.72,1.2,1.2,0.567
1.28,2.56,1.92,1.92,0.859
2.88,5.76,1.6,1.6,0.6
2.64,5.28,1.4,1.4,0.576
2.08,4.16,1.76,1.76,0.743
1.0,2.0,1.72,1.72,0.861
3.16,6.32,1.8,1.8,0.633
0.2,0.4,1.88,1.88,0.626
3.72,7.44,1.44,1.44,0.481
2.16,4.32,1.0,1.0,0.503
4.0,8.0,1.64,1.64,0.505
0.24,0.48,1.12,1.12,0.769
0.52,1.04,1.32,1.32,0.852
3.2,6.4,1.04,1.04,0.441
0.76,1.52,1.52,1.52,0.854
3.48,6.96,1.24,1.24,0.469
1.84,3.68,1.56,1.56,0.767
2.36,4.72,1.96,1.96,0.761
1.6,3.2,1.36,1.36,0.728
1.32,2.64,1.16,1.16,0.72
1.32,2.64,1.92,1.92,0.854
2.68,5.36,1.4,1.4,0.572
2.92,5.84,1.6,1.6,0.588
2.4,4.8,1.2,1.2,0.534
3.2,6.4,1.8,1.8,0.614
2.12,4.24,1.76,1.76,0.752
1.04,2.08,1.72,1.72,0.866
0.24,0.48,1.88,1.88,0.664
3.76,7.52,1.44,1.44,0.47
2.2,4.4,1.0,1.0,0.49
0.0,0.0,1.68,1.68,0.181
0.28,0.56,1.12,1.12,0.784
0.56,1.12,1.32,1.32,0.855
3.24,6.48,1.04,1.04,0.383
1.88,3.76,1.56,1.56,0.762
0.8,1.6,1.52,1.52,0.85
3.52,7.04,1.24,1.24,0.453
2.4,4.8,1.96,1.96,0.742
1.64,3.28,1.36,1.36,0.694
1.36,2.72,1.92,1.92,0.866
2.44,4.88,1.2,1.2,0.564
2.72,5.44,1.4,1.4,0.579
1.36,2.72,1.16,1.16,0.719
2.96,5.92,1.6,1.6,0.598
2.16,4.32,1.76,1.76,0.723
3.24,6.48,1.8,1.8,0.598
0.28,0.56,1.88,1.88,0.744
1.08,2.16,1.72,1.72,0.872
3.8,7.6,1.44,1.44,0.462
2.24,4.48,1.0,1.0,0.481
0.04,0.08,1.68,1.68,0.308
0.32,0.64,1.12,1.12,0.826
0.6,1.2,1.32,1.32,0.831
3.28,6.56,1.04,1.04,0.419
1.92,3.84,1.56,1.56,0.754
0.84,1.68,1.52,1.52,0.877
3.56,7.12,1.24,1.24,0.43
2.44,4.88,1.96,1.96,0.737
1.68,3.36,1.36,1.36,0.747
2.48,4.96,1.2,1.2,0.522
1.4,2.8,1.92,1.92,0.848
1.4,2.8,1.16,1.16,0.694
2.76,5.52,1.4,1.4,0.568
3.0,6.0,1.6,1.6,0.579
2.2,4.4,1.76,1.76,0.763
3.28,6.56,1.8,1.8,0.611
1.12,2.24,1.72,1.72,0.857
0.32,0.64,1.88,1.88,0.766
3.84,7.68,1.44,1.44,0.455
2.28,4.56,1.0,1.0,0.492
0.08,0.16,1.68,1.68,0.48
0.36,0.72,1.12,1.12,0.822
3.32,6.64,1.04,1.04,0.413
0.64,1.28,1.32,1.32,0.844
1.96,3.92,1.56,1.56,0.727
2.48,4.96,1.96,1.96,0.738
0.88,1.76,1.52,1.52,0.842
3.6,7.2,1.24,1.24,0.424
1.72,3.44,1.36,1.36,0.728
2.8,5.6,1.4,1.4,0.545
1.44,2.88,1.92,1.92,0.836
1.44,2.88,1.16,1.16,0.74
2.52,5.04,1.2,1.2,0.508
3.32,6.64,1.8,1.8,0.598
3.04,6.08,1.6,1.6,0.621
2.24,4.48,1.76,1.76,0.725
1.16,2.32,1.72,1.72,0.84
2.32,4.64,1.0,1.0,0.504
0.36,0.72,1.88,1.88,0.761
3.88,7.76,1.44,1.44,0.464
0.12,0.24,1.68,1.68,0.549
0.4,0.8,1.12,1.12,0.824
0.68,1.36,1.32,1.32,0.854
3.36,6.72,1.04,1.04,0.399
2.0,4.0,1.56,1.56,0.706
3.64,7.28,1.24,1.24,0.429
0.92,1.84,1.52,1.52,0.861
1.76,3.52,1.36,1.36,0.691
2.84,5.68,1.4,1.4,0.517
2.52,5.04,1.96,1.96,0.736
1.48,2.96,1.92,1.92,0.849
1.48,2.96,1.16,1.16,0.706
2.56,5.12,1.2,1.2,0.549
3.36,6.72,1.8,1.8,0.59
3.08,6.16,1.6,1.6,0.563
2.36,4.72,1.0,1.0,0.492
2.28,4.56,1.76,1.76,0.711
1.2,2.4,1.72,1.72,0.863
0.4,0.8,1.88,1.88,0.774
3.92,7.84,1.44,1.44,0.486
0.44,0.88,1.12,1.12,0.833
0.16,0.32,1.68,1.68,0.625
0.72,1.44,1.32,1.32,0.854
3.4,6.8,1.04,1.04,0.396
2.04,4.08,1.56,1.56,0.731
3.68,7.36,1.24,1.24,0.42
2.88,5.76,1.4,1.4,0.519
0.96,1.92,1.52,1.52,0.866
1.8,3.6,1.36,1.36,0.691
2.56,5.12,1.96,1.96,0.721
1.52,3.04,1.16,1.16,0.702
1.52,3.04,1.92,1.92,0.853
2.6,5.2,1.2,1.2,0.535
3.12,6.24,1.6,1.6,0.582
3.4,6.8,1.8,1.8,0.585
2.4,4.8,1.0,1.0,0.477
2.32,4.64,1.76,1.76,0.695
1.24,2.48,1.72,1.72,0.872
0.44,0.88,1.88,1.88,0.796
3.96,7.92,1.44,1.44,0.458
0.2,0.4,1.68,1.68,0.651
3.44,6.88,1.04,1.04,0.38
0.48,0.96,1.12,1.12,0.835
0.76,1.52,1.32,1.32,0.85
2.08,4.16,1.56,1.56,0.699
1.0,2.0,1.52,1.52,0.82
3.72,7.44,1.24,1.24,0.427
2.92,5.84,1.4,1.4,0.556
2.6,5.2,1.96,1.96,0.73
1.84,3.68,1.36,1.36,0.687
1.56,3.12,1.16,1.16,0.675
1.56,3.12,1.92,1.92,0.834
2.64,5.28,1.2,1.2,0.495
3.16,6.32,1.6,1.6,0.597
3.44,6.88,1.8,1.8,0.602
2.44,4.88,1.0,1.0,0.443
1.28,2.56,1.72,1.72,0.847
0.48,0.96,1.88,1.88,0.811
4.0,8.0,1.44,1.44,0.451
2.36,4.72,1.76,1.76,0.715
0.24,0.48,1.68,1.68,0.72
3.48,6.96,1.04,1.04,0.396
0.52,1.04,1.12,1.12,0.859
0.8,1.6,1.32,1.32,0.838
1.04,2.08,1.52,1.52,0.871
3.76,7.52,1.24,1.24,0.416
2.12,4.24,1.56,1.56,0.681
2.96,5.92,1.4,1.4,0.537
1.88,3.76,1.36,1.36,0.679
1.6,3.2,1.16,1.16,0.663
2.64,5.28,1.96,1.96,0.723
1.6,3.2,1.92,1.92,0.847
2.68,5.36,1.2,1.2,0.535
3.48,6.96,1.8,1.8,0.593
3.2,6.4,1.6,1.6,0.547
2.48,4.96,1.0,1.0,0.484
0.52,1.04,1.88,1.88,0.817
1.32,2.64,1.72,1.72,0.82
0.0,0.0,1.48,1.48,0.205
2.4,4.8,1.76,1.76,0.728
0.56,1.12,1.12,1.12,0.833
3.52,7.04,1.04,1.04,0.375
0.84,1.68,1.32,1.32,0.849
0.28,0.56,1.68,1.68,0.756
1.08,2.16,1.52,1.52,0.845
3.8,7.6,1.24,1.24,0.429
3.0,6.0,1.4,1.4,0.526
2.16,4.32,1.56,1.56,0.703
1.92,3.84,1.36,1.36,0.695
2.72,5.44,1.2,1.2,0.496
1.64,3.28,1.16,1.16,0.664
1.64,3.28,1.92,1.92,0.827
2.68,5.36,1.96,1.96,0.727
3.52,7.04,1.8,1.8,0.595
3.24,6.48,1.6,1.6,0.569
0.56,1.12,1.88,1.88,0.828
2.52,5.04,1.0,1.0,0.475
1.36,2.72,1.72,1.72,0.842
0.04,0.08,1.48,1.48,0.343
2.44,4.88,1.76,1.76,0.708
0.88,1.76,1.32,1.32,0.846
3.56,7.12,1.04,1.04,0.371
0.6,1.2,1.12,1.12,0.851
0.32,0.64,1.68,1.68,0.759
3.04,6.08,1.4,1.4,0.539
3.84,7.68,1.24,1.24,0.401
1.12,2.24,1.52,1.52,0.816
2.2,4.4,1.56,1.56,0.683
1.96,3.92,1.36,1.36,0.666
2.76,5.52,1.2,1.2,0.525
1.68,3.36,1.92,1.92,0.834
1.68,3.36,1.16,1.16,0.674
2.72,5.44,1.96,1.96,0.694
3.56,7.12,1.8,1.8,0.561
3.28,6.56,1.6,1.6,0.567
0.6,1.2,1.88,1.88,0.854
1.4,2.8,1.72,1.72,0.849
0.08,0.16,1.48,1.48,0.463
2.56,5.12,1.0,1.0,0.45
2.48,4.96,1.76,1.76,0.704
0.92,1.84,1.32,1.32,0.816
3.6,7.2,1.04,1.04,0.4
0.64,1.28,1.12,1.12,0.838
3.88,7.76,1.24,1.24,0.413
0.36,0.72,1.68,1.68,0.81
3.08,6.16,1.4,1.4,0.502
2.24,4.48,1.56,1.56,0.677
1.16,2.32,1.52,1.52,0.837
2.8,5.6,1.2,1.2,0.49
1.72,3.44,1.92,1.92,0.829
2.0,4.0,1.36,1.36,0.667
1.72,3.44,1.16,1.16,0.66
2.76,5.52,1.96,1.96,0.72
3.6,7.2,1.8,1.8,0.568
3.32,6.64,1.6,1.6,0.523
0.64,1.28,1.88,1.88,0.865
1.44,2.88,1.72,1.72,0.826
2.6,5.2,1.0,1.0,0.433
0.12,0.24,1.48,1.48,0.543
2.52,5.04,1.76,1.76,0.678
0.96,1.92,1.32,1.32,0.839
3.64,7.28,1.04,1.04,0.394
0.68,1.36,1.12,1.12,0.814
3.92,7.84,1.24,1.24,0.413
3.12,6.24,1.4,1.4,0.5
0.4,0.8,1.68,1.68,0.824
2.28,4.56,1.56,1.56,0.673
1.2,2.4,1.52,1.52,0.835
1.76,3.52,1.92,1.92,0.821
2.84,5.68,1.2,1.2,0.498
1.76,3.52,1.16,1.16,0.649
2.04,4.08,1.36,1.36,0.655
3.64,7.28,1.8,1.8,0.553
2.8,5.6,1.96,1.96,0.714
3.36,6.72,1.6,1.6,0.553
0.68,1.36,1.88,1.88,0.852
2.64,5.28,1.0,1.0,0.445
1.48,2.96,1.72,1.72,0.837
0.16,0.32,1.48,1.48,0.664
2.56,5.12,1.76,1.76,0.687
3.68,7.36,1.04,1.04,0.39
1.0,2.0,1.32,1.32,0.807
3.96,7.92,1.24,1.24,0.417
0.72,1.44,1.12,1.12,0.842
2.32,4.64,1.56,1.56,0.672
3.16,6.32,1.4,1.4,0.534
0.44,0.88,1.68,1.68,0.803
1.24,2.48,1.52,1.52,0.847
2.88,5.76,1.2,1.2,0.496
1.8,3.6,1.92,1.92,0.804
2.08,4.16,1.36,1.36,0.659
1.8,3.6,1.16,1.16,0.633
3.68,7.36,1.8,1.8,0.559
2.84,5.68,1.96,1.96,0.696
2.68,5.36,1.0,1.0,0.448
3.4,6.8,1.6,1.6,0.545
0.72,1.44,1.88,1.88,0.857
0.2,0.4,1.48,1.48,0.689
1.52,3.04,1.72,1.72,0.802
2.6,5.2,1.76,1.76,0.677
1.04,2.08,1.32,1.32,0.816
3.72,7.44,1.04,1.04,0.367
0.76,1.52,1.12,1.12,0.837
4.0,8.0,1.24,1.24,0.41
3.2,6.4,1.4,1.4,0.537
0.48,0.96,1.68,1.68,0.799
2.36,4.72,1.56,1.56,0.647
2.92,5.84,1.2,1.2,0.475
1.28,2.56,1.52,1.52,0.815
1.84,3.68,1.16,1.16,0.619
2.12,4.24,1.36,1.36,0.632
1.84,3.68,1.92,1.92,0.819
3.72,7.44,1.8,1.8,0.554
2.88,5.76,1.96,1.96,0.684
2.72,5.44,1.0,1.0,0.438
3.44,6.88,1.6,1.6,0.56
0.24,0.48,1.48,1.48,0.734
0.76,1.52,1.88,1.88,0.854
1.56,3.12,1.72,1.72,0.811
2.64,5.28,1.76,1.76,0.674
0.8,1.6,1.12,1.12,0.804
3.76,7.52,1.04,1.04,0.359
1.08,2.16,1.32,1.32,0.829
0.0,0.0,1.28,1.28,0.194
2.4,4.8,1.56,1.56,0.658
3.24,6.48,1.4,1.4,0.505
0.52,1.04,1.68,1.68,0.834
2.96,5.92,1.2,1.2,0.486
1.32,2.64,1.52,1.52,0.819
2.16,4.32,1.36,1.36,0.602
1.88,3.76,1.92,1.92,0.806
1.88,3.76,1.16,1.16,0.578
2.92,5.84,1.96,1.96,0.693
3.76,7.52,1.8,1.8,0.561
2.76,5.52,1.0,1.0,0.425
0.8,1.6,1.88,1.88,0.849
0.28,0.56,1.48,1.48,0.763
3.48,6.96,1.6,1.6,0.541
1.6,3.2,1.72,1.72,0.828
2.68,5.36,1.76,1.76,0.688
3.8,7.6,1.04,1.04,0.396
0.84,1.68,1.12,1.12,0.786
1.12,2.24,1.32,1.32,0.799
0.04,0.08,1.28,1.28,0.354
2.44,4.88,1.56,1.56,0.647
3.28,6.56,1.4,1.4,0.493
0.56,1.12,1.68,1.68,0.827
1.36,2.72,1.52,1.52,0.796
2.2,4.4,1.36,1.36,0.635
1.92,3.84,1.16,1.16,0.598
3.0,6.0,1.2,1.2,0.454
1.92,3.84,1.92,1.92,0.826
2.96,5.92,1.96,1.96,0.677
3.8,7.6,1.8,1.8,0.566
2.8,5.6,1.0,1.0,0.431
0.84,1.68,1.88,1.88,0.866
