sigx1,sigx2,sigh1,sigh2,success_rate
2.36,4.72,0.84,0.84,0.415
0.48,0.96,0.96,0.96,0.821
2.32,4.64,0.08,0.08,0.212
1.24,2.48,0.04,0.04,0.19
2.88,5.76,0.48,0.48,0.311
3.96,7.92,0.52,0.52,0.286
1.52,3.04,0.24,0.24,0.267
3.44,6.88,0.88,0.88,0.357
2.6,5.2,0.28,0.28,0.275
0.16,0.32,0.0,0.0,0.158
0.72,1.44,0.4,0.4,0.398
3.4,6.8,0.12,0.12,0.226
1.28,2.56,0.8,0.8,0.586
1.8,3.6,0.44,0.44,0.326
3.68,7.36,0.32,0.32,0.261
3.16,6.32,0.68,0.68,0.333
1.0,2.0,0.6,0.6,0.512
0.2,0.4,0.76,0.76,0.744
2.08,4.16,0.64,0.64,0.378
0.44,0.88,0.2,0.2,0.267
2.4,4.8,0.84,0.84,0.417
2.36,4.72,0.08,0.08,0.219
0.52,1.04,0.96,0.96,0.816
2.92,5.84,0.48,0.48,0.308
1.56,3.12,0.24,0.24,0.271
1.28,2.56,0.04,0.04,0.19
2.64,5.28,0.28,0.28,0.256
3.44,6.88,0.12,0.12,0.247
3.48,6.96,0.88,0.88,0.348
4.0,8.0,0.52,0.52,0.278
0.76,1.52,0.4,0.4,0.406
1.84,3.68,0.44,0.44,0.325
1.04,2.08,0.6,0.6,0.52
3.72,7.44,0.32,0.32,0.251
0.2,0.4,0.0,0.0,0.138
1.32,2.64,0.8,0.8,0.566
0.24,0.48,0.76,0.76,0.738
0.48,0.96,0.2,0.2,0.259
3.2,6.4,0.68,0.68,0.317
2.12,4.24,0.64,0.64,0.366
2.44,4.88,0.84,0.84,0.426
0.56,1.12,0.96,0.96,0.812
2.4,4.8,0.08,0.08,0.251
2.96,5.92,0.48,0.48,0.286
1.32,2.64,0.04,0.04,0.184
3.48,6.96,0.12,0.12,0.231
2.68,5.36,0.28,0.28,0.26
1.6,3.2,0.24,0.24,0.255
0.0,0.0,0.56,0.56,0.216
3.52,7.04,0.88,0.88,0.372
1.88,3.76,0.44,0.44,0.312
1.08,2.16,0.6,0.6,0.496
0.28,0.56,0.76,0.76,0.783
1.36,2.72,0.8,0.8,0.546
3.76,7.52,0.32,0.32,0.266
0.24,0.48,0.0,0.0,0.123
0.52,1.04,0.2,0.2,0.254
0.8,1.6,0.4,0.4,0.405
3.24,6.48,0.68,0.68,0.311
2.16,4.32,0.64,0.64,0.395
2.48,4.96,0.84,0.84,0.414
3.0,6.0,0.48,0.48,0.311
2.44,4.88,0.08,0.08,0.226
0.6,1.2,0.96,0.96,0.809
1.64,3.28,0.24,0.24,0.273
1.36,2.72,0.04,0.04,0.182
0.04,0.08,0.56,0.56,0.409
1.4,2.8,0.8,0.8,0.555
2.72,5.44,0.28,0.28,0.243
3.52,7.04,0.12,0.12,0.226
1.12,2.24,0.6,0.6,0.468
3.56,7.12,0.88,0.88,0.37
0.32,0.64,0.76,0.76,0.781
1.92,3.84,0.44,0.44,0.313
3.8,7.6,0.32,0.32,0.251
0.56,1.12,0.2,0.2,0.263
0.84,1.68,0.4,0.4,0.423
0.28,0.56,0.0,0.0,0.119
