$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.9,0.9,-0.8,1.2,0.666
0.8,0.8,-2.9,-0.8999999999999999,0.68
1.2,1.2,5.5,7.5,0.092
0.0,0.0,-3.5,-1.5,0.732
0.5,0.5,7.0,9.0,0.111
0.1,0.1,-1.3,0.7,0.621
1.0,1.0,1.4,3.4,0.235
0.4,0.4,5.0,7.0,0.113
0.3,0.3,2.9,4.9,0.106
0.2,0.2,0.8,2.8,0.223
0.6,0.6,9.2,11.2,0.103
1.1,1.1,3.5,5.5,0.118
0.8,0.8,-2.8,-0.7999999999999998,0.706
0.9,0.9,-0.7,1.3,0.64
1.2,1.2,5.6,7.6,0.096
0.0,0.0,-3.4,-1.4,0.717
0.5,0.5,7.1,9.1,0.102
1.0,1.0,1.5,3.5,0.235
0.1,0.1,-1.2,0.8,0.611
0.4,0.4,5.1,7.1,0.092
0.3,0.3,3.0,5.0,0.108
0.2,0.2,0.9,2.9,0.215
0.6,0.6,9.3,11.3,0.108
0.8,0.8,-2.7,-0.7000000000000002,0.727
0.9,0.9,-0.6,1.4,0.631
1.1,1.1,3.6,5.6,0.104
0.0,0.0,-3.3,-1.2999999999999998,0.727
1.2,1.2,5.7,7.7,0.1
0.5,0.5,7.2,9.2,0.099
0.1,0.1,-1.1,0.8999999999999999,0.604
1.0,1.0,1.6,3.6,0.236
0.4,0.4,5.2,7.2,0.111
0.3,0.3,3.1,5.1,0.104
0.2,0.2,1.0,3.0,0.186
0.8,0.8,-2.6,-0.6000000000000001,0.707
0.6,0.6,9.4,11.4,0.097
0.9,0.9,-0.5,1.5,0.638
1.1,1.1,3.7,5.7,0.115
0.0,0.0,-3.2,-1.2000000000000002,0.71
1.2,1.2,5.8,7.8,0.098
0.5,0.5,7.3,9.3,0.086
0.1,0.1,-1.0,1.0,0.567
0.4,0.4,5.3,7.3,0.116
1.0,1.0,1.7,3.7,0.195
0.3,0.3,3.2,5.2,0.114
0.2,0.2,1.1,3.1,0.174
0.6,0.6,9.5,11.5,0.085
0.8,0.8,-2.5,-0.5,0.723
0.9,0.9,-0.4,1.6,0.633
1.1,1.1,3.8,5.8,0.12
1.2,1.2,5.9,7.9,0.097
0.0,0.0,-3.1,-1.1,0.716
0.5,0.5,7.4,9.4,0.107
0.4,0.4,5.4,7.4,0.095
0.1,0.1,-0.9,1.1,0.56
1.0,1.0,1.8,3.8,0.186
0.3,0.3,3.3,5.3,0.091
0.2,0.2,1.2,3.2,0.163
0.6,0.6,9.6,11.6,0.107
0.8,0.8,-2.4,-0.3999999999999999,0.758
0.9,0.9,-0.3,1.7,0.574
1.2,1.2,6.0,8.0,0.104
1.1,1.1,3.9,5.9,0.124
0.5,0.5,7.5,9.5,0.11
0.0,0.0,-3.0,-1.0,0.728
0.1,0.1,-0.8,1.2,0.52
1.0,1.0,1.9,3.9,0.178
0.4,0.4,5.5,7.5,0.115
0.2,0.2,1.3,3.3,0.17
0.3,0.3,3.4,5.4,0.108
0.6,0.6,9.7,11.7,0.107
0.8,0.8,-2.3,-0.2999999999999998,0.708
0.9,0.9,-0.2,1.8,0.582
1.2,1.2,6.1,8.1,0.09
1.1,1.1,4.0,6.0,0.095
0.5,0.5,7.6,9.6,0.11
0.1,0.1,-0.7,1.3,0.502
0.0,0.0,-2.9,-0.8999999999999999,0.751
1.0,1.0,2.0,4.0,0.173
0.4,0.4,5.6,7.6,0.1
0.2,0.2,1.4,3.4,0.16
