,$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
8561,6.0,11.0,6.1,11.1,0.64
8562,6.0,11.0,6.2,11.2,0.629
8563,6.0,11.0,6.3,11.3,0.591
8564,6.0,11.0,6.4,11.4,0.567
8565,6.0,11.0,6.5,11.5,0.565
8566,6.0,11.0,6.6,11.6,0.555
8567,6.0,11.0,6.7,11.7,0.522
8568,6.0,11.0,6.8,11.8,0.49
8569,6.0,11.0,6.9,11.9,0.493
8570,6.0,11.0,7.0,12.0,0.494
8571,6.0,11.0,7.1,12.1,0.463
8572,6.0,11.0,7.2,12.2,0.451
8573,6.0,11.0,7.3,12.3,0.415
8574,6.0,11.0,7.4,12.4,0.369
8575,6.0,11.0,7.5,12.5,0.391
8576,6.0,11.0,7.6,12.6,0.338
8577,6.0,11.0,7.7,12.7,0.35
8578,6.0,11.0,7.8,12.8,0.341
8579,6.0,11.0,7.9,12.9,0.349
8580,6.0,11.0,8.0,13.0,0.331
8581,6.0,11.0,8.1,13.1,0.288
8582,6.0,11.0,8.2,13.2,0.298
8583,6.0,11.0,8.3,13.3,0.278
8584,6.0,11.0,8.4,13.4,0.259
8585,6.0,11.0,8.5,13.5,0.262
8586,6.0,11.0,8.6,13.6,0.272
8587,6.0,11.0,8.7,13.7,0.241
8588,6.0,11.0,8.8,13.8,0.273
8589,6.0,11.0,8.9,13.9,0.256
8590,6.0,11.0,9.0,14.0,0.248
8591,6.0,11.0,9.1,14.1,0.258
8592,6.0,11.0,9.2,14.2,0.257
8593,6.0,11.0,9.3,14.3,0.218
8594,6.0,11.0,9.4,14.4,0.256
8595,6.0,11.0,9.5,14.5,0.231
8596,6.0,11.0,9.6,14.6,0.231
8597,6.0,11.0,9.7,14.7,0.212
8598,6.0,11.0,9.8,14.8,0.218
8599,6.0,11.0,9.9,14.9,0.235
8600,6.0,11.0,10.0,15.0,0.229
8601,6.1,11.1,-4.0,1.0,0.087
8602,6.1,11.1,-3.9,1.1,0.103
8603,6.1,11.1,-3.8,1.2000000000000002,0.116
8604,6.1,11.1,-3.7,1.2999999999999998,0.105
8605,6.1,11.1,-3.6,1.4,0.095
8606,6.1,11.1,-3.5,1.5,0.105
8607,6.1,11.1,-3.4,1.6,0.107
8608,6.1,11.1,-3.3,1.7000000000000002,0.107
8609,6.1,11.1,-3.2,1.7999999999999998,0.138
8610,6.1,11.1,-3.1,1.9,0.135
8611,6.1,11.1,-3.0,2.0,0.136
8612,6.1,11.1,-2.9,2.1,0.131
8613,6.1,11.1,-2.8,2.2,0.16
8614,6.1,11.1,-2.7,2.3,0.147
8615,6.1,11.1,-2.6,2.4,0.198
8616,6.1,11.1,-2.5,2.5,0.168
8617,6.1,11.1,-2.4,2.6,0.2
8618,6.1,11.1,-2.3,2.7,0.19
8619,6.1,11.1,-2.2,2.8,0.188
8620,6.1,11.1,-2.1,2.9,0.247
8621,6.1,11.1,-2.0,3.0,0.262
8622,6.1,11.1,-1.9,3.1,0.29
8623,6.1,11.1,-1.8,3.2,0.271
8624,6.1,11.1,-1.7,3.3,0.317
8625,6.1,11.1,-1.6,3.4,0.367
8626,6.1,11.1,-1.5,3.5,0.349
8627,6.1,11.1,-1.4,3.6,0.408
8628,6.1,11.1,-1.3,3.7,0.422
8629,6.1,11.1,-1.2,3.8,0.447
8630,6.1,11.1,-1.1,3.9,0.468
8631,6.1,11.1,-1.0,4.0,0.508
8632,6.1,11.1,-0.9,4.1,0.525
8633,6.1,11.1,-0.8,4.2,0.534
8634,6.1,11.1,-0.7,4.3,0.541
8635,6.1,11.1,-0.6,4.4,0.594
8636,6.1,11.1,-0.5,4.5,0.6
8637,6.1,11.1,-0.4,4.6,0.6
8638,6.1,11.1,-0.3,4.7,0.648
8639,6.1,11.1,-0.2,4.8,0.662
8640,6.1,11.1,-0.1,4.9,0.655
8641,6.1,11.1,0.0,5.0,0.648
8642,6.1,11.1,0.1,5.1,0.651
8643,6.1,11.1,0.2,5.2,0.651
8644,6.1,11.1,0.3,5.3,0.672
8645,6.1,11.1,0.4,5.4,0.658
8646,6.1,11.1,0.5,5.5,0.666
8647,6.1,11.1,0.6,5.6,0.647
8648,6.1,11.1,0.7,5.7,0.65
8649,6.1,11.1,0.8,5.8,0.674
8650,6.1,11.1,0.9,5.9,0.665
8651,6.1,11.1,1.0,6.0,0.628
8652,6.1,11.1,1.1,6.1,0.642
8653,6.1,11.1,1.2,6.2,0.598
8654,6.1,11.1,1.3,6.3,0.597
8655,6.1,11.1,1.4,6.4,0.615
8656,6.1,11.1,1.5,6.5,0.594
8657,6.1,11.1,1.6,6.6,0.561
8658,6.1,11.1,1.7,6.7,0.559
