$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
7.2,9.2,-3.8,-1.7999999999999998,0.097
11.3,13.3,-0.8,1.2,0.104
-2.5,-0.5,-3.5,-1.5,0.771
3.1,5.1,0.5,2.5,0.311
7.9,9.9,-3.3,-1.2999999999999998,0.097
12.1,14.1,-0.3,1.7,0.097
13.5,15.5,0.7,2.7,0.097
8.6,10.6,-2.8,-0.7999999999999998,0.097
9.3,11.3,-2.3,-0.2999999999999998,0.097
10.7,12.7,-1.3,0.7,0.097
1.0,3.0,-1.0,1.0,0.512
0.3,2.3,-1.5,0.5,0.544
2.4,4.4,0.0,2.0,0.365
-0.3,1.7,-2.0,0.0,0.605
1.7,3.7,-0.5,1.5,0.425
-1.1,0.8999999999999999,-2.5,-0.5,0.662
10.0,12.0,-1.8,0.19999999999999996,0.097
-3.2,-1.2000000000000002,-4.0,-2.0,0.812
3.2,5.2,0.5,2.5,0.325
7.3,9.3,-3.8,-1.7999999999999998,0.094
12.8,14.8,0.2,2.2,0.097
-2.4,-0.3999999999999999,-3.5,-1.5,0.736
8.0,10.0,-3.3,-1.2999999999999998,0.094
-1.7,0.30000000000000004,-3.0,-1.0,0.717
11.4,13.4,-0.8,1.2,0.097
12.2,14.2,-0.3,1.7,0.094
13.6,15.6,0.7,2.7,0.094
9.4,11.4,-2.3,-0.2999999999999998,0.094
8.7,10.7,-2.8,-0.7999999999999998,0.094
1.1,3.1,-1.0,1.0,0.48
10.8,12.8,-1.3,0.7,0.094
7.4,9.4,-3.8,-1.7999999999999998,0.112
10.1,12.1,-1.8,0.19999999999999996,0.094
1.8,3.8,-0.5,1.5,0.393
-0.2,1.8,-2.0,0.0,0.54
0.4,2.4,-1.5,0.5,0.539
-3.1,-1.1,-4.0,-2.0,0.78
2.5,4.5,0.0,2.0,0.346
3.3,5.3,0.5,2.5,0.288
-1.0,1.0,-2.5,-0.5,0.651
12.9,14.9,0.2,2.2,0.094
-2.3,-0.2999999999999998,-3.5,-1.5,0.73
-1.6,0.3999999999999999,-3.0,-1.0,0.718
8.1,10.1,-3.3,-1.2999999999999998,0.112
12.3,14.3,-0.3,1.7,0.112
11.5,13.5,-0.8,1.2,0.094
1.2,3.2,-1.0,1.0,0.431
13.7,15.7,0.7,2.7,0.112
10.9,12.9,-1.3,0.7,0.112
1.9,3.9,-0.5,1.5,0.377
8.8,10.8,-2.8,-0.7999999999999998,0.112
9.5,11.5,-2.3,-0.2999999999999998,0.112
-0.1,1.9,-2.0,0.0,0.526
3.4,5.4,0.5,2.5,0.273
0.5,2.5,-1.5,0.5,0.495
10.2,12.2,-1.8,0.19999999999999996,0.112
7.5,9.5,-3.8,-1.7999999999999998,0.106
2.6,4.6,0.0,2.0,0.32
-0.9,1.1,-2.5,-0.5,0.622
-2.2,-0.20000000000000018,-3.5,-1.5,0.696
-3.0,-1.0,-4.0,-2.0,0.766
13.0,15.0,0.2,2.2,0.112
-1.5,0.5,-3.0,-1.0,0.658
12.4,14.4,-0.3,1.7,0.106
8.2,10.2,-3.3,-1.2999999999999998,0.106
11.6,13.6,-0.8,1.2,0.112
11.0,13.0,-1.3,0.7,0.106
2.0,4.0,-0.5,1.5,0.347
13.8,15.8,0.7,2.7,0.106
1.3,3.3,-1.0,1.0,0.367
9.6,11.6,-2.3,-0.2999999999999998,0.106
0.0,2.0,-2.0,0.0,0.502
8.9,10.9,-2.8,-0.7999999999999998,0.106
3.5,5.5,0.5,2.5,0.246
-1.4,0.6000000000000001,-3.0,-1.0,0.62
0.6,2.6,-1.5,0.5,0.497
7.6,9.6,-3.8,-1.7999999999999998,0.1
13.1,15.1,0.2,2.2,0.106
-2.9,-0.8999999999999999,-4.0,-2.0,0.757
10.3,12.3,-1.8,0.19999999999999996,0.106
2.7,4.7,0.0,2.0,0.293
-0.8,1.2,-2.5,-0.5,0.601
-2.1,-0.10000000000000009,-3.5,-1.5,0.666
12.5,14.5,-0.3,1.7,0.1
11.1,13.1,-1.3,0.7,0.1
8.3,10.3,-3.3,-1.2999999999999998,0.1
1.4,3.4,-1.0,1.0,0.387
2.1,4.1,-0.5,1.5,0.335
11.7,13.7,-0.8,1.2,0.106
