,sigh,sigx,success_rate
373,0.12,2.8,0.466
374,0.12,2.84,0.472
375,0.12,2.88,0.454
376,0.12,2.92,0.432
377,0.12,2.96,0.447
378,0.12,3.0,0.413
379,0.12,3.04,0.429
380,0.12,3.08,0.434
381,0.12,3.12,0.418
382,0.12,3.16,0.421
383,0.12,3.2,0.454
384,0.12,3.24,0.4
385,0.12,3.28,0.405
386,0.12,3.32,0.379
387,0.12,3.36,0.406
388,0.12,3.4,0.373
389,0.12,3.44,0.426
390,0.12,3.48,0.414
391,0.12,3.52,0.382
392,0.12,3.56,0.38
393,0.12,3.6,0.385
394,0.12,3.64,0.382
395,0.12,3.68,0.386
396,0.12,3.72,0.36
397,0.12,3.76,0.373
398,0.12,3.8,0.353
399,0.12,3.84,0.373
400,0.12,3.88,0.367
401,0.12,3.92,0.388
402,0.12,3.96,0.358
403,0.12,4.0,0.376
404,0.16,0.0,0.102
405,0.16,0.04,0.189
406,0.16,0.08,0.301
407,0.16,0.12,0.37
408,0.16,0.16,0.478
409,0.16,0.2,0.587
410,0.16,0.24,0.654
411,0.16,0.28,0.712
412,0.16,0.32,0.756
413,0.16,0.36,0.787
414,0.16,0.4,0.797
415,0.16,0.44,0.766
416,0.16,0.48,0.815
417,0.16,0.52,0.811
418,0.16,0.56,0.844
419,0.16,0.6,0.825
420,0.16,0.64,0.822
421,0.16,0.68,0.832
422,0.16,0.72,0.844
423,0.16,0.76,0.833
424,0.16,0.8,0.853
425,0.16,0.84,0.863
426,0.16,0.88,0.837
427,0.16,0.92,0.858
428,0.16,0.96,0.838
429,0.16,1.0,0.869
430,0.16,1.04,0.846
431,0.16,1.08,0.812
432,0.16,1.12,0.849
433,0.16,1.16,0.824
434,0.16,1.2,0.806
435,0.16,1.24,0.797
436,0.16,1.28,0.794
437,0.16,1.32,0.767
438,0.16,1.36,0.781
439,0.16,1.4,0.747
440,0.16,1.44,0.721
441,0.16,1.48,0.738
442,0.16,1.52,0.716
443,0.16,1.56,0.735
444,0.16,1.6,0.694
445,0.16,1.64,0.687
446,0.16,1.68,0.672
447,0.16,1.72,0.644
448,0.16,1.76,0.664
449,0.16,1.8,0.656
450,0.16,1.84,0.631
451,0.16,1.88,0.636
452,0.16,1.92,0.608
453,0.16,1.96,0.589
454,0.16,2.0,0.631
455,0.16,2.04,0.605
456,0.16,2.08,0.608
457,0.16,2.12,0.579
458,0.16,2.16,0.57
459,0.16,2.2,0.568
460,0.16,2.24,0.534
461,0.16,2.28,0.528
462,0.16,2.32,0.509
463,0.16,2.36,0.508
464,0.16,2.4,0.52
465,0.16,2.44,0.508
466,0.16,2.48,0.512
