nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
5,1320,0.964,0.056205513253776714,0.012199999999999976,0.012099999999999977
5,1340,0.968,0.05394875763064829,0.011399999999999978,0.011299999999999982
5,1360,0.974,0.06153635476646761,0.013199999999999972,0.013049999999999977
5,1380,0.98,0.05966895730722126,0.012099999999999974,0.011999999999999976
5,1400,0.975,0.04625581202127518,0.012699999999999973,0.012649999999999974
5,1420,0.971,0.055312077347897504,0.010999999999999979,0.010999999999999982
5,1440,0.969,0.05076325123390225,0.012099999999999977,0.012099999999999979
5,1460,0.975,0.050693915258989315,0.011099999999999978,0.011199999999999977
5,1480,0.982,0.042175908463473154,0.01069999999999998,0.01074999999999998
5,1500,0.985,0.04614820767893891,0.010099999999999982,0.010049999999999983
5,1520,0.972,0.04343171076048509,0.011499999999999977,0.01144999999999998
5,1540,0.977,0.05195578600715063,0.011299999999999978,0.011249999999999979
5,1560,0.976,0.048503510987465095,0.011599999999999982,0.011499999999999982
5,1580,0.971,0.05723486246666741,0.011199999999999977,0.01104999999999998
5,1600,0.975,0.045427192366136855,0.009799999999999982,0.009749999999999984
5,1620,0.98,0.040965207115685756,0.009699999999999981,0.009799999999999984
5,1640,0.966,0.049515464937556306,0.012799999999999973,0.01269999999999998
5,1660,0.981,0.043163621480728435,0.011499999999999977,0.01164999999999998
5,1680,0.98,0.03824190989110493,0.011399999999999976,0.011199999999999979
5,1700,0.977,0.04932589642051082,0.011799999999999975,0.011749999999999977
5,1720,0.974,0.046053933390427564,0.011599999999999977,0.011449999999999978
5,1740,0.97,0.046123517709718884,0.011599999999999975,0.011599999999999975
5,1760,0.977,0.05251244975423567,0.010099999999999982,0.010199999999999983
5,1780,0.979,0.046895936857447744,0.010899999999999981,0.010949999999999982
5,1800,0.979,0.049807293830190516,0.009799999999999982,0.009849999999999986
5,1820,0.977,0.046280679094353426,0.010599999999999981,0.010599999999999983
5,1840,0.978,0.05051813367436138,0.010999999999999979,0.010849999999999981
5,1860,0.975,0.053721940194412246,0.009699999999999983,0.009799999999999982
5,1880,0.975,0.03754946150971815,0.011499999999999977,0.011599999999999978
5,1900,0.98,0.046423326383294716,0.011799999999999975,0.011849999999999977
5,1920,0.972,0.04565642443620873,0.012499999999999973,0.01219999999999998
5,1940,0.98,0.04387923502525504,0.011499999999999977,0.011399999999999978
5,1960,0.971,0.048419561846795224,0.011399999999999978,0.01139999999999998
5,1980,0.981,0.03936658729318502,0.010599999999999983,0.010549999999999983
10,500,0.933,0.11160705458325747,0.020155555555555496,0.02009999999999998
10,520,0.948,0.1196477729383174,0.018533333333333277,0.018677777777777745
10,540,0.951,0.11558711660054434,0.01813333333333328,0.01826666666666664
10,560,0.939,0.1159102609940948,0.0197555555555555,0.01977777777777774
10,580,0.935,0.11819812173618345,0.01804444444444439,0.018155555555555515
10,600,0.926,0.1214593531570361,0.018333333333333278,0.018511111111111065
10,620,0.957,0.10594013151791118,0.018266666666666615,0.018333333333333295
10,640,0.946,0.10402415340751849,0.017866666666666614,0.01779999999999996
10,660,0.953,0.09914777715374366,0.017422222222222172,0.01743333333333329
10,680,0.943,0.11721549992004415,0.016288888888888842,0.016333333333333287
10,700,0.944,0.10939591221003263,0.017355555555555503,0.017466666666666616
10,720,0.935,0.09976727568832537,0.017266666666666618,0.017299999999999958
10,740,0.948,0.10270603730929483,0.015288888888888843,0.015422222222222176
10,760,0.948,0.10910793326710254,0.017199999999999948,0.016944444444444404
10,780,0.948,0.1043860827854477,0.014933333333333292,0.014877777777777736
10,800,0.967,0.08944867751420381,0.014355555555555514,0.014344444444444403
10,820,0.946,0.0960788679206607,0.014844444444444403,0.014899999999999958
10,840,0.952,0.09677557093069304,0.014511111111111068,0.014499999999999957
10,860,0.951,0.0969171271080674,0.015844444444444397,0.015844444444444397
10,880,0.953,0.09280562359878373,0.01566666666666662,0.015633333333333287
10,900,0.952,0.08884602007214255,0.013755555555555517,0.013855555555555515
10,920,0.955,0.09103699129747642,0.014177777777777735,0.014277777777777736
10,940,0.943,0.09733569182205092,0.014888888888888844,0.014966666666666621
10,960,0.947,0.08591333066443925,0.01473333333333329,0.014644444444444401
10,980,0.954,0.09655611544854589,0.01306666666666663,0.01296666666666663
10,1000,0.96,0.08760313172203728,0.014222222222222183,0.014277777777777738
10,1020,0.955,0.09417521703260606,0.014222222222222181,0.014233333333333292
10,1040,0.946,0.08736387293701821,0.014799999999999956,0.014711111111111067
10,1060,0.953,0.08841251444741588,0.012799999999999962,0.012777777777777739
10,1080,0.962,0.0818888742926545,0.013155555555555518,0.013255555555555515
10,1100,0.965,0.08605900493648752,0.012777777777777739,0.012866666666666629
10,1120,0.945,0.07916018580289856,0.013422222222222181,0.01331111111111107
10,1140,0.965,0.07869701340724188,0.013355555555555515,0.01341111111111107
10,1160,0.962,0.0751957588079387,0.012733333333333294,0.012733333333333294
10,1180,0.95,0.09055581729262177,0.012288888888888853,0.01226666666666663
10,1200,0.954,0.08392303460203261,0.01288888888888885,0.012777777777777739
10,1220,0.96,0.08018648944007087,0.01268888888888885,0.012566666666666629
10,1240,0.96,0.08129014710248737,0.011955555555555518,0.01197777777777774
10,1260,0.964,0.08085516140264408,0.012111111111111074,0.012199999999999963
10,1280,0.963,0.0788895940044744,0.011977777777777742,0.012166666666666631
10,1300,0.956,0.07481229305156066,0.012733333333333296,0.01266666666666663
10,1320,0.968,0.06988205482897686,0.012399999999999963,0.012377777777777741
10,1340,0.961,0.06610541666506667,0.01257777777777774,0.012499999999999963
10,1360,0.965,0.0738197866107519,0.011755555555555523,0.011811111111111078
10,1380,0.959,0.09007899041262439,0.011622222222222188,0.01164444444444441
10,1400,0.964,0.06980090859265733,0.011822222222222187,0.011811111111111076
10,1420,0.96,0.07962510394939701,0.011111111111111079,0.011144444444444412
10,1440,0.972,0.0648755530783871,0.01142222222222219,0.011444444444444412
10,1460,0.953,0.08423899575822695,0.012488888888888851,0.012399999999999963
10,1480,0.959,0.07363760438173919,0.010933333333333302,0.010977777777777746
10,1500,0.954,0.08619793837003818,0.011466666666666634,0.0115333333333333
10,1520,0.961,0.07661849084633056,0.011244444444444411,0.011222222222222189
10,1540,0.966,0.07163645106902647,0.01135555555555552,0.01136666666666663
10,1560,0.97,0.07892607110451778,0.010599999999999969,0.010544444444444414
10,1580,0.953,0.08033386074386946,0.01266666666666663,0.012711111111111074
10,1600,0.946,0.0858742648046186,0.011555555555555522,0.011555555555555522
10,1620,0.967,0.06063957776082744,0.010888888888888858,0.010999999999999968
10,1640,0.967,0.06338467712638024,0.010777777777777749,0.010711111111111083
10,1660,0.968,0.06212896579015455,0.010511111111111082,0.010477777777777749
10,1680,0.965,0.06596396976852933,0.010799999999999968,0.010788888888888857
10,1700,0.96,0.07370385831755676,0.011288888888888855,0.011277777777777744
10,1720,0.971,0.0636969051728109,0.010466666666666636,0.010411111111111081
10,1740,0.966,0.062230090641645024,0.010422222222222194,0.010322222222222194
10,1760,0.97,0.06519021387534173,0.01091111111111108,0.01091111111111108
10,1780,0.973,0.0716450848960567,0.009844444444444414,0.00989999999999997
10,1800,0.968,0.06963133526629753,0.010311111111111082,0.010344444444444415
10,1820,0.976,0.0636176038294806,0.010177777777777751,0.010199999999999973
10,1840,0.966,0.06258436012455688,0.010466666666666636,0.010544444444444414
10,1860,0.973,0.0673663385140205,0.010444444444444414,0.010466666666666636
10,1880,0.965,0.060470946833757554,0.009977777777777749,0.00999999999999997
10,1900,0.97,0.07057803510874988,0.009755555555555526,0.009722222222222193
10,1920,0.975,0.06321192805657437,0.010111111111111083,0.010055555555555528
10,1940,0.972,0.06615988174158682,0.009733333333333306,0.009744444444444417
10,1960,0.956,0.06343505841974059,0.009911111111111082,0.009911111111111082
10,1980,0.959,0.07953867226562093,0.010555555555555525,0.010555555555555525
20,500,0.907,0.17312455743158178,0.020126315789473617,0.02007894736842099
20,520,0.899,0.17191317965704261,0.019736842105263087,0.01968947368421049
20,540,0.907,0.1607114899276797,0.018247368421052537,0.018244736842105192
20,560,0.907,0.18028793285358385,0.018999999999999916,0.019018421052631525
20,580,0.915,0.16543212022077652,0.01846842105263149,0.018455263157894686
20,600,0.891,0.16457204990268964,0.017815789473684077,0.017789473684210442
20,620,0.908,0.1743134481408293,0.017752631578947273,0.017805263157894685
20,640,0.908,0.16206369457571831,0.017284210526315694,0.01730789473684202
20,660,0.9,0.15954932675070885,0.01701578947368408,0.017021052631578878
20,680,0.919,0.15704025883315187,0.017684210526315674,0.01770526315789465
20,700,0.914,0.16957790417663582,0.01705789473684197,0.017010526315789396
20,720,0.945,0.1375068991862276,0.016915789473684065,0.016994736842105167
20,740,0.908,0.14623746312935665,0.01645263157894724,0.016465789473684118
20,760,0.919,0.14390089428820105,0.01657894736842091,0.016484210526315695
20,780,0.928,0.14969978105976858,0.015721052631578792,0.01580526315789463
20,800,0.93,0.14719282255920454,0.015410526315789305,0.015355263157894629
20,820,0.936,0.13687920662217168,0.01499999999999983,0.015036842105263052
20,840,0.938,0.12934219354123794,0.015010526315789289,0.014999999999999862
20,860,0.936,0.1367157738457691,0.015447368421052477,0.015402631578947258
20,880,0.913,0.13389777142922707,0.015036842105262987,0.015047368421052525
20,900,0.927,0.13381635583673201,0.014831578947368248,0.014868421052631461
20,920,0.924,0.13688801028456035,0.014521052631578796,0.014528947368420963
20,940,0.923,0.1328479379128141,0.014721052631578784,0.014723684210526201
20,960,0.924,0.1342809643617167,0.014268421052631413,0.014215789473684095
20,980,0.932,0.12517200525105235,0.014068421052631414,0.014060526315789348
20,1000,0.934,0.12565375032017953,0.013536842105262981,0.013526315789473551
20,1020,0.922,0.12238224060294735,0.014047368421052463,0.01407105263157883
20,1040,0.932,0.13395315834850302,0.013473684210526133,0.01347631578947356
20,1060,0.939,0.12647074006054693,0.013547368421052464,0.013607894736841973
20,1080,0.944,0.11506604796136996,0.01376842105263142,0.013765789473684092
20,1100,0.94,0.11846837676897827,0.01275263157894721,0.01278947368421042
20,1120,0.939,0.1264685491773272,0.013194736842105075,0.013165789473684067
20,1140,0.942,0.11512479074751727,0.013215789473684052,0.013223684210526195
20,1160,0.944,0.10968448717238224,0.013031578947368266,0.013105263157894623
20,1180,0.942,0.11518408757841386,0.012821052631578804,0.012855263157894635
20,1200,0.958,0.11286788654583399,0.012884210526315602,0.012873684210526171
20,1220,0.938,0.11289424440326876,0.012747368421052473,0.01273684210526304
20,1240,0.944,0.10395256824455343,0.01215789473684195,0.012142105263157775
20,1260,0.945,0.1173267219910831,0.012884210526315632,0.012936842105263033
20,1280,0.933,0.10763224433987814,0.012426315789473537,0.01244210526315777
20,1300,0.953,0.1014589068386886,0.011947368421052486,0.011944736842105149
20,1320,0.95,0.10925094128629025,0.012152631578947217,0.012157894736841987
