$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
1.2,2.0,-3.2,2.0,0.82
0.1,2.0,-1.6,2.0,0.864
-1.1,2.0,-1.8,2.0,0.878
2.4,2.0,-3.0,2.0,0.779
4.8,2.0,-2.6,2.0,0.318
-1.7,2.0,-1.9,2.0,0.866
5.4,2.0,-2.5,2.0,0.209
3.0,2.0,-2.9,2.0,0.707
-0.5,2.0,-1.7,2.0,0.87
6.0,2.0,-2.4,2.0,0.205
-1.7,2.0,-3.7,2.0,0.875
-0.5,2.0,-3.5,2.0,0.854
0.2,2.0,-1.6,2.0,0.874
-1.0,2.0,-1.8,2.0,0.849
2.5,2.0,-3.0,2.0,0.789
1.3,2.0,-3.2,2.0,0.837
-1.6,2.0,-1.9,2.0,0.869
4.9,2.0,-2.6,2.0,0.293
5.5,2.0,-2.5,2.0,0.25
3.1,2.0,-2.9,2.0,0.724
-0.4,2.0,-1.7,2.0,0.864
-4.0,2.0,-2.3,2.0,0.862
-0.4,2.0,-3.5,2.0,0.873
-1.6,2.0,-3.7,2.0,0.866
0.3,2.0,-1.6,2.0,0.867
-0.9,2.0,-1.8,2.0,0.853
1.4,2.0,-3.2,2.0,0.831
2.6,2.0,-3.0,2.0,0.742
-1.5,2.0,-1.9,2.0,0.882
5.0,2.0,-2.6,2.0,0.283
5.6,2.0,-2.5,2.0,0.238
3.2,2.0,-2.9,2.0,0.689
-0.3,2.0,-1.7,2.0,0.866
-3.9,2.0,-2.3,2.0,0.871
-0.3,2.0,-3.5,2.0,0.856
-1.5,2.0,-3.7,2.0,0.858
0.4,2.0,-1.6,2.0,0.857
-0.8,2.0,-1.8,2.0,0.88
1.5,2.0,-3.2,2.0,0.814
-1.4,2.0,-1.9,2.0,0.881
5.1,2.0,-2.6,2.0,0.28
2.7,2.0,-3.0,2.0,0.764
5.7,2.0,-2.5,2.0,0.222
3.3,2.0,-2.9,2.0,0.681
-0.2,2.0,-1.7,2.0,0.869
-3.8,2.0,-2.3,2.0,0.856
-0.2,2.0,-3.5,2.0,0.859
0.5,2.0,-1.6,2.0,0.84
-1.4,2.0,-3.7,2.0,0.867
-0.7,2.0,-1.8,2.0,0.872
1.6,2.0,-3.2,2.0,0.82
5.2,2.0,-2.6,2.0,0.247
-1.3,2.0,-1.9,2.0,0.871
2.8,2.0,-3.0,2.0,0.754
5.8,2.0,-2.5,2.0,0.2
3.4,2.0,-2.9,2.0,0.65
-0.1,2.0,-1.7,2.0,0.871
-3.7,2.0,-2.3,2.0,0.851
-0.1,2.0,-3.5,2.0,0.843
0.6,2.0,-1.6,2.0,0.859
-1.3,2.0,-3.7,2.0,0.868
-0.6,2.0,-1.8,2.0,0.863
1.7,2.0,-3.2,2.0,0.825
-1.2,2.0,-1.9,2.0,0.862
5.3,2.0,-2.6,2.0,0.247
2.9,2.0,-3.0,2.0,0.759
3.5,2.0,-2.9,2.0,0.637
5.9,2.0,-2.5,2.0,0.192
-3.6,2.0,-2.3,2.0,0.854
0.0,2.0,-1.7,2.0,0.863
0.0,2.0,-3.5,2.0,0.862
0.7,2.0,-1.6,2.0,0.85
-0.5,2.0,-1.8,2.0,0.865
-1.2,2.0,-3.7,2.0,0.838
-1.1,2.0,-1.9,2.0,0.865
1.8,2.0,-3.2,2.0,0.82
3.0,2.0,-3.0,2.0,0.726
3.6,2.0,-2.9,2.0,0.614
5.4,2.0,-2.6,2.0,0.236
6.0,2.0,-2.5,2.0,0.206
-3.5,2.0,-2.3,2.0,0.863
0.1,2.0,-1.7,2.0,0.866
0.8,2.0,-1.6,2.0,0.86
0.1,2.0,-3.5,2.0,0.869
-0.4,2.0,-1.8,2.0,0.883
-1.1,2.0,-3.7,2.0,0.872
-1.0,2.0,-1.9,2.0,0.872
3.1,2.0,-3.0,2.0,0.712
3.7,2.0,-2.9,2.0,0.586
5.5,2.0,-2.6,2.0,0.237
-4.0,2.0,-2.4,2.0,0.863
0.2,2.0,-1.7,2.0,0.867
-3.4,2.0,-2.3,2.0,0.88
1.9,2.0,-3.2,2.0,0.813
0.9,2.0,-1.6,2.0,0.828
0.2,2.0,-3.5,2.0,0.873
-0.3,2.0,-1.8,2.0,0.875
-1.0,2.0,-3.7,2.0,0.868
-0.9,2.0,-1.9,2.0,0.872
